song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
0941b0f68206db23a71667fe352c2b81,4275608400,1,0,20150301,20090916,16478,2,1,2
10ce85134ffbff33356298dbfc1e214e,1425182400,0,0,20150301,20130327,1944,2,1,1
17b9f3413a4a404c6048510282591c75,8551296000,0,0,20150301,20010328,46715,2,1,6
1b273c470091c04778e89661aeac2120,1425189600,0,0,20150301,20131127,12392,2,1,1
30aa8fc0349b85df970b0d68ea0018fa,1425218400,0,0,20150301,20140326,3430,2,1,1
3628af0393e22b4a32a444f048294741,1425182400,0,0,20150301,20130327,1446,2,1,1
3d98b3830c4eb2a09321123aa9f2b775,4275633600,0,0,20150301,20140326,8746,2,1,3
65cf998479a5f6dd59c44083471d2ed6,1425182400,0,0,20150301,20130327,1120,2,1,1
6f40f2b7a03a20503ef9ab8b9351e678,1425207600,0,0,20150301,20130313,22081,2,1,1
768ffa1e7c416ab8f05517c1d8d56f24,1425214800,0,0,20150301,20140326,902,2,1,1
772bdc5d880a4b0acdaee77a5aa85560,1425182400,0,0,20150301,20130327,1374,2,1,1
83ddd3c1df1bb8f9593534867b9104b4,4275644400,0,0,20150301,20140326,16828,2,1,3
8fdd416c12f531a17009b124b13bcc0a,1425182400,0,0,20150301,20130327,17003,2,1,1
9745adb816e80ad0155babdb666d5a04,1425200400,1,0,20150301,20090916,24095,2,1,0
a0c27a2d12a54ac20b53004ccab9c450,2850418800,1,0,20150301,20090916,33177,2,1,1
b7df2e2c3a8ad9767325727500d182fd,1425218400,0,0,20150301,20020227,3586,2,1,1
d8bacce59acd708dfee3ec6bf37439eb,1425182400,0,0,20150301,20130327,760,2,1,1
ea60bfa4c971d201ade94a5f97394cce,1425182400,0,0,20150301,20130327,2760,2,1,1
f562753399a5dc2db5299d96fbdcf12e,1425182400,0,0,20150301,20130327,1450,2,1,1
f5859c5a227efb5d98fe8f8d17db24ee,1425204000,0,0,20150301,20131127,3061,2,1,1
f71d31fc0bd6381bd9e996c7e000135f,1425168000,0,0,20150301,20100908,2038,2,1,1
f816d6d8461cbcbf24c57cedf69233a7,1425168000,0,1,20150301,19991125,3131,2,1,0
0941b0f68206db23a71667fe352c2b81,4275716400,0,0,20150302,20090916,16478,2,1,3
15f3face4d4afb4ad95b5eddcd2504dc,2850548400,0,0,20150302,20091007,7279,2,1,2
17b9f3413a4a404c6048510282591c75,2850483600,0,0,20150302,20010328,46715,2,1,2
1b273c470091c04778e89661aeac2120,1425290400,0,0,20150302,20131127,12392,2,1,1
3434f486ce936001d985a0fc79e4f390,1425229200,0,0,20150302,20050801,415,2,1,1
3d98b3830c4eb2a09321123aa9f2b775,1425279600,0,0,20150302,20140326,8746,2,1,1
3fc3ea3208dcaffbd8878db086f931b4,1425225600,0,0,20150302,20121219,3585,2,1,1
544f22ab59541adf64581474a7b4d241,1425290400,0,0,20150302,20121219,3656,2,1,1
5870a6e4edb36665fe82944722fc1a4e,1425279600,0,0,20150302,20130501,3085,2,1,1
59e8f6cafda5d16dba7ddc09cfcc2850,2850451200,0,1,20150302,20050701,286,2,1,1
6f40f2b7a03a20503ef9ab8b9351e678,4275820800,0,0,20150302,20130313,22081,2,1,3
748facfc31ef6d1db1cad6fa94f70e32,1425250800,0,0,20150302,20010328,1188,2,1,1
7d6feec9a2d8b26ad4237f0a900b1a5a,2850537600,0,0,20150302,20140326,12108,2,1,2
83ddd3c1df1bb8f9593534867b9104b4,1425308400,0,0,20150302,20140326,16828,2,1,1
8f7f29502fa62694cf098d5792f089dd,2850537600,2,0,20150302,19991125,834,2,1,0
8fdd416c12f531a17009b124b13bcc0a,8551638000,0,0,20150302,20130327,17003,2,1,6
9745adb816e80ad0155babdb666d5a04,1425290400,1,0,20150302,20090916,24095,2,1,0
a0c27a2d12a54ac20b53004ccab9c450,2850544800,0,0,20150302,20090916,33177,2,1,2
b7df2e2c3a8ad9767325727500d182fd,1425286800,0,0,20150302,20020227,3586,2,1,1
d2b434e7fc576c759df72d91d6dd1823,1425286800,0,0,20150302,20061108,453,2,1,1
dee0b63a253a9823b373ea4cfe80adae,2850451200,0,0,20150302,20080213,9608,2,1,2
f5859c5a227efb5d98fe8f8d17db24ee,1425290400,0,0,20150302,20131127,3061,2,1,1
f71d31fc0bd6381bd9e996c7e000135f,1425232800,1,0,20150302,20100908,2038,2,1,0
f816d6d8461cbcbf24c57cedf69233a7,1425254400,1,0,20150302,19991125,3131,2,1,0
035452df059d8dd9a782efbb8b2f85b2,1425369600,0,0,20150303,20131127,1408,2,1,1
03ab5f36d5876a9846fe38a3ba1a64ca,1425355200,1,0,20150303,20040317,454,2,1,0
04dc6306ea3d724e2dae81dd8720b566,1425369600,0,0,20150303,20131127,1162,2,1,1
15f3face4d4afb4ad95b5eddcd2504dc,1425319200,0,0,20150303,20091007,7279,2,1,1
17b9f3413a4a404c6048510282591c75,5701510800,0,0,20150303,20010328,46715,2,1,4
1af884424bc43b624f7f6a160826c2a2,1425369600,0,0,20150303,20131127,965,2,1,1
1b273c470091c04778e89661aeac2120,1425369600,0,0,20150303,20131127,12392,2,1,1
1d8231067b248855a56844d4b33b6da2,1425384000,0,0,20150303,20090916,10303,2,1,1
1da2680ab0b722c06beb51cae737c8b7,1425369600,0,0,20150303,20131127,1885,2,1,1
