song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
077d43b02d4211a0e661395ab036f74e,1425186000,0,0,20150301,20080827,22334,2,1,1
22282315e42d57b7e6693dad10a4f8d4,37054785600,7,0,20150301,20080827,492770,2,1,19
3160916cd7682fc441ca067c5bba974e,5700736800,3,0,20150301,20080827,105451,2,1,1
4525d4d945235c1c70c1f7baf54c8938,11401520400,3,0,20150301,20090826,93335,100,1,5
52d34db7528fd54e585cabb0c7cbb37c,8551098000,1,0,20150301,20080827,145787,2,1,5
558662a66c70f1787ecc9d6731eaa7d0,8551112400,1,0,20150301,20090826,72837,100,1,5
638b384e3aef0637d6259a2163334b6d,27078577200,4,0,20150301,20080827,574878,2,1,15
9284ba735323d8c1e36af7c4311552ee,4275558000,2,0,20150301,20090826,71440,100,1,1
b251b7eaed3c7804887fe2370925f4a6,2850393600,0,0,20150301,20120328,39573,2,1,2
faeed3dba63ca25245bb18ad93b2f629,2850429600,2,0,20150301,20120328,75129,2,1,0
077d43b02d4211a0e661395ab036f74e,2850526800,0,0,20150302,20080827,22334,2,1,2
22282315e42d57b7e6693dad10a4f8d4,32781204000,6,0,20150302,20080827,492770,2,1,17
3160916cd7682fc441ca067c5bba974e,2850530400,2,0,20150302,20080827,105451,2,1,0
4525d4d945235c1c70c1f7baf54c8938,4275777600,1,0,20150302,20090826,93335,100,1,2
52d34db7528fd54e585cabb0c7cbb37c,2850591600,1,0,20150302,20080827,145787,2,1,1
558662a66c70f1787ecc9d6731eaa7d0,5701057200,0,0,20150302,20090826,72837,100,1,4
628823f011eba70205dd1dfda7bdf192,1425294000,1,0,20150302,20090826,21242,100,1,0
638b384e3aef0637d6259a2163334b6d,8551692000,1,0,20150302,20080827,574878,2,1,5
7e09ef9832e5efb4e0335a24fb954ea4,1425304800,1,0,20150302,20090826,24273,100,1,0
9284ba735323d8c1e36af7c4311552ee,2850580800,0,0,20150302,20090826,71440,100,1,2
b251b7eaed3c7804887fe2370925f4a6,8551616400,0,0,20150302,20120328,39573,2,1,6
dd8a667e3e64667e4b8970fcdd487126,2850595200,1,0,20150302,20080827,74566,2,1,1
077d43b02d4211a0e661395ab036f74e,1425358800,0,0,20150303,20080827,22334,2,1,1
1838ccba2c15cccc67f3112d3c743cf9,2850760800,2,0,20150303,20090826,26680,100,1,0
22282315e42d57b7e6693dad10a4f8d4,38484997200,4,2,20150303,20080827,492770,2,1,21
2e24f0f8460a6d92558a1ee949ac89ac,1425384000,0,0,20150303,20120328,18579,2,1,1
3160916cd7682fc441ca067c5bba974e,2850728400,1,0,20150303,20080827,105451,2,1,1
4525d4d945235c1c70c1f7baf54c8938,1425340800,0,0,20150303,20090826,93335,100,1,1
514d46b6b2d614ee97b4abab1a6cc299,1425380400,1,0,20150303,20120328,15050,2,1,0
52d34db7528fd54e585cabb0c7cbb37c,8552152800,0,0,20150303,20080827,145787,2,1,6
558662a66c70f1787ecc9d6731eaa7d0,7126797600,2,0,20150303,20090826,72837,100,1,3
628823f011eba70205dd1dfda7bdf192,2850728400,1,0,20150303,20090826,21242,100,1,1
638b384e3aef0637d6259a2163334b6d,42760875600,5,0,20150303,20080827,574878,2,1,25
740857cf785e78632f11203681426610,2850721200,1,0,20150303,20090826,13428,100,1,1
7e09ef9832e5efb4e0335a24fb954ea4,2850760800,2,0,20150303,20090826,24273,100,1,0
9284ba735323d8c1e36af7c4311552ee,5701521600,4,0,20150303,20090826,71440,100,1,0
a1f1e88ce4eebac6302dea0931e6ce13,2850746400,0,0,20150303,20080827,10539,2,1,2
b251b7eaed3c7804887fe2370925f4a6,5701543200,1,0,20150303,20120328,39573,2,1,3
b4cce0cd87a60dcee49921e7b2fea973,2850760800,2,0,20150303,20090826,48652,100,1,0
b543f2787f00d6f0ab8cfee7e9ac9df1,1425380400,1,0,20150303,20090826,9902,100,1,0
dd8a667e3e64667e4b8970fcdd487126,1425384000,0,0,20150303,20080827,74566,2,1,1
faeed3dba63ca25245bb18ad93b2f629,8552253600,0,0,20150303,20120328,75129,2,1,6
077d43b02d4211a0e661395ab036f74e,1425445200,0,0,20150304,20080827,22334,2,1,1
22282315e42d57b7e6693dad10a4f8d4,41338130400,8,0,20150304,20080827,492770,2,1,21
3160916cd7682fc441ca067c5bba974e,11403676800,3,0,20150304,20080827,105451,2,1,5
4525d4d945235c1c70c1f7baf54c8938,5701845600,2,0,20150304,20090826,93335,100,1,2
52d34db7528fd54e585cabb0c7cbb37c,8552721600,2,0,20150304,20080827,145787,2,1,4
558662a66c70f1787ecc9d6731eaa7d0,4276389600,2,0,20150304,20090826,72837,100,1,1
638b384e3aef0637d6259a2163334b6d,34210706400,7,0,20150304,20080827,574878,2,1,17
9189049393c9914666ab42f296f26000,2850955200,0,0,20150304,20080827,15802,2,1,2
9284ba735323d8c1e36af7c4311552ee,2850868800,0,0,20150304,20090826,71440,100,1,2
b251b7eaed3c7804887fe2370925f4a6,2850937200,0,0,20150304,20120328,39573,2,1,2
b543f2787f00d6f0ab8cfee7e9ac9df1,1425477600,0,0,20150304,20090826,9902,100,1,1
bf6c47fd3a91a5e312af8e19f06c34ee,1425474000,0,0,20150304,20080827,9509,2,1,1
dd8a667e3e64667e4b8970fcdd487126,2850825600,0,0,20150304,20080827,74566,2,1,2
22282315e42d57b7e6693dad10a4f8d4,41340434400,4,0,20150305,20080827,492770,2,1,25
2e24f0f8460a6d92558a1ee949ac89ac,4276645200,0,0,20150305,20120328,18579,2,1,3
3160916cd7682fc441ca067c5bba974e,5702162400,1,0,20150305,20080827,105451,2,1,3
514d46b6b2d614ee97b4abab1a6cc299,1425528000,0,0,20150305,20120328,15050,2,1,1
52d34db7528fd54e585cabb0c7cbb37c,8553142800,1,0,20150305,20080827,145787,2,1,5
558662a66c70f1787ecc9d6731eaa7d0,11404166400,1,0,20150305,20090826,72837,100,1,7
638b384e3aef0637d6259a2163334b6d,59872928400,6,0,20150305,20080827,574878,2,1,36
9189049393c9914666ab42f296f26000,1425560400,0,0,20150305,20080827,15802,2,1,1
9284ba735323d8c1e36af7c4311552ee,4276594800,1,0,20150305,20090826,71440,100,1,2
bf6c47fd3a91a5e312af8e19f06c34ee,1425520800,0,0,20150305,20080827,9509,2,1,1
faeed3dba63ca25245bb18ad93b2f629,8553222000,2,0,20150305,20120328,75129,2,1,4
1838ccba2c15cccc67f3112d3c743cf9,1425614400,0,0,20150306,20090826,26680,100,1,1
22282315e42d57b7e6693dad10a4f8d4,41342785200,4,0,20150306,20080827,492770,2,1,25
3160916cd7682fc441ca067c5bba974e,1425582000,1,0,20150306,20080827,105451,2,1,0
4525d4d945235c1c70c1f7baf54c8938,8553600000,1,0,20150306,20090826,93335,100,1,5
52d34db7528fd54e585cabb0c7cbb37c,7128162000,1,0,20150306,20080827,145787,2,1,4
558662a66c70f1787ecc9d6731eaa7d0,15681780000,2,0,20150306,20090826,72837,100,1,9
5aab6a127beca21a3797c5a9b76b75d9,2851236000,0,0,20150306,20090826,14915,100,1,2
628823f011eba70205dd1dfda7bdf192,1425610800,0,0,20150306,20090826,21242,100,1,1
638b384e3aef0637d6259a2163334b6d,24235675200,1,1,20150306,20080827,574878,2,1,15
740857cf785e78632f11203681426610,2851225200,0,0,20150306,20090826,13428,100,1,2
7e09ef9832e5efb4e0335a24fb954ea4,1425610800,0,0,20150306,20090826,24273,100,1,1
9284ba735323d8c1e36af7c4311552ee,2851228800,0,0,20150306,20090826,71440,100,1,2
b251b7eaed3c7804887fe2370925f4a6,1425650400,0,0,20150306,20120328,39573,2,1,1
b4cce0cd87a60dcee49921e7b2fea973,1425610800,0,0,20150306,20090826,48652,100,1,1
b543f2787f00d6f0ab8cfee7e9ac9df1,1425614400,0,0,20150306,20090826,9902,100,1,1
faeed3dba63ca25245bb18ad93b2f629,22809672000,0,0,20150306,20120328,75129,2,1,16
22282315e42d57b7e6693dad10a4f8d4,64156878000,7,0,20150307,20080827,492770,2,1,38
3160916cd7682fc441ca067c5bba974e,8554208400,2,0,20150307,20080827,105451,2,1,4
4525d4d945235c1c70c1f7baf54c8938,5702806800,2,0,20150307,20090826,93335,100,1,2
