song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
1083efa4b1a5efcc1a3a4ea767231924,1425175200,0,0,20150301,20110823,12559,3,2,1
1a2ac5c2df858792dca8c9b0b399ea66,1425193200,1,0,20150301,20101110,22398,3,2,0
2675640ad67abc1272448aa3ec0dadf1,7125915600,2,0,20150301,20100714,141715,3,2,3
357f89ecb21ccd54983f255a31dcd0d2,14251543200,0,0,20150301,20130314,8738,3,2,10
42a19f354043f2b18123f7da94b9778b,7125858000,0,0,20150301,20140512,165596,3,2,5
452b0d39dd09a163bc5fbed929d6706f,1425193200,1,0,20150301,20120522,7490,3,2,0
483bff6b092ac42b7ee8c45adb23902c,4275536400,1,0,20150301,20120522,24308,3,2,2
51c82262cc371bf3fce65dc44a941c5b,2850415200,1,0,20150301,20120522,121917,3,2,1
6f5a2708633a1c06f7fac6f495190c73,1425171600,0,0,20150301,20110118,19460,3,2,1
7352fc11ee16eed3dc016677951b86a3,1425182400,0,0,20150301,20101110,36477,3,2,1
7bb044ab0e398c418e34e1ebe2c65a36,11401441200,0,0,20150301,20110118,59010,3,2,8
8c588d2a95bf755f3096adb317643485,1425211200,0,0,20150301,20140918,28211,3,2,1
9c0d09b8638776d41dfbda09c0f04c0c,12826569600,1,0,20150301,20100901,58266,3,2,8
9c6d953ea218166e2978ce5419c9d363,8551173600,0,0,20150301,20121213,75684,3,2,6
a12e860e149ca961087bad3039d09447,2850314400,0,0,20150301,20110823,648076,3,2,2
a9a52328d2f40931b3ff04fee836021f,5700830400,1,0,20150301,20110511,188782,3,2,3
a9e48ad70b990200991f3d29560bbbb3,1425193200,1,0,20150301,20120522,8923,3,2,0
c83cdf3e03714f7b920f1dac64496e38,1425193200,1,0,20150301,20120522,10094,3,2,0
dd0fcbab32ebbc84278b7fd554586a04,5700826800,0,0,20150301,20110118,141636,3,2,4
e5b475da38985734b6848130a31545a8,9976348800,3,0,20150301,20130314,165063,3,2,4
e6790ad92b3d77104107c27dbac602d9,1425200400,0,0,20150301,20110823,52981,3,2,1
fc2284da22a8daa90709bc4801b24b58,4275522000,0,0,20150301,20100714,85874,3,2,3
001b556ab4be161f90c5f3543b01b7e1,1425268800,0,0,20150302,20141013,8691,3,2,1
1a2ac5c2df858792dca8c9b0b399ea66,4275810000,0,0,20150302,20101110,22398,3,2,3
2675640ad67abc1272448aa3ec0dadf1,11402038800,0,0,20150302,20100714,141715,3,2,8
42a19f354043f2b18123f7da94b9778b,11402103600,0,0,20150302,20140512,165596,3,2,8
483bff6b092ac42b7ee8c45adb23902c,2850555600,1,0,20150302,20120522,24308,3,2,1
5896a5ffd32751170e542434dfc941a9,4275784800,0,0,20150302,20120522,9630,3,2,3
5d35809f7145b8ffae6783d960c7e40d,1425225600,1,0,20150302,20101110,4022,3,2,0
61d0e46478d945ee0f974beed4facc2f,2850454800,1,0,20150302,20110118,4539,3,2,1
7352fc11ee16eed3dc016677951b86a3,1425254400,0,0,20150302,20101110,36477,3,2,1
7bb044ab0e398c418e34e1ebe2c65a36,9976935600,2,0,20150302,20110118,59010,3,2,5
8c588d2a95bf755f3096adb317643485,2850530400,0,0,20150302,20140918,28211,3,2,2
9ae629070cc441c3db10ce35054ce303,2850454800,1,0,20150302,20130314,16124,3,2,1
9c0d09b8638776d41dfbda09c0f04c0c,7126412400,1,0,20150302,20100901,58266,3,2,4
9c6d953ea218166e2978ce5419c9d363,11402258400,1,0,20150302,20121213,75684,3,2,7
9e701a3b41ce72da9aedef94a84db11a,2850523200,0,0,20150302,20110118,3301,3,2,2
a12e860e149ca961087bad3039d09447,7126333200,2,0,20150302,20110823,648076,3,2,3
a9a52328d2f40931b3ff04fee836021f,15677794800,1,0,20150302,20110511,188782,3,2,10
ad91faa76408f7fe48ca72f0e1f1b473,4275907200,1,0,20150302,20110118,39075,3,2,2
af4cb8efa45438cf019dcb2ec2de85e7,1425247200,0,0,20150302,20110118,3959,3,2,1
c83cdf3e03714f7b920f1dac64496e38,1425279600,0,0,20150302,20120522,10094,3,2,1
dd0fcbab32ebbc84278b7fd554586a04,11402028000,2,0,20150302,20110118,141636,3,2,6
e5b475da38985734b6848130a31545a8,17103222000,2,0,20150302,20130314,165063,3,2,10
fc2284da22a8daa90709bc4801b24b58,5701100400,1,0,20150302,20100714,85874,3,2,3
001b556ab4be161f90c5f3543b01b7e1,8552206800,0,0,20150303,20141013,8691,3,2,6
1242c3bd6700eeeaa3a9fc4cf41980a3,1425384000,1,0,20150303,20100714,10450,3,2,0
2675640ad67abc1272448aa3ec0dadf1,9977414400,2,0,20150303,20100714,141715,3,2,5
31254fe6e461b1dbf59cf3ca2197772c,1425387600,0,0,20150303,20120921,3558,4,2,1
42a19f354043f2b18123f7da94b9778b,5701410000,0,0,20150303,20140512,165596,3,2,4
46237c8bc2900f3e2216deb779ca06af,2850685200,1,0,20150303,20120921,3593,4,2,1
483bff6b092ac42b7ee8c45adb23902c,1425340800,0,0,20150303,20120522,24308,3,2,1
61d0e46478d945ee0f974beed4facc2f,1425315600,0,0,20150303,20110118,4539,3,2,1
7352fc11ee16eed3dc016677951b86a3,2850706800,0,0,20150303,20101110,36477,3,2,2
7bb044ab0e398c418e34e1ebe2c65a36,5701428000,0,0,20150303,20110118,59010,3,2,4
8c588d2a95bf755f3096adb317643485,1425315600,0,0,20150303,20140918,28211,3,2,1
9ae629070cc441c3db10ce35054ce303,1425315600,0,0,20150303,20130314,16124,3,2,1
9c0d09b8638776d41dfbda09c0f04c0c,2850656400,0,0,20150303,20100901,58266,3,2,2
9c6d953ea218166e2978ce5419c9d363,19954990800,0,0,20150303,20121213,75684,3,2,14
a12e860e149ca961087bad3039d09447,7126794000,0,0,20150303,20110823,648076,3,2,5
a9a52328d2f40931b3ff04fee836021f,7126833600,1,0,20150303,20110511,188782,3,2,4
ad91faa76408f7fe48ca72f0e1f1b473,5701370400,0,0,20150303,20110118,39075,3,2,4
dd0fcbab32ebbc84278b7fd554586a04,45611780400,1,0,20150303,20110118,141636,3,2,31
