song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
015abf053dccbf952b08a92b99869134,1425175200,0,0,20150301,20140910,20673,1,2,1
0167494cd557ba06149fd3b636de14f1,2850393600,0,0,20150301,20050801,19492,11,2,2
086aea2548d20514aa29d0045197397f,1425146400,0,0,20150301,20091223,10866,11,2,1
0b60106cbe8591c0bc7ae6ea0f00995b,1425207600,0,0,20150301,20081127,23341,11,2,1
0e1a75422693b1fe058ef60b8c207565,2850415200,0,0,20150301,20050801,49086,11,2,2
0fced481f4cf2ea8823d00da16ab7e9d,2850379200,1,0,20150301,20050801,50945,11,2,1
1c55008f78a4d8ee002b512d779c092b,29929165200,2,0,20150301,20060301,196338,11,2,19
28ff611ce6c2fd1d4c45de886070a12a,1425146400,0,0,20150301,20070201,20111,11,2,1
320fcb2f95130e571ce9fcecd8daa235,2850368400,1,0,20150301,20070201,31899,11,2,1
34b595a04d4e8919798316bbec738c37,1425222000,0,0,20150301,20091223,40669,11,2,1
37d0139d8efc5e991b593f2dbd57e944,1425186000,1,0,20150301,20081127,3496,11,2,0
3af2f013046d9e53964b5e34b1cef537,11401567200,0,0,20150301,20141127,36808,11,2,8
3d756e3a6c3f17e8cc3086af54bf7f7d,11401394400,2,0,20150301,20071221,134962,11,2,6
490b741fc0fa7fa1ee40f8670f1ea254,11401520400,2,0,20150301,20070201,219988,11,2,6
4d2193bc33bbf472f4034988ecd70a62,4275601200,0,0,20150301,20080125,61217,11,2,3
55e159232bfa789a4fc4ce3408129b3c,2850393600,0,0,20150301,20091223,17314,11,2,2
58ade41cc48c2e4b30a8d979a9532285,4275583200,0,0,20150301,20080125,53508,11,2,3
5ba7a2155304bf7cb5de414d5ccbadff,2850440400,0,0,20150301,20091223,22475,11,2,2
5c73ef68b07581553c1c4e93a7b51e8f,1425186000,1,0,20150301,20081127,5189,11,2,0
5fd7b04b6305aeac2aec716b4b843f59,2850346800,0,0,20150301,20071221,61799,11,2,2
6499cc7834bae3a30d98d6e59ea01dad,152494657200,18,0,20150301,20070201,1275325,11,2,89
806eb0861107061df6504ce1a53a5b01,11401412400,1,0,20150301,20070201,66356,11,2,7
842bb1359e6a2c2ebc79f5452f0fb30a,2850429600,0,0,20150301,20081127,19939,11,2,2
86c7aef67c74e00a902bd40fdba6588c,1425182400,0,0,20150301,20091223,10138,11,2,1
88e3b845be4705ea999b89ce1e34b58b,1425207600,0,0,20150301,20080125,11143,11,2,1
8af7c4032f8c540f5021e8e5146dafdc,1425214800,0,0,20150301,20091223,12051,11,2,1
9923d8c10154407e0cdaa52d3137bd95,25653434400,5,0,20150301,20050801,1619449,11,2,13
9a445d5bab4a5647f0fa6f93df9b37fd,4275540000,0,0,20150301,20091223,26047,11,2,3
9b4b066601de512ae3374487cd9c21df,4275543600,0,0,20150301,20050801,58701,11,2,3
9b59828fd338446b7684227da548bbcb,8551188000,0,0,20150301,20091223,57503,11,2,6
a1d908ea73478e197bb2b37b955a6f69,1425178800,1,0,20150301,20091223,41500,11,2,0
a764cb9a97a76948c3bb701a4933ca87,1425200400,0,0,20150301,20091223,13721,11,2,1
cb3ba7229819efd4f87f9ada73a7f0fb,1425211200,0,0,20150301,20080125,8342,11,2,1
cd46fca12e6ab2f833882142fa7b22d9,4275561600,0,0,20150301,20060301,139626,11,2,3
d51419997c7805869e95d84e490b4c19,4275529200,0,0,20150301,20100715,24384,11,2,3
d921aa9dd01570a735c1a100ae084759,114016906800,1,0,20150301,20091223,22298,11,2,79
e2d128c24eb077cd80a63576f181490a,38480230800,6,0,20150301,20050801,416921,11,2,21
f4d2fcc7d0e60bb55feb090d8a89a649,1425193200,1,0,20150301,20080125,11313,11,2,0
f58776c91d4aecb65ecb5457a2109e61,1425150000,0,0,20150301,20080125,5518,11,2,1
fc03ce6d2b72377dd7ca9a3f66ce42d8,75534814800,5,0,20150301,20050801,486770,11,2,48
fdd997c21490e3dd2673461bf32f0e52,11401488000,0,0,20150301,20091223,282833,11,2,8
015abf053dccbf952b08a92b99869134,2850570000,0,0,20150302,20140910,20673,1,2,2
082dd072b559a7ee8a0efb4ef604b34f,1425297600,0,0,20150302,20081127,5631,11,2,1
0b60106cbe8591c0bc7ae6ea0f00995b,1425297600,0,0,20150302,20081127,23341,11,2,1
0fced481f4cf2ea8823d00da16ab7e9d,1425294000,0,0,20150302,20050801,50945,11,2,1
1c55008f78a4d8ee002b512d779c092b,8551764000,0,0,20150302,20060301,196338,11,2,6
24667bb00f2871722bf8f83f3d1b029a,2850530400,0,0,20150302,20100715,19758,11,2,2
2d02624b3406c99df090fd89af368c5c,1425297600,0,0,20150302,20081127,2682,11,2,1
320fcb2f95130e571ce9fcecd8daa235,1425272400,0,0,20150302,20070201,31899,11,2,1
34b595a04d4e8919798316bbec738c37,1425225600,0,0,20150302,20091223,40669,11,2,1
37d0139d8efc5e991b593f2dbd57e944,1425297600,0,0,20150302,20081127,3496,11,2,1
388ba4d194581d73ac9d88baa01cd0d9,1425297600,0,0,20150302,20081127,12194,11,2,1
3af2f013046d9e53964b5e34b1cef537,9977036400,1,0,20150302,20141127,36808,11,2,6
3b03c12a3f33144f9e9b43d8bb652d78,1425297600,0,0,20150302,20081127,3748,11,2,1
3d756e3a6c3f17e8cc3086af54bf7f7d,12827570400,0,0,20150302,20071221,134962,11,2,9
439b7c37b1760f8ecf399c39fb0b5122,2850530400,0,0,20150302,20100715,6365,11,2,2
45d1e5457bf2e4161e1cf796eaa3cb4c,1425261600,0,0,20150302,20060301,18603,11,2,1
490b741fc0fa7fa1ee40f8670f1ea254,12827455200,0,0,20150302,20070201,219988,11,2,9
4d2193bc33bbf472f4034988ecd70a62,2850559200,0,0,20150302,20080125,61217,11,2,2
55e159232bfa789a4fc4ce3408129b3c,1425276000,0,0,20150302,20091223,17314,11,2,1
58ade41cc48c2e4b30a8d979a9532285,1425308400,0,0,20150302,20080125,53508,11,2,1
5ba7a2155304bf7cb5de414d5ccbadff,1425272400,0,0,20150302,20091223,22475,11,2,1
5c73ef68b07581553c1c4e93a7b51e8f,1425297600,0,0,20150302,20081127,5189,11,2,1
5fd7b04b6305aeac2aec716b4b843f59,1425258000,0,0,20150302,20071221,61799,11,2,1
6499cc7834bae3a30d98d6e59ea01dad,223768094400,15,0,20150302,20070201,1275325,11,2,142
6c7faa628ba5988c06da46290c2ec2e5,2850580800,0,0,20150302,20080125,21583,11,2,2
6f7d43cf2ab92356f5db6ee9c11fee54,1425308400,1,0,20150302,20091223,4861,11,2,0
70889d344bcdd3efea3157adcab7fefa,1425265200,0,0,20150302,20100715,2228,11,2,1
779af55e32117e41640b1b1074e5ca53,1425276000,0,0,20150302,20091223,3859,11,2,1
77d8433e472a457f9f08eb77e90a3842,2850530400,0,0,20150302,20100715,3447,11,2,2
806eb0861107061df6504ce1a53a5b01,7126419600,0,0,20150302,20070201,66356,11,2,5
842bb1359e6a2c2ebc79f5452f0fb30a,1425297600,0,0,20150302,20081127,19939,11,2,1
9082734c2904096b8b2aab70e0c52b98,2850530400,0,0,20150302,20100715,3839,11,2,2
9923d8c10154407e0cdaa52d3137bd95,5701136400,0,0,20150302,20050801,1619449,11,2,4
9a445d5bab4a5647f0fa6f93df9b37fd,5701168800,0,0,20150302,20091223,26047,11,2,4
9b1b1a8e34c387adee01f01003eee3ed,1425276000,0,0,20150302,20070201,23962,11,2,1
9b4b066601de512ae3374487cd9c21df,2850530400,0,0,20150302,20050801,58701,11,2,2
9b59828fd338446b7684227da548bbcb,5701186800,0,0,20150302,20091223,57503,11,2,4
a1d908ea73478e197bb2b37b955a6f69,5701147200,0,0,20150302,20091223,41500,11,2,4
a2815ee8a2560f7cf41926da6ed9b83e,1425297600,0,0,20150302,20081127,2695,11,2,1
cb3ba7229819efd4f87f9ada73a7f0fb,1425279600,0,0,20150302,20080125,8342,11,2,1
cd46fca12e6ab2f833882142fa7b22d9,2850505200,0,0,20150302,20060301,139626,11,2,2
d51419997c7805869e95d84e490b4c19,4275810000,0,0,20150302,20100715,24384,11,2,3
d65a29e668ea2ad750565e012df92279,11402193600,3,0,20150302,20131104,7360,11,2,5
e2d128c24eb077cd80a63576f181490a,48459355200,7,0,20150302,20050801,416921,11,2,27
e40361f7efba71035cebb9b77de22753,1425297600,0,0,20150302,20081127,11138,11,2,1
f2445132635fa9b4608cb89102ae042d,5701086000,0,0,20150302,20070201,21066,11,2,4
f4d2fcc7d0e60bb55feb090d8a89a649,1425286800,0,0,20150302,20080125,11313,11,2,1
fc03ce6d2b72377dd7ca9a3f66ce42d8,45608670000,1,0,20150302,20050801,486770,11,2,31
fdd997c21490e3dd2673461bf32f0e52,25655050800,1,0,20150302,20091223,282833,11,2,17
0167494cd557ba06149fd3b636de14f1,5701482000,1,0,20150303,20050801,19492,11,2,3
0979524e58a87cd9a9c40369a46ab282,1425369600,0,0,20150303,20091223,10534,11,2,1
0a110a47b36b9706b4f18af219f9620b,1425315600,0,0,20150303,20091223,6219,11,2,1
0b60106cbe8591c0bc7ae6ea0f00995b,4276044000,0,0,20150303,20081127,23341,11,2,3
0e1a75422693b1fe058ef60b8c207565,4276184400,1,0,20150303,20050801,49086,11,2,2
0fced481f4cf2ea8823d00da16ab7e9d,7126840800,1,0,20150303,20050801,50945,11,2,4
1a5c7a91ec7183524b23790570d60eea,1425394800,0,0,20150303,20050801,7722,11,2,1
1c55008f78a4d8ee002b512d779c092b,9977583600,1,0,20150303,20060301,196338,11,2,6
28ff611ce6c2fd1d4c45de886070a12a,7126840800,0,0,20150303,20070201,20111,11,2,5
320fcb2f95130e571ce9fcecd8daa235,1425315600,0,0,20150303,20070201,31899,11,2,1
34b595a04d4e8919798316bbec738c37,1425373200,0,0,20150303,20091223,40669,11,2,1
3af2f013046d9e53964b5e34b1cef537,4276047600,0,0,20150303,20141127,36808,11,2,3
3d756e3a6c3f17e8cc3086af54bf7f7d,19955080800,1,0,20150303,20071221,134962,11,2,13
490b741fc0fa7fa1ee40f8670f1ea254,14253678000,3,0,20150303,20070201,219988,11,2,7
499f7229a106d2b2d5804a9935900718,1425394800,1,0,20150303,20091223,6257,11,2,0
4d2193bc33bbf472f4034988ecd70a62,2850753600,2,0,20150303,20080125,61217,11,2,0
5102c08f2cd7c233b040d5d46f97701b,1425312000,0,0,20150303,20091223,6105,11,2,1
55e159232bfa789a4fc4ce3408129b3c,1425351600,0,0,20150303,20091223,17314,11,2,1
58ade41cc48c2e4b30a8d979a9532285,7126876800,0,0,20150303,20080125,53508,11,2,5
5b2823df5755bc04c2765386e925c9b2,1425394800,1,0,20150303,20091223,7857,11,2,0
5ba7a2155304bf7cb5de414d5ccbadff,2850757200,0,0,20150303,20091223,22475,11,2,2
5fd7b04b6305aeac2aec716b4b843f59,1425391200,0,0,20150303,20071221,61799,11,2,1
6499cc7834bae3a30d98d6e59ea01dad,300752535600,20,1,20150303,20070201,1275325,11,2,190
6c7faa628ba5988c06da46290c2ec2e5,2850753600,0,0,20150303,20080125,21583,11,2,2
6f7d43cf2ab92356f5db6ee9c11fee54,1425362400,0,0,20150303,20091223,4861,11,2,1
779af55e32117e41640b1b1074e5ca53,12828247200,0,0,20150303,20091223,3859,11,2,9
7eda4a97e6262c979a095c4fe0d4f9ff,1425366000,0,0,20150303,20071221,15687,11,2,1
806eb0861107061df6504ce1a53a5b01,4276076400,1,0,20150303,20070201,66356,11,2,2
842bb1359e6a2c2ebc79f5452f0fb30a,12828290400,1,0,20150303,20081127,19939,11,2,8
86c7aef67c74e00a902bd40fdba6588c,1425373200,1,0,20150303,20091223,10138,11,2,0
9923d8c10154407e0cdaa52d3137bd95,11402888400,2,0,20150303,20050801,1619449,11,2,6
9a445d5bab4a5647f0fa6f93df9b37fd,4276076400,1,0,20150303,20091223,26047,11,2,2
9b4b066601de512ae3374487cd9c21df,7126923600,1,0,20150303,20050801,58701,11,2,4
9b59828fd338446b7684227da548bbcb,11402974800,1,0,20150303,20091223,57503,11,2,7
a764cb9a97a76948c3bb701a4933ca87,1425369600,0,0,20150303,20091223,13721,11,2,1
bdcf6321cde0d48f4d4d8da8ad640ad7,1425340800,0,0,20150303,20080125,6581,11,2,1
be7832ef52be90e4be1b960ace3c92b8,2850753600,0,0,20150303,20050801,6009,11,2,2
caae8afc3a7f21c2b17c3abd6ef35035,1425344400,0,0,20150303,20060301,11052,11,2,1
cd46fca12e6ab2f833882142fa7b22d9,8552275200,4,0,20150303,20060301,139626,11,2,2
d65a29e668ea2ad750565e012df92279,19955088000,3,0,20150303,20131104,7360,11,2,11
da05348ff6e78f97c1547698d9735935,2850699600,0,0,20150303,20070201,13365,11,2,2
e2d128c24eb077cd80a63576f181490a,52738668000,8,1,20150303,20050801,416921,11,2,28
e40361f7efba71035cebb9b77de22753,1425366000,0,0,20150303,20081127,11138,11,2,1
f07aeb911b4008fb7c38c187a74b9bf7,2850753600,0,0,20150303,20050801,7529,11,2,2
f2445132635fa9b4608cb89102ae042d,2850631200,0,0,20150303,20070201,21066,11,2,2
f4d2fcc7d0e60bb55feb090d8a89a649,1425340800,0,0,20150303,20080125,11313,11,2,1
fc03ce6d2b72377dd7ca9a3f66ce42d8,39910204800,3,0,20150303,20050801,486770,11,2,25
fdd997c21490e3dd2673461bf32f0e52,22805870400,1,0,20150303,20091223,282833,11,2,15
0167494cd557ba06149fd3b636de14f1,2850890400,1,0,20150304,20050801,19492,11,2,1
0e1a75422693b1fe058ef60b8c207565,9978116400,2,0,20150304,20050801,49086,11,2,5
0fced481f4cf2ea8823d00da16ab7e9d,4276364400,1,0,20150304,20050801,50945,11,2,2
16091d8939e3241e5a83f287d471cd72,2850879600,1,0,20150304,20080125,2849,11,2,1
1a5c7a91ec7183524b23790570d60eea,2850901200,1,0,20150304,20050801,7722,11,2,1
1c55008f78a4d8ee002b512d779c092b,34210843200,4,0,20150304,20060301,196338,11,2,20
28ff611ce6c2fd1d4c45de886070a12a,2850861600,0,0,20150304,20070201,20111,11,2,2
320fcb2f95130e571ce9fcecd8daa235,1425481200,0,0,20150304,20070201,31899,11,2,1
39d444f5df421d287659b8797a4cc610,1425477600,1,0,20150304,20080125,1245,11,2,0
3af2f013046d9e53964b5e34b1cef537,9978210000,0,0,20150304,20141127,36808,11,2,7
3d756e3a6c3f17e8cc3086af54bf7f7d,34210897200,1,0,20150304,20071221,134962,11,2,23
45d1e5457bf2e4161e1cf796eaa3cb4c,2850904800,0,0,20150304,20060301,18603,11,2,2
4d2193bc33bbf472f4034988ecd70a62,5701824000,1,0,20150304,20080125,61217,11,2,3
4ec1ad702223e5aab7783d0e10aaae45,1425477600,1,0,20150304,20080125,3525,11,2,0
555f05ad7e1c549a83458c4c850cbd53,2850832800,0,0,20150304,20091223,6885,11,2,2
55e159232bfa789a4fc4ce3408129b3c,4276335600,0,0,20150304,20091223,17314,11,2,3
58ade41cc48c2e4b30a8d979a9532285,8552682000,1,0,20150304,20080125,53508,11,2,5
5b1f0e0e2e8a15b33c3e8643b66c1815,1425477600,1,0,20150304,20080125,1871,11,2,0
5ba7a2155304bf7cb5de414d5ccbadff,1425459600,0,0,20150304,20091223,22475,11,2,1
5c73ef68b07581553c1c4e93a7b51e8f,1425463200,0,0,20150304,20081127,5189,11,2,1
5d0e6e4660b2a0d719be472cb71868e8,1425477600,1,0,20150304,20080125,12773,11,2,0
5fd7b04b6305aeac2aec716b4b843f59,11403766800,1,0,20150304,20071221,61799,11,2,7
6499cc7834bae3a30d98d6e59ea01dad,265132872000,22,0,20150304,20070201,1275325,11,2,164
6c7faa628ba5988c06da46290c2ec2e5,2850922800,1,0,20150304,20080125,21583,11,2,1
7743f089e6719a25189b611ee8dda3bd,1425477600,1,0,20150304,20080125,1916,11,2,0
779af55e32117e41640b1b1074e5ca53,4276422000,0,0,20150304,20091223,3859,11,2,3
7eda4a97e6262c979a095c4fe0d4f9ff,1425477600,0,0,20150304,20071221,15687,11,2,1
806eb0861107061df6504ce1a53a5b01,8552620800,0,0,20150304,20070201,66356,11,2,6
842bb1359e6a2c2ebc79f5452f0fb30a,1425441600,0,0,20150304,20081127,19939,11,2,1
88e3b845be4705ea999b89ce1e34b58b,2850958800,1,0,20150304,20080125,11143,11,2,1
896c225f4d579a2450f27b3ff1505d63,1425477600,1,0,20150304,20080125,1695,11,2,0
89d29454ebb48e4de5376622d871adcb,1425477600,0,0,20150304,20071221,2761,11,2,1
89e7a538a53860ff52d66b2a52e88fcd,2850958800,1,0,20150304,20080125,3104,11,2,1
9923d8c10154407e0cdaa52d3137bd95,19956304800,2,0,20150304,20050801,1619449,11,2,12
9a445d5bab4a5647f0fa6f93df9b37fd,4276328400,0,0,20150304,20091223,26047,11,2,3
9b4b066601de512ae3374487cd9c21df,14254524000,1,0,20150304,20050801,58701,11,2,9
9b59828fd338446b7684227da548bbcb,15679882800,1,0,20150304,20091223,57503,11,2,10
a0b34fd347b8a7001b40bef8c2da506a,1425477600,0,0,20150304,20071221,5061,11,2,1
a0fc8380c8b04e89f8246c35cdb50874,1425477600,1,0,20150304,20080125,2798,11,2,0
a43d6a7eccd1b22cdee3e920b395e7c4,1425477600,1,0,20150304,20080125,1551,11,2,0
a764cb9a97a76948c3bb701a4933ca87,1425448800,0,0,20150304,20091223,13721,11,2,1
a7e1a78ade437cd88af3422404ff573e,1425398400,0,0,20150304,20060301,5477,11,2,1
ad0ab148bd10ebde5919d6161a22b13a,2850958800,1,0,20150304,20080125,7506,11,2,1
aef338f87e84f6207e161ecd2e86a899,2850958800,1,0,20150304,20080125,2393,11,2,1
bdcf6321cde0d48f4d4d8da8ad640ad7,1425477600,1,0,20150304,20080125,6581,11,2,0
be7832ef52be90e4be1b960ace3c92b8,2850901200,1,0,20150304,20050801,6009,11,2,1
c7183a8cb8057e6ae4cfb80c0cb54f26,1425481200,1,0,20150304,20080125,5922,11,2,0
cb39db5de7f1fb4371aa566f66ab41ae,1425477600,1,0,20150304,20080125,2055,11,2,0
cb3ba7229819efd4f87f9ada73a7f0fb,2850958800,1,0,20150304,20080125,8342,11,2,1
cd46fca12e6ab2f833882142fa7b22d9,19956304800,2,0,20150304,20060301,139626,11,2,12
cfa076e9ea409ca92ea8b58d626c944a,2850958800,1,0,20150304,20080125,4816,11,2,1
d51419997c7805869e95d84e490b4c19,1425474000,0,0,20150304,20100715,24384,11,2,1
d65a29e668ea2ad750565e012df92279,1425430800,0,0,20150304,20131104,7360,11,2,1
d921aa9dd01570a735c1a100ae084759,1425459600,0,0,20150304,20091223,22298,11,2,1
da05348ff6e78f97c1547698d9735935,1425448800,0,0,20150304,20070201,13365,11,2,1
dd091c4be9c4b312da887364e1561510,1425477600,0,0,20150304,20071221,3062,11,2,1
e2d128c24eb077cd80a63576f181490a,61294114800,9,0,20150304,20050801,416921,11,2,34
e40361f7efba71035cebb9b77de22753,1425430800,0,0,20150304,20081127,11138,11,2,1
e496ef2a75e8026834953cc4a3e0acee,1425477600,0,0,20150304,20071221,2764,11,2,1
ef49832e8e7b07590b0ca35338dec667,1425477600,1,0,20150304,20080125,1016,11,2,0
efce398ca61c7826b6dcfe9e56f0a48a,1425477600,1,0,20150304,20080125,3220,11,2,0
f07aeb911b4008fb7c38c187a74b9bf7,2850901200,1,0,20150304,20050801,7529,11,2,1
f2445132635fa9b4608cb89102ae042d,7127197200,0,0,20150304,20070201,21066,11,2,5
f4d2fcc7d0e60bb55feb090d8a89a649,1425477600,1,0,20150304,20080125,11313,11,2,0
f58776c91d4aecb65ecb5457a2109e61,2850940800,1,0,20150304,20080125,5518,11,2,1
fc03ce6d2b72377dd7ca9a3f66ce42d8,51315958800,2,0,20150304,20050801,486770,11,2,34
fdd997c21490e3dd2673461bf32f0e52,15679832400,3,0,20150304,20091223,282833,11,2,8
0167494cd557ba06149fd3b636de14f1,1425567600,1,0,20150305,20050801,19492,11,2,0
086aea2548d20514aa29d0045197397f,1425513600,0,0,20150305,20091223,10866,11,2,1
0979524e58a87cd9a9c40369a46ab282,1425495600,0,0,20150305,20091223,10534,11,2,1
0b60106cbe8591c0bc7ae6ea0f00995b,1425528000,0,0,20150305,20081127,23341,11,2,1
0e1a75422693b1fe058ef60b8c207565,1425567600,0,0,20150305,20050801,49086,11,2,1
0fced481f4cf2ea8823d00da16ab7e9d,11404249200,1,0,20150305,20050801,50945,11,2,7
16091d8939e3241e5a83f287d471cd72,2851052400,0,0,20150305,20080125,2849,11,2,2
1c55008f78a4d8ee002b512d779c092b,38489594400,0,0,20150305,20060301,196338,11,2,27
28ff611ce6c2fd1d4c45de886070a12a,2851041600,0,0,20150305,20070201,20111,11,2,2
320fcb2f95130e571ce9fcecd8daa235,4276598400,0,0,20150305,20070201,31899,11,2,3
34b595a04d4e8919798316bbec738c37,1425488400,0,0,20150305,20091223,40669,11,2,1
388ba4d194581d73ac9d88baa01cd0d9,1425560400,0,0,20150305,20081127,12194,11,2,1
39d444f5df421d287659b8797a4cc610,2851052400,0,0,20150305,20080125,1245,11,2,2
3af2f013046d9e53964b5e34b1cef537,19957381200,1,0,20150305,20141127,36808,11,2,13
3d756e3a6c3f17e8cc3086af54bf7f7d,18531885600,2,0,20150305,20071221,134962,11,2,11
45d1e5457bf2e4161e1cf796eaa3cb4c,1425542400,0,0,20150305,20060301,18603,11,2,1
490b741fc0fa7fa1ee40f8670f1ea254,18532008000,1,0,20150305,20070201,219988,11,2,12
499f7229a106d2b2d5804a9935900718,1425495600,0,0,20150305,20091223,6257,11,2,1
4d2193bc33bbf472f4034988ecd70a62,1425488400,0,0,20150305,20080125,61217,11,2,1
4ec1ad702223e5aab7783d0e10aaae45,1425488400,0,0,20150305,20080125,3525,11,2,1
58ade41cc48c2e4b30a8d979a9532285,14255380800,1,0,20150305,20080125,53508,11,2,9
5b1f0e0e2e8a15b33c3e8643b66c1815,2851052400,0,0,20150305,20080125,1871,11,2,2
5ba7a2155304bf7cb5de414d5ccbadff,1425542400,0,0,20150305,20091223,22475,11,2,1
5d0e6e4660b2a0d719be472cb71868e8,4276566000,0,0,20150305,20080125,12773,11,2,3
5fd7b04b6305aeac2aec716b4b843f59,7127701200,1,0,20150305,20071221,61799,11,2,4
6499cc7834bae3a30d98d6e59ea01dad,196723933200,18,0,20150305,20070201,1275325,11,2,120
6c7faa628ba5988c06da46290c2ec2e5,7127636400,0,0,20150305,20080125,21583,11,2,5
6e0fbad74aab9e7b18472be5427584c4,1425484800,0,0,20150305,20121221,7154,1,2,1
722631b7d2da6cb7f69e93eaae1aa996,1425495600,0,0,20150305,20091223,10233,11,2,1
7743f089e6719a25189b611ee8dda3bd,1425488400,0,0,20150305,20080125,1916,11,2,1
806eb0861107061df6504ce1a53a5b01,9978750000,0,0,20150305,20070201,66356,11,2,7
842bb1359e6a2c2ebc79f5452f0fb30a,2851117200,1,0,20150305,20081127,19939,11,2,1
88e3b845be4705ea999b89ce1e34b58b,1425567600,0,0,20150305,20080125,11143,11,2,1
896c225f4d579a2450f27b3ff1505d63,2850973200,0,0,20150305,20080125,1695,11,2,2
89e7a538a53860ff52d66b2a52e88fcd,1425567600,0,0,20150305,20080125,3104,11,2,1
8af7c4032f8c540f5021e8e5146dafdc,1425495600,0,0,20150305,20091223,12051,11,2,1
97b8414834e3e1947da313dda6f57710,1425499200,0,0,20150305,20091223,4504,11,2,1
9923d8c10154407e0cdaa52d3137bd95,12829780800,0,0,20150305,20050801,1619449,11,2,9
9a445d5bab4a5647f0fa6f93df9b37fd,2851056000,0,0,20150305,20091223,26047,11,2,2
9b1b1a8e34c387adee01f01003eee3ed,1425495600,0,0,20150305,20070201,23962,11,2,1
9b4b066601de512ae3374487cd9c21df,5702043600,0,0,20150305,20050801,58701,11,2,4
9b59828fd338446b7684227da548bbcb,11404249200,0,0,20150305,20091223,57503,11,2,8
a0fc8380c8b04e89f8246c35cdb50874,4276537200,0,0,20150305,20080125,2798,11,2,3
a1d908ea73478e197bb2b37b955a6f69,1425499200,0,0,20150305,20091223,41500,11,2,1
a43d6a7eccd1b22cdee3e920b395e7c4,4276540800,0,0,20150305,20080125,1551,11,2,3
ad0ab148bd10ebde5919d6161a22b13a,2851052400,0,0,20150305,20080125,7506,11,2,2
cb39db5de7f1fb4371aa566f66ab41ae,1425567600,0,0,20150305,20080125,2055,11,2,1
cb3ba7229819efd4f87f9ada73a7f0fb,2851056000,0,0,20150305,20080125,8342,11,2,2
cd46fca12e6ab2f833882142fa7b22d9,5702126400,1,0,20150305,20060301,139626,11,2,3
cfa076e9ea409ca92ea8b58d626c944a,2851052400,0,0,20150305,20080125,4816,11,2,2
d51419997c7805869e95d84e490b4c19,1425524400,0,0,20150305,20100715,24384,11,2,1
d65a29e668ea2ad750565e012df92279,24234314400,7,0,20150305,20131104,7360,11,2,10
d921aa9dd01570a735c1a100ae084759,439064460000,0,0,20150305,20091223,22298,11,2,308
da05348ff6e78f97c1547698d9735935,2851113600,0,0,20150305,20070201,13365,11,2,2
e2d128c24eb077cd80a63576f181490a,59872597200,7,0,20150305,20050801,416921,11,2,35
e40361f7efba71035cebb9b77de22753,1425556800,0,0,20150305,20081127,11138,11,2,1
efce398ca61c7826b6dcfe9e56f0a48a,2850973200,0,0,20150305,20080125,3220,11,2,2
f2445132635fa9b4608cb89102ae042d,1425546000,0,0,20150305,20070201,21066,11,2,1
f4d2fcc7d0e60bb55feb090d8a89a649,4276526400,0,0,20150305,20080125,11313,11,2,3
fc03ce6d2b72377dd7ca9a3f66ce42d8,61297952400,3,0,20150305,20050801,486770,11,2,40
fdd997c21490e3dd2673461bf32f0e52,37063922400,4,0,20150305,20091223,282833,11,2,22
015abf053dccbf952b08a92b99869134,1425618000,0,0,20150306,20140910,20673,1,2,1
0979524e58a87cd9a9c40369a46ab282,2851192800,0,0,20150306,20091223,10534,11,2,2
