song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
12268d497f27583b583dd4e039adbba0,48456370800,2,0,20150301,20130725,410967,1,2,32
21add3368e3e77b9a24cd1441a88d740,4275558000,0,0,20150301,20140505,23441,1,2,3
227664a396dbe005fccfb1e96be02641,38479870800,1,0,20150301,20130725,393058,1,2,26
288be56011424adaac6e5304448a7682,55582218000,6,0,20150301,20130725,2342058,1,2,33
28967bd67f2646b6e9caaf7f0f55e2b6,29928916800,2,0,20150301,20130725,1161439,1,2,19
2a69a4c6e6b7be06cdf220161a395eb1,5700783600,0,0,20150301,20140505,25864,1,2,4
32220ff89c44509841e8e94a5a2348af,45606060000,4,0,20150301,20130725,426742,1,2,28
382000c03246a2b627b8ceccc07e7dff,27078598800,0,0,20150301,20140505,94167,1,2,19
3c167627027c9716e6c682c6a634030b,4275586800,0,0,20150301,20140505,14515,1,2,3
3c3eeb7dcdcee1bf19990b3988fbd70e,2850375600,0,0,20150301,20140505,22655,1,2,2
6ccf38ade83a871c5f27b5dd5f00afec,32779227600,4,0,20150301,20130725,513770,1,2,19
7bc63ca0aed1c04df663c841f39d41d5,5700790800,0,0,20150301,20140505,14883,1,2,4
7cf1a6076fc4339806a2371085ad9f7c,88361787600,10,0,20150301,20130725,828181,1,2,52
7ec488fc483386cdada5448864e82990,188125254000,14,1,20150301,20130725,5503742,1,2,117
8245546f37fd35c45a841fa3460d4de0,114015261600,7,0,20150301,20130725,2110389,1,2,73
c32c4efa25f83ef4b0c4ebd479653274,4275586800,0,0,20150301,20140505,16285,1,2,3
ceabe199d74958ad11f2c33b86f88f3a,7125969600,0,0,20150301,20140505,26736,1,2,5
d04c55f85c853074cf1301c723bd2dd3,226604523600,17,0,20150301,20130725,3455702,1,2,142
12268d497f27583b583dd4e039adbba0,32781373200,4,0,20150302,20130725,410967,1,2,19
21add3368e3e77b9a24cd1441a88d740,7126401600,1,0,20150302,20140505,23441,1,2,4
227664a396dbe005fccfb1e96be02641,27080128800,3,0,20150302,20130725,393058,1,2,16
288be56011424adaac6e5304448a7682,44183689200,2,0,20150302,20130725,2342058,1,2,29
28967bd67f2646b6e9caaf7f0f55e2b6,29930817600,2,0,20150302,20130725,1161439,1,2,19
2a69a4c6e6b7be06cdf220161a395eb1,7126383600,1,0,20150302,20140505,25864,1,2,4
32220ff89c44509841e8e94a5a2348af,35631921600,3,0,20150302,20130725,426742,1,2,22
382000c03246a2b627b8ceccc07e7dff,12827570400,1,0,20150302,20140505,94167,1,2,8
3c167627027c9716e6c682c6a634030b,4275835200,1,0,20150302,20140505,14515,1,2,2
3c1e8db3188e9d39c8cc94867b792742,1425276000,1,0,20150302,20140505,16908,1,2,0
3c3eeb7dcdcee1bf19990b3988fbd70e,5701093200,1,0,20150302,20140505,22655,1,2,3
6ccf38ade83a871c5f27b5dd5f00afec,35631993600,2,0,20150302,20130725,513770,1,2,23
7bc63ca0aed1c04df663c841f39d41d5,2850559200,1,0,20150302,20140505,14883,1,2,1
7cf1a6076fc4339806a2371085ad9f7c,72689007600,7,0,20150302,20130725,828181,1,2,44
7ec488fc483386cdada5448864e82990,166757166000,22,0,20150302,20130725,5503742,1,2,95
8245546f37fd35c45a841fa3460d4de0,112596721200,2,0,20150302,20130725,2110389,1,2,77
c32c4efa25f83ef4b0c4ebd479653274,4275835200,1,0,20150302,20140505,16285,1,2,2
ceabe199d74958ad11f2c33b86f88f3a,15678226800,1,0,20150302,20140505,26736,1,2,10
d04c55f85c853074cf1301c723bd2dd3,169607912400,19,1,20150302,20130725,3455702,1,2,99
12268d497f27583b583dd4e039adbba0,37059444000,3,0,20150303,20130725,410967,1,2,23
21add3368e3e77b9a24cd1441a88d740,7126740000,1,0,20150303,20140505,23441,1,2,4
227664a396dbe005fccfb1e96be02641,18529826400,1,0,20150303,20130725,393058,1,2,12
288be56011424adaac6e5304448a7682,55589529600,4,0,20150303,20130725,2342058,1,2,35
28967bd67f2646b6e9caaf7f0f55e2b6,22805722800,1,0,20150303,20130725,1161439,1,2,15
2a69a4c6e6b7be06cdf220161a395eb1,4276098000,1,0,20150303,20140505,25864,1,2,2
32220ff89c44509841e8e94a5a2348af,24231218400,1,0,20150303,20130725,426742,1,2,16
382000c03246a2b627b8ceccc07e7dff,9977590800,1,0,20150303,20140505,94167,1,2,6
3c167627027c9716e6c682c6a634030b,1425358800,1,0,20150303,20140505,14515,1,2,0
3c1e8db3188e9d39c8cc94867b792742,1425358800,1,0,20150303,20140505,16908,1,2,0
3c3eeb7dcdcee1bf19990b3988fbd70e,4276069200,1,0,20150303,20140505,22655,1,2,2
6ccf38ade83a871c5f27b5dd5f00afec,29932696800,3,0,20150303,20130725,513770,1,2,18
7bc63ca0aed1c04df663c841f39d41d5,2850750000,1,0,20150303,20140505,14883,1,2,1
7cf1a6076fc4339806a2371085ad9f7c,68417521200,4,0,20150303,20130725,828181,1,2,44
7ec488fc483386cdada5448864e82990,171042930000,17,0,20150303,20130725,5503742,1,2,103
8245546f37fd35c45a841fa3460d4de0,76969353600,6,0,20150303,20130725,2110389,1,2,48
c32c4efa25f83ef4b0c4ebd479653274,1425358800,1,0,20150303,20140505,16285,1,2,0
ceabe199d74958ad11f2c33b86f88f3a,11402805600,1,0,20150303,20140505,26736,1,2,7
d04c55f85c853074cf1301c723bd2dd3,220931179200,22,0,20150303,20130725,3455702,1,2,133
12268d497f27583b583dd4e039adbba0,24232647600,3,0,20150304,20130725,410967,1,2,14
227664a396dbe005fccfb1e96be02641,58443231600,3,0,20150304,20130725,393058,1,2,38
288be56011424adaac6e5304448a7682,61294424400,7,0,20150304,20130725,2342058,1,2,36
28967bd67f2646b6e9caaf7f0f55e2b6,22807119600,2,0,20150304,20130725,1161439,1,2,14
2a69a4c6e6b7be06cdf220161a395eb1,1425434400,0,0,20150304,20140505,25864,1,2,1
32220ff89c44509841e8e94a5a2348af,41337885600,3,0,20150304,20130725,426742,1,2,26
382000c03246a2b627b8ceccc07e7dff,14254527600,3,0,20150304,20140505,94167,1,2,7
3c3eeb7dcdcee1bf19990b3988fbd70e,4276393200,0,0,20150304,20140505,22655,1,2,3
6ccf38ade83a871c5f27b5dd5f00afec,41338058400,5,0,20150304,20130725,513770,1,2,24
7cf1a6076fc4339806a2371085ad9f7c,108333702000,11,0,20150304,20130725,828181,1,2,65
7ec488fc483386cdada5448864e82990,179606498400,26,0,20150304,20130725,5503742,1,2,100
8245546f37fd35c45a841fa3460d4de0,95505300000,8,0,20150304,20130725,2110389,1,2,59
ceabe199d74958ad11f2c33b86f88f3a,7127254800,0,0,20150304,20140505,26736,1,2,5
d04c55f85c853074cf1301c723bd2dd3,248028328800,21,0,20150304,20130725,3455702,1,2,153
12268d497f27583b583dd4e039adbba0,39914730000,1,0,20150305,20130725,410967,1,2,27
21add3368e3e77b9a24cd1441a88d740,4276576800,0,0,20150305,20140505,23441,1,2,3
227664a396dbe005fccfb1e96be02641,49893433200,0,0,20150305,20130725,393058,1,2,35
288be56011424adaac6e5304448a7682,52744417200,2,0,20150305,20130725,2342058,1,2,35
28967bd67f2646b6e9caaf7f0f55e2b6,39914683200,0,0,20150305,20130725,1161439,1,2,28
2a69a4c6e6b7be06cdf220161a395eb1,2851066800,0,0,20150305,20140505,25864,1,2,2
32220ff89c44509841e8e94a5a2348af,38489158800,2,0,20150305,20130725,426742,1,2,25
382000c03246a2b627b8ceccc07e7dff,7127704800,0,0,20150305,20140505,94167,1,2,5
3c167627027c9716e6c682c6a634030b,1425549600,0,0,20150305,20140505,14515,1,2,1
3c1e8db3188e9d39c8cc94867b792742,2851066800,0,0,20150305,20140505,16908,1,2,2
3c3eeb7dcdcee1bf19990b3988fbd70e,8553265200,0,0,20150305,20140505,22655,1,2,6
6ccf38ade83a871c5f27b5dd5f00afec,57021080400,1,0,20150305,20130725,513770,1,2,39
7bc63ca0aed1c04df663c841f39d41d5,2851092000,0,0,20150305,20140505,14883,1,2,2
7cf1a6076fc4339806a2371085ad9f7c,99786700800,6,0,20150305,20130725,828181,1,2,64
7ec488fc483386cdada5448864e82990,250893316800,22,0,20150305,20130725,5503742,1,2,154
8245546f37fd35c45a841fa3460d4de0,88382624400,7,0,20150305,20130725,2110389,1,2,55
c32c4efa25f83ef4b0c4ebd479653274,1425549600,0,0,20150305,20140505,16285,1,2,1
ceabe199d74958ad11f2c33b86f88f3a,5702119200,0,0,20150305,20140505,26736,1,2,4
d04c55f85c853074cf1301c723bd2dd3,256596379200,24,0,20150305,20130725,3455702,1,2,156
12268d497f27583b583dd4e039adbba0,47045203200,3,0,20150306,20130725,410967,1,2,30
21add3368e3e77b9a24cd1441a88d740,4276872000,0,0,20150306,20140505,23441,1,2,3
227664a396dbe005fccfb1e96be02641,61301674800,5,0,20150306,20130725,393058,1,2,38
288be56011424adaac6e5304448a7682,64152828000,6,0,20150306,20130725,2342058,1,2,39
28967bd67f2646b6e9caaf7f0f55e2b6,38491675200,4,0,20150306,20130725,1161439,1,2,23
32220ff89c44509841e8e94a5a2348af,55599015600,4,0,20150306,20130725,426742,1,2,35
382000c03246a2b627b8ceccc07e7dff,9979455600,0,0,20150306,20140505,94167,1,2,7
3c3eeb7dcdcee1bf19990b3988fbd70e,1425632400,0,0,20150306,20140505,22655,1,2,1
6ccf38ade83a871c5f27b5dd5f00afec,49896748800,5,0,20150306,20130725,513770,1,2,30
7bc63ca0aed1c04df663c841f39d41d5,1425582000,0,0,20150306,20140505,14883,1,2,1
7cf1a6076fc4339806a2371085ad9f7c,101218654800,4,0,20150306,20130725,828181,1,2,67
7ec488fc483386cdada5448864e82990,279421297200,30,0,20150306,20130725,5503742,1,2,166
8245546f37fd35c45a841fa3460d4de0,105495627600,7,0,20150306,20130725,2110389,1,2,67
ceabe199d74958ad11f2c33b86f88f3a,2851214400,0,0,20150306,20140505,26736,1,2,2
d04c55f85c853074cf1301c723bd2dd3,272293783200,21,0,20150306,20130725,3455702,1,2,170
12268d497f27583b583dd4e039adbba0,65581923600,4,0,20150307,20130725,410967,1,2,42
