song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
04c84ce1a602007e22edb37635c54f7e,15677024400,1,0,20150301,20141130,47416,3,3,10
061dbd8b5601f1b7151017a5d26cb170,1425168000,0,0,20150301,20130324,11013,3,3,1
0e4028ae869b1e2a80caba6d2078a443,2850357600,0,0,20150301,20130324,80270,3,3,2
1056088cfbbcc0e817d1c3c972e827cf,2850372000,0,0,20150301,20120430,48710,3,3,2
15b682b05ddaf11ffb3614bc13619707,48456162000,3,0,20150301,20130310,726038,3,3,31
1d72c150a032ad0243fd5d4a580c6ea0,5700758400,0,0,20150301,20141130,25091,3,3,4
21495c0707b08035e151adc5c641e44a,2850429600,0,0,20150301,20140413,6971,3,3,2
26064416b745bad274a417724e1c01c3,54157032000,3,0,20150301,20130410,442910,3,3,35
398deaddda62313511060b6babc41b65,2850426000,0,0,20150301,20140409,36119,3,3,2
3b1af5aa07e4d9f9c3943f75adb0fecd,1425204000,0,0,20150301,20130310,20313,3,3,1
3d1d2fe7e786aecdba88efc0fde804ac,38479244400,0,0,20150301,20130217,245818,3,3,27
3e0abf48300c45837c71059252009033,1425211200,0,0,20150301,20120319,28989,3,3,1
4e4f2215f4ec3570ad02ca667f2f86f6,1425218400,0,0,20150301,20140323,11976,3,3,1
57bb5e4b0938933b37b2556a9ed27a05,2850382800,0,0,20150301,20120328,36009,3,3,2
5b5fa3653345de8d89e2d73370c362c6,145369292400,18,1,20150301,20150118,95808,3,3,83
61881a2f1633db23fecdf957b10ca74e,18527479200,1,0,20150301,20141211,46217,3,3,12
620435d5612f9b57d29b6acc27b233ff,2850364800,0,0,20150301,20140301,160379,3,3,2
67a500a0a781a138de38d8f25165b2ad,4275640800,0,0,20150301,20130217,23003,3,3,3
6ed79572a6a907c578a7417c5a4de751,2850429600,0,0,20150301,20140323,12049,3,3,2
703a46b91c0d56e0290e9f861fbd6682,5700798000,0,0,20150301,20140316,85796,3,3,4
75591bb3ef22652c0260494de1f051f9,1425196800,0,0,20150301,20120415,28193,3,3,1
7dd3295763d679d1167e21577e7e267f,7125897600,0,0,20150301,20120321,101490,3,3,5
7eafefc2fb536fbd91d696b101b3a314,11401603200,1,0,20150301,20150118,15296,3,3,7
82f97dafa8f456ad350defe2aed919ef,2850350400,1,0,20150301,20140316,5706,3,3,1
8d2f2eeeb990b2c15f809ad76bd977e0,1425196800,0,0,20150301,20120325,4988,3,3,1
a13cf1e39052b326fd4440a333b7b2c7,5700769200,0,0,20150301,20120319,61895,3,3,4
a4e9b58c4d08191ee23a03e7b4255186,8551242000,0,0,20150301,20130410,34845,3,3,6
b570bb2ab0a6126eb2c91b84aa64a30b,1425178800,0,0,20150301,20120325,26449,3,3,1
cd306aca3409b00ce217e7c72ba3953c,2850404400,0,0,20150301,20120408,49942,3,3,2
d6571a2b0519362ccd9711349cfb6046,2850368400,0,0,20150301,20130317,16684,3,3,2
d9e04744b62795ddfb95eb03d234be9f,1425207600,0,0,20150301,20120424,17283,3,3,1
dd57833135b809f3b72409bb0b17aa75,2850386400,0,0,20150301,20120321,13762,3,3,2
e3af08c567fcd4d4170baf82787afdaf,5700808800,2,0,20150301,20130217,222564,3,3,2
e77f4e8a90374406c2f3743acf0e9783,4275612000,0,0,20150301,20120401,24164,3,3,3
e95e6fa18992d02bc89c76153ed1710d,1425218400,0,0,20150301,20120430,4404,3,3,1
ea42fe4c80b75f8fcb796454507d7f88,1425196800,0,0,20150301,20140323,2906,3,3,1
ee1c488a27a2bf428bd52c8373a0c16a,4275547200,0,0,20150301,20141214,12387,3,3,3
f28d93a571f35fde4414f45869a54103,4275471600,0,0,20150301,20120415,69456,3,3,3
f46e560cb3394b1a7dd452a0bf8db470,1425218400,0,0,20150301,20140223,4470,3,3,1
f633ac9094544e3b1ef028a7f8a155b1,7126023600,0,0,20150301,20140413,28089,3,3,5
04c84ce1a602007e22edb37635c54f7e,14252788800,1,0,20150302,20141130,47416,3,3,9
061dbd8b5601f1b7151017a5d26cb170,1425301200,0,0,20150302,20130324,11013,3,3,1
0e4028ae869b1e2a80caba6d2078a443,7126430400,0,0,20150302,20130324,80270,3,3,5
1056088cfbbcc0e817d1c3c972e827cf,4275817200,0,0,20150302,20120430,48710,3,3,3
116ef70af9b0b09822ee118cc97aba19,1425308400,0,0,20150302,20140323,8771,3,3,1
15b682b05ddaf11ffb3614bc13619707,37057150800,3,0,20150302,20130310,726038,3,3,23
16af3366cedfed2ce3b81c11b426c766,4275889200,1,0,20150302,20120325,11068,3,3,2
1d72c150a032ad0243fd5d4a580c6ea0,8551558800,0,0,20150302,20141130,25091,3,3,6
1d9bea7ea37e2a4ce60f204c447c0ae1,2850609600,0,0,20150302,20120515,17046,3,3,2
26064416b745bad274a417724e1c01c3,35632108800,1,0,20150302,20130410,442910,3,3,24
398deaddda62313511060b6babc41b65,2850566400,1,0,20150302,20140409,36119,3,3,1
3b1af5aa07e4d9f9c3943f75adb0fecd,4275842400,0,0,20150302,20130310,20313,3,3,3
3b656c8123332cb2e5b3d9d3cd4b8347,71264732400,8,0,20150302,20150301,0,3,3,42
3d1d2fe7e786aecdba88efc0fde804ac,15678054000,1,0,20150302,20130217,245818,3,3,10
3e0abf48300c45837c71059252009033,2850541200,0,0,20150302,20120319,28989,3,3,2
4200895a9fe3a5a7f4efb7a4884e6954,4275831600,1,0,20150302,20120415,28192,3,3,2
4245293943ce453a3db439fa31e455b6,4275892800,0,0,20150302,20120424,15730,3,3,3
45763a8b586c69b364c8bc3562b56f69,1425283200,0,0,20150302,20120420,14035,3,3,1
4980ed48a1670dd68afe78bf34381290,1425279600,0,0,20150302,20120325,5212,3,3,1
4d8078c637a78013bf55b9bc5b319355,2850613200,0,0,20150302,20130317,17115,3,3,2
4e4f2215f4ec3570ad02ca667f2f86f6,1425297600,1,0,20150302,20140323,11976,3,3,0
4edf3dc7e5f134fe4e6ad20f67531008,2850584400,0,0,20150302,20120328,42003,3,3,2
532a5acadb629af87db01196d86b826c,1425308400,0,0,20150302,20140316,21479,3,3,1
53bd1b91bf4be6dd2b749d1d0388c475,1425268800,0,0,20150302,20140323,1330,3,3,1
57bb5e4b0938933b37b2556a9ed27a05,2850534000,0,0,20150302,20120328,36009,3,3,2
5b5fa3653345de8d89e2d73370c362c6,161055741600,14,0,20150302,20150118,95808,3,3,99
61881a2f1633db23fecdf957b10ca74e,17103315600,0,0,20150302,20141211,46217,3,3,12
618afdc03d125e55619bb21f1b0639db,2850588000,0,0,20150302,20130224,21695,3,3,2
620435d5612f9b57d29b6acc27b233ff,12827509200,0,0,20150302,20140301,160379,3,3,9
68d8e95b7cea40c135af98fa748d250f,1425276000,0,0,20150302,20120319,15262,3,3,1
6953dad70696f42944134a5bbe330ee1,1425283200,0,0,20150302,20120408,12337,3,3,1
6a38f1ed643ec6c02268146b96906183,1425276000,0,0,20150302,20120319,9903,3,3,1
6b67b8dde63aa732d5c0fa9ce8ea30c6,19953914400,4,0,20150302,20150301,0,3,3,10
6ea2fa73ee1af2b51bc3a52231c7b54d,4275867600,0,0,20150302,20120319,18401,3,3,3
703a46b91c0d56e0290e9f861fbd6682,21379032000,2,0,20150302,20140316,85796,3,3,13
73eff5253ce7adccaf36eb5d6966563d,98344868400,22,1,20150302,20150301,0,3,3,46
73f089512940daf391b26bdae2caeaba,17103348000,5,0,20150302,20150301,0,3,3,7
75591bb3ef22652c0260494de1f051f9,2850562800,0,0,20150302,20120415,28193,3,3,2
797a1d42f255a82a48d08ddc9733386f,1425290400,0,0,20150302,20140406,24621,3,3,1
7dd3295763d679d1167e21577e7e267f,18528584400,0,0,20150302,20120321,101490,3,3,13
7eafefc2fb536fbd91d696b101b3a314,22804520400,0,0,20150302,20150118,15296,3,3,16
8137e52f7e6e43d0bc11fa7dace4673b,1425279600,0,0,20150302,20140309,3439,3,3,1
87a5c61fc685d62be36781eacc63e57f,2850609600,0,0,20150302,20130303,16473,3,3,2
8d2f2eeeb990b2c15f809ad76bd977e0,7126419600,0,0,20150302,20120325,4988,3,3,5
8f67859bf932c37e3bfeb1b4d4671bd5,2850537600,0,0,20150302,20120408,7270,3,3,2
a13cf1e39052b326fd4440a333b7b2c7,4275802800,0,0,20150302,20120319,61895,3,3,3
a4e9b58c4d08191ee23a03e7b4255186,2850602400,0,0,20150302,20130410,34845,3,3,2
a5c243c344008c0fa2e0c8b2fc31ffe5,1425279600,0,0,20150302,20120325,4335,3,3,1
b2abad6dc290aa4a296c62d3ef1f53f6,2850609600,0,0,20150302,20140301,14846,3,3,2
b5014dab68cd0d405af233bfd196f31f,8551674000,2,0,20150302,20150301,0,3,3,4
b570bb2ab0a6126eb2c91b84aa64a30b,2850559200,0,0,20150302,20120325,26449,3,3,2
bdca298a709f24ef6d42ab1790bfb593,1425258000,0,0,20150302,20120401,18307,3,3,1
cd306aca3409b00ce217e7c72ba3953c,12827520000,2,0,20150302,20120408,49942,3,3,7
d11a3a005a69d0d13e0382d5ce05c0d8,1425276000,0,0,20150302,20120401,23010,3,3,1
d447901c264753d5a68d268a21586ce3,4275820800,0,0,20150302,20120420,37953,3,3,3
d6571a2b0519362ccd9711349cfb6046,2850609600,0,0,20150302,20130317,16684,3,3,2
d9e04744b62795ddfb95eb03d234be9f,2850588000,0,0,20150302,20120424,17283,3,3,2
da5e42b2dbae4f1e0a6adec04111ed21,2850580800,0,0,20150302,20120328,18809,3,3,2
dd57833135b809f3b72409bb0b17aa75,5701201200,1,0,20150302,20120321,13762,3,3,3
e3af08c567fcd4d4170baf82787afdaf,7126372800,0,0,20150302,20130217,222564,3,3,5
e53a04fe0ec366c01d44b68d3a058fac,2850588000,0,0,20150302,20120325,19214,3,3,2
e77f4e8a90374406c2f3743acf0e9783,5701111200,0,0,20150302,20120401,24164,3,3,4
e8e95293b37e1830559584ea032e019d,1425286800,0,0,20150302,20140406,7431,3,3,1
ea42fe4c80b75f8fcb796454507d7f88,2850580800,1,0,20150302,20140323,2906,3,3,1
ee1c488a27a2bf428bd52c8373a0c16a,2850541200,0,0,20150302,20141214,12387,3,3,2
f06a5d0e4eeb96936a8fcfd7099b2f43,1425276000,0,0,20150302,20120319,14574,3,3,1
f28d93a571f35fde4414f45869a54103,5701114800,0,0,20150302,20120415,69456,3,3,4
f4fd069ed8109e0dc7ee8292dcc0ac16,1425283200,0,0,20150302,20120408,10454,3,3,1
f633ac9094544e3b1ef028a7f8a155b1,4275842400,0,0,20150302,20140413,28089,3,3,3
f853df5c64b68f024028bb65d8b168d1,1425276000,0,0,20150302,20120401,4953,3,3,1
04c84ce1a602007e22edb37635c54f7e,15678903600,3,0,20150303,20141130,47416,3,3,8
06c4392ec2d50e54e3b6e4f32234e734,14253778800,0,0,20150303,20130303,11524,3,3,10
0e4028ae869b1e2a80caba6d2078a443,8552106000,2,0,20150303,20130324,80270,3,3,4
1056088cfbbcc0e817d1c3c972e827cf,8552127600,2,0,20150303,20120430,48710,3,3,4
15b682b05ddaf11ffb3614bc13619707,44186112000,2,0,20150303,20130310,726038,3,3,29
1cba4f7c797e0eee26e7e3c5372f2c2b,1425340800,0,0,20150303,20140216,14350,3,3,1
1d72c150a032ad0243fd5d4a580c6ea0,12828265200,2,0,20150303,20141130,25091,3,3,7
1d9bea7ea37e2a4ce60f204c447c0ae1,2850742800,2,0,20150303,20120515,17046,3,3,0
20ab71e400444e3baee1474b60bc77a0,1425376800,0,0,20150303,20140223,6948,3,3,1
26064416b745bad274a417724e1c01c3,34208719200,3,0,20150303,20130410,442910,3,3,21
2bd03ca1d1088055b4fe234da9c26e31,1425373200,1,0,20150303,20140216,2756,3,3,0
2d327e525363561e1942a12e5e2b9d09,1425369600,1,0,20150303,20130217,22068,3,3,0
346437dd99b2ebaa5be569d0d382c9fd,1425387600,0,0,20150303,20120515,5095,3,3,1
398deaddda62313511060b6babc41b65,4276054800,2,0,20150303,20140409,36119,3,3,1
3b1af5aa07e4d9f9c3943f75adb0fecd,5701478400,2,0,20150303,20130310,20313,3,3,2
3b656c8123332cb2e5b3d9d3cd4b8347,106902460800,17,0,20150303,20150301,0,3,3,58
3d1d2fe7e786aecdba88efc0fde804ac,24230973600,2,0,20150303,20130217,245818,3,3,15
3e0abf48300c45837c71059252009033,5701525200,1,0,20150303,20120319,28989,3,3,3
3f5bc9866484c46f12160d44a7e9e18c,5701262400,1,0,20150303,20140316,4227,3,3,3
4200895a9fe3a5a7f4efb7a4884e6954,9977587200,1,0,20150303,20120415,28192,3,3,6
4245293943ce453a3db439fa31e455b6,2850732000,1,0,20150303,20120424,15730,3,3,1
4d8078c637a78013bf55b9bc5b319355,1425369600,1,0,20150303,20130317,17115,3,3,0
4edf3dc7e5f134fe4e6ad20f67531008,7126822800,3,0,20150303,20120328,42003,3,3,2
532a5acadb629af87db01196d86b826c,4276058400,2,0,20150303,20140316,21479,3,3,1
53bd1b91bf4be6dd2b749d1d0388c475,1425358800,0,0,20150303,20140323,1330,3,3,1
57bb5e4b0938933b37b2556a9ed27a05,5701467600,1,0,20150303,20120328,36009,3,3,3
5b5fa3653345de8d89e2d73370c362c6,151088396400,16,0,20150303,20150118,95808,3,3,90
61881a2f1633db23fecdf957b10ca74e,32783317200,5,0,20150303,20141211,46217,3,3,18
618afdc03d125e55619bb21f1b0639db,4276054800,2,0,20150303,20130224,21695,3,3,1
620435d5612f9b57d29b6acc27b233ff,11402910000,3,0,20150303,20140301,160379,3,3,5
67a500a0a781a138de38d8f25165b2ad,5701453200,2,0,20150303,20130217,23003,3,3,2
6953dad70696f42944134a5bbe330ee1,1425373200,1,0,20150303,20120408,12337,3,3,0
6b67b8dde63aa732d5c0fa9ce8ea30c6,132559106400,24,0,20150303,20150301,0,3,3,69
6ea2fa73ee1af2b51bc3a52231c7b54d,1425369600,1,0,20150303,20120319,18401,3,3,0
6ed79572a6a907c578a7417c5a4de751,1425373200,1,0,20150303,20140323,12049,3,3,0
703a46b91c0d56e0290e9f861fbd6682,22805974800,2,0,20150303,20140316,85796,3,3,14
73eff5253ce7adccaf36eb5d6966563d,400526834400,39,0,20150303,20150301,0,3,3,242
73f089512940daf391b26bdae2caeaba,84096536400,14,0,20150303,20150301,0,3,3,45
75591bb3ef22652c0260494de1f051f9,4276108800,1,0,20150303,20120415,28193,3,3,2
797a1d42f255a82a48d08ddc9733386f,4276134000,3,0,20150303,20140406,24621,3,3,0
7dd3295763d679d1167e21577e7e267f,11402895600,1,0,20150303,20120321,101490,3,3,7
7eafefc2fb536fbd91d696b101b3a314,15679011600,2,0,20150303,20150118,15296,3,3,9
82f97dafa8f456ad350defe2aed919ef,2850771600,0,0,20150303,20140316,5706,3,3,2
87a5c61fc685d62be36781eacc63e57f,1425369600,1,0,20150303,20130303,16473,3,3,0
8d2f2eeeb990b2c15f809ad76bd977e0,4276123200,0,0,20150303,20120325,4988,3,3,3
8eeefb5752628d343f3adeee3b29227d,4276080000,1,0,20150303,20140301,17514,3,3,2
a13cf1e39052b326fd4440a333b7b2c7,8552246400,2,0,20150303,20120319,61895,3,3,4
a4e9b58c4d08191ee23a03e7b4255186,5701496400,1,0,20150303,20130410,34845,3,3,3
b2abad6dc290aa4a296c62d3ef1f53f6,1425369600,1,0,20150303,20140301,14846,3,3,0
b5014dab68cd0d405af233bfd196f31f,75544664400,15,0,20150303,20150301,0,3,3,38
b570bb2ab0a6126eb2c91b84aa64a30b,4276062000,1,0,20150303,20120325,26449,3,3,2
bdca298a709f24ef6d42ab1790bfb593,1425369600,1,0,20150303,20120401,18307,3,3,0
bdcad2ef297ece1471c4c91e0ac9640e,4276098000,1,0,20150303,20130324,37556,3,3,2
cd306aca3409b00ce217e7c72ba3953c,7126844400,2,0,20150303,20120408,49942,3,3,3
d11a3a005a69d0d13e0382d5ce05c0d8,2850728400,1,0,20150303,20120401,23010,3,3,1
d447901c264753d5a68d268a21586ce3,5701467600,2,0,20150303,20120420,37953,3,3,2
d6571a2b0519362ccd9711349cfb6046,2850696000,1,0,20150303,20130317,16684,3,3,1
d9e04744b62795ddfb95eb03d234be9f,7126876800,3,0,20150303,20120424,17283,3,3,2
da5e42b2dbae4f1e0a6adec04111ed21,2850760800,2,0,20150303,20120328,18809,3,3,0
e3af08c567fcd4d4170baf82787afdaf,8552188800,1,0,20150303,20130217,222564,3,3,5
e53a04fe0ec366c01d44b68d3a058fac,1425369600,1,0,20150303,20120325,19214,3,3,0
e77f4e8a90374406c2f3743acf0e9783,2850724800,1,0,20150303,20120401,24164,3,3,1
e8e95293b37e1830559584ea032e019d,1425369600,0,0,20150303,20140406,7431,3,3,1
e9a82e8cee5f695e194dd09b821165d3,4276076400,2,0,20150303,20140330,30163,3,3,1
ea42fe4c80b75f8fcb796454507d7f88,1425355200,0,0,20150303,20140323,2906,3,3,1
ee1c488a27a2bf428bd52c8373a0c16a,4276069200,0,0,20150303,20141214,12387,3,3,3
ef359cbe7b3938bfdd5f10c6907eeabe,1425369600,1,0,20150303,20130317,21994,3,3,0
f28d93a571f35fde4414f45869a54103,8552109600,2,0,20150303,20120415,69456,3,3,4
f633ac9094544e3b1ef028a7f8a155b1,7126862400,1,0,20150303,20140413,28089,3,3,4
f853df5c64b68f024028bb65d8b168d1,1425344400,0,0,20150303,20120401,4953,3,3,1
f8b8f84bd222caace2bb5da8ec83233a,1425384000,0,0,20150303,20140309,6344,3,3,1
04c84ce1a602007e22edb37635c54f7e,11403392400,3,0,20150304,20141130,47416,3,3,5
056a666fdbc07439bc9703ebd49564cb,1425441600,0,0,20150304,20120401,7026,3,3,1
06c4392ec2d50e54e3b6e4f32234e734,8552656800,0,0,20150304,20130303,11524,3,3,6
0e4028ae869b1e2a80caba6d2078a443,4276378800,0,0,20150304,20130324,80270,3,3,3
1056088cfbbcc0e817d1c3c972e827cf,11403460800,0,0,20150304,20120430,48710,3,3,8
15b682b05ddaf11ffb3614bc13619707,27083638800,2,0,20150304,20130310,726038,3,3,17
1d72c150a032ad0243fd5d4a580c6ea0,15679839600,1,0,20150304,20141130,25091,3,3,10
1d9bea7ea37e2a4ce60f204c447c0ae1,1425441600,0,0,20150304,20120515,17046,3,3,1
26064416b745bad274a417724e1c01c3,37061557200,2,0,20150304,20130410,442910,3,3,24
346437dd99b2ebaa5be569d0d382c9fd,1425441600,0,0,20150304,20120515,5095,3,3,1
