song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
0759062723c849f85a5a6ee31e2a42b0,2850339600,0,0,20150301,20050601,5221,11,2,2
08f32c112ec42bb4a47fbf3c60cf98a7,12826411200,1,0,20150301,20020701,48435,11,2,8
09ad4b1a44474636a60f9d7f39e669ee,7125919200,1,0,20150301,20020701,11611,11,2,4
0b290e3bdcd8c7f67c8310c8e1da90da,1425171600,1,0,20150301,20070701,9896,11,2,0
0eaa1837a114fb576ed5836354ee9be7,2850314400,2,0,20150301,20031101,36234,11,2,0
123ba455f24ff6c3189e8476ac0e7bca,1425171600,1,0,20150301,20031101,6409,11,2,0
14a7b289b0bf3f34316997a3c02d0d6e,1425171600,1,0,20150301,20070701,6079,11,2,0
173e5f6161adb5cfb9222ab990068dd6,1425222000,1,0,20150301,19981201,2326,11,2,0
1be824de5257bd6811c7b800ffe1ba89,185274568800,33,0,20150301,20070701,213241,11,2,97
23d45441861f043cc238481a5bc017a8,4275558000,1,0,20150301,20030401,19386,11,2,2
24f5907fd76dc4111a659d2f25310d4b,1425171600,1,0,20150301,20070601,13097,11,2,0
29bc0f9058a95765c9a84285165cdc5b,2850364800,1,0,20150301,20070701,9814,11,2,1
2c5bff4355d8368624eb44257813109e,2850379200,0,0,20150301,20001101,5078,11,2,2
31fb6ef9f50013f4eb1724f87362068c,1425171600,1,0,20150301,20040701,25084,11,2,0
37f0e2cfa72c9188a2ca67c1f6fa2565,19952766000,1,0,20150301,20070701,132677,11,2,13
3c73a1950b786c6e24a5f42e964276c5,4275568800,1,0,20150301,20050601,36007,11,2,2
4086f75f459c472957436e6d2dcb10de,1425171600,1,0,20150301,20070701,6247,11,2,0
454793925e32129013165f9c795f9d0c,1425171600,1,0,20150301,20050601,5897,11,2,0
4e0c08e43568dfe4f059efcd7b35b367,52731907200,6,0,20150301,20031101,409352,11,2,31
4fcacc3b4cf928ef317979a6f3c2d812,2850310800,1,0,20150301,19980518,13379,11,2,1
5774f43df8cb328f692b46e3a2aeabf7,17102167200,2,0,20150301,20070701,102684,11,2,10
58346616f04f0b9a94cc2c9b2427bfd5,1425211200,0,0,20150301,20120719,3135,1,2,1
5b621161e3f024cda32b4a295d21dee9,1425171600,1,0,20150301,20070701,12252,11,2,0
6164b9fd77369890bace5f349c61c54d,1425171600,1,0,20150301,20070701,13499,11,2,0
6f012a6263e9ec26ec31ee15d4f096a2,2850393600,1,0,20150301,20140411,100992,11,2,1
736ba4dfdd442659a422339af45dda5f,1425171600,1,0,20150301,20031101,18635,11,2,0
79ea79f7a378c1beee807ed8e5773f65,1425171600,1,0,20150301,20070701,6799,11,2,0
7adcc2000083fd86adfcb58e2ea6223b,5700625200,1,0,20150301,20040701,12797,11,2,3
7e73ebe566c2f7428def9c352a993ad9,1425171600,1,0,20150301,20070701,18558,11,2,0
8234f6562e44ef26622a03c01a554f76,5700715200,1,0,20150301,20141020,45951,11,2,3
874f9a7d5bcef6115f6564f84d4743b7,91212296400,27,0,20150301,20000501,8276,11,2,37
8a19a479ebf48e1147dd1877b1427788,2850364800,0,0,20150301,19990801,2937,11,2,2
8bb1cca096a780c8a45a5034d9aa8444,1425171600,1,0,20150301,20070601,25676,11,2,0
8c552d05066434cea74a72a96be6eaaa,4275601200,1,0,20150301,20070701,6072,11,2,2
905c8f0f340d4bf85dc4c40fe6558b0a,17102390400,2,0,20150301,20011201,188569,11,2,10
927e69b121a30c6c5071be63c5451f28,1425171600,1,0,20150301,20070601,23878,11,2,0
9a2b6c40c647c42eec77031e451c54d1,38479910400,3,0,20150301,19980518,61979,11,2,24
9c8db187a1e446da2588108d01eab97b,1425171600,1,0,20150301,20000501,6957,11,2,0
a00c48602f5ea24a83fbf33c1a181170,1425171600,1,0,20150301,20070701,9088,11,2,0
