song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
11076acd0f8b7d063ec411e13b1c71d9,1425171600,0,0,20150301,20070221,23623,2,2,1
486efb677b9129d7f33ecc99cb660ce7,4275532800,3,0,20150301,20030118,159068,2,2,0
72bcde7c6b8c784be4398680c3125621,1425168000,0,0,20150301,20070221,18887,2,2,1
ec37803e308720904e4424f8665d3a9a,1425204000,1,0,20150301,20030118,5040,2,2,0
ee5f47349213f86bce213a1ac37c97d3,1425168000,1,0,20150301,20070221,29006,2,2,0
486efb677b9129d7f33ecc99cb660ce7,8551652400,0,0,20150302,20030118,159068,2,2,6
72bcde7c6b8c784be4398680c3125621,1425250800,0,0,20150302,20070221,18887,2,2,1
8b072932bc4b1f56a24a27f15b3d7501,1425232800,1,0,20150302,20070606,1324,2,2,0
ec37803e308720904e4424f8665d3a9a,1425297600,0,0,20150302,20030118,5040,2,2,1
11076acd0f8b7d063ec411e13b1c71d9,2850688800,0,0,20150303,20070221,23623,2,2,2
486efb677b9129d7f33ecc99cb660ce7,18529704000,2,0,20150303,20030118,159068,2,2,11
68bb4c376666247925c9e99c1fb8d57a,1425366000,1,0,20150303,20030118,5848,2,2,0
72bcde7c6b8c784be4398680c3125621,1425319200,0,0,20150303,20070221,18887,2,2,1
74fe8d56b20972ab9733285b20e3cb4b,1425391200,0,0,20150303,20070606,3319,2,2,1
11076acd0f8b7d063ec411e13b1c71d9,9978109200,1,0,20150304,20070221,23623,2,2,6
1fc5a5836ca2b24355f87dafb75d8e1c,1425441600,0,0,20150304,20070221,341,2,2,1
486efb677b9129d7f33ecc99cb660ce7,27083610000,3,1,20150304,20030118,159068,2,2,15
72bcde7c6b8c784be4398680c3125621,1425402000,0,0,20150304,20070221,18887,2,2,1
ee5f47349213f86bce213a1ac37c97d3,5701831200,1,0,20150304,20070221,29006,2,2,3
11076acd0f8b7d063ec411e13b1c71d9,9978573600,2,0,20150305,20070221,23623,2,2,5
486efb677b9129d7f33ecc99cb660ce7,118318392000,4,0,20150305,20030118,159068,2,2,79
68bb4c376666247925c9e99c1fb8d57a,1425546000,0,0,20150305,20030118,5848,2,2,1
ee5f47349213f86bce213a1ac37c97d3,2851005600,0,0,20150305,20070221,29006,2,2,2
486efb677b9129d7f33ecc99cb660ce7,5702497200,0,0,20150306,20030118,159068,2,2,4
68bb4c376666247925c9e99c1fb8d57a,4276915200,0,0,20150306,20030118,5848,2,2,3
72bcde7c6b8c784be4398680c3125621,1425610800,0,0,20150306,20070221,18887,2,2,1
11076acd0f8b7d063ec411e13b1c71d9,1425726000,1,0,20150307,20070221,23623,2,2,0
1a4d984cf41e88d18789a984d0522a69,1425697200,0,0,20150307,20070221,2538,2,2,1
486efb677b9129d7f33ecc99cb660ce7,27088520400,2,0,20150307,20030118,159068,2,2,17
5d6ddea815ed6ccc1cdcff0f3a7da281,1425664800,0,0,20150307,20070221,4979,2,2,1
68bb4c376666247925c9e99c1fb8d57a,1425722400,0,0,20150307,20030118,5848,2,2,1
8b072932bc4b1f56a24a27f15b3d7501,1425708000,1,0,20150307,20070606,1324,2,2,0
ec37803e308720904e4424f8665d3a9a,1425700800,1,0,20150307,20030118,5040,2,2,0
ee5f47349213f86bce213a1ac37c97d3,2851369200,0,0,20150307,20070221,29006,2,2,2
11076acd0f8b7d063ec411e13b1c71d9,2851642800,0,0,20150308,20070221,23623,2,2,2
486efb677b9129d7f33ecc99cb660ce7,12832110000,1,0,20150308,20030118,159068,2,2,8
72bcde7c6b8c784be4398680c3125621,4277394000,1,0,20150308,20070221,18887,2,2,2
486efb677b9129d7f33ecc99cb660ce7,9981273600,3,0,20150309,20030118,159068,2,2,4
68bb4c376666247925c9e99c1fb8d57a,1425909600,1,0,20150309,20030118,5848,2,2,0
72bcde7c6b8c784be4398680c3125621,1425862800,1,0,20150309,20070221,18887,2,2,0
ee5f47349213f86bce213a1ac37c97d3,4277707200,2,0,20150309,20070221,29006,2,2,1
11076acd0f8b7d063ec411e13b1c71d9,2851920000,1,0,20150310,20070221,23623,2,2,1
4801570b63b3a9b6e5a60a0d67c01c7a,2851992000,0,0,20150310,20030118,1402,2,2,2
486efb677b9129d7f33ecc99cb660ce7,15685693200,0,0,20150310,20030118,159068,2,2,11
68bb4c376666247925c9e99c1fb8d57a,1425920400,0,0,20150310,20030118,5848,2,2,1
ec37803e308720904e4424f8665d3a9a,2851992000,0,0,20150310,20030118,5040,2,2,2
11076acd0f8b7d063ec411e13b1c71d9,2852161200,0,0,20150311,20070221,23623,2,2,2
486efb677b9129d7f33ecc99cb660ce7,12834561600,2,0,20150311,20030118,159068,2,2,7
72bcde7c6b8c784be4398680c3125621,1426024800,0,0,20150311,20070221,18887,2,2,1
ec37803e308720904e4424f8665d3a9a,1426064400,1,0,20150311,20030118,5040,2,2,0
ee5f47349213f86bce213a1ac37c97d3,4278178800,1,0,20150311,20070221,29006,2,2,2
