song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
07d3f3618230ea3d91fc281f7f3937fa,1425204000,0,0,20150301,20070304,6516,2,2,1
198ba3cea3f7a4a4b5be25f0bf802b3f,1425204000,0,0,20150301,20070304,4841,2,2,1
1d3033fa965b851e948a6d2f707e8f90,2850361200,0,0,20150301,19991201,14811,4,2,2
1fdb9e1e5953d94d1f9322fbd4c20008,1425150000,1,0,20150301,19800906,34745,2,2,0
39ad7a68f1e64ea5e69441dfcc1cfa17,5700769200,0,0,20150301,19991201,9642,4,2,4
5a9950d97ec5393dc4ca2edfd7d2c6a9,2850318000,0,0,20150301,19991201,50366,4,2,2
678551ceb047eef3ea152826ca27698b,5700736800,2,0,20150301,20070304,16146,2,2,2
6be027a3436256ce351bd4c1df01f6d2,1425171600,0,0,20150301,20070304,8633,2,2,1
7033a821459a02a3e7561863bfd5f569,2850422400,0,0,20150301,20070304,45401,2,2,2
7212abc603b73d4573c0251387ca0174,1425196800,0,0,20150301,19991201,8449,4,2,1
7de7caba8a671e32fb4cf4b94e5377cf,1425214800,0,0,20150301,19851110,22087,2,2,1
853988f0f8d680703acfcc9e5d353403,2850300000,0,0,20150301,19991201,21951,4,2,2
89814dde3439e85fface8baf3efc5a08,1425142800,0,0,20150301,20070304,15659,2,2,1
d208cd6de914521ebf36be8ceae4e9dc,1425139200,0,0,20150301,19851110,659,2,2,1
d41575385b78bc727e950784f7fb83e4,1425182400,0,0,20150301,19891122,720,2,2,1
e4a1d39d42ce6580683850d79c3796aa,1425196800,0,0,20150301,19991201,3919,4,2,1
e5aabdebd4047ee8dad9c98219d10876,1425193200,0,0,20150301,19991201,24735,4,2,1
e8502b5a8fe731441b345f3352089bcf,1425204000,0,0,20150301,20070304,8397,2,2,1
f91b2785092317c648ef8d36971dc330,1425142800,0,0,20150301,19960201,9851,2,2,1
157f52a7f398d82dcac0e56db588a5dd,1425290400,0,0,20150302,20070304,13753,2,2,1
198ba3cea3f7a4a4b5be25f0bf802b3f,1425290400,0,0,20150302,20070304,4841,2,2,1
1d3033fa965b851e948a6d2f707e8f90,1425290400,0,0,20150302,19991201,14811,4,2,1
1fdb9e1e5953d94d1f9322fbd4c20008,1425254400,0,0,20150302,19800906,34745,2,2,1
299bd0d42a5d27170a96db27d38b2557,1425290400,0,0,20150302,20100610,10352,2,2,1
2d88867eacc09587315e17b9e6a4ebd6,2850580800,0,0,20150302,20070304,4684,2,2,2
39ad7a68f1e64ea5e69441dfcc1cfa17,1425229200,0,0,20150302,19991201,9642,4,2,1
4833d6983418e9665484c97510ba29da,1425290400,0,0,20150302,20100610,8425,2,2,1
4fd7794ff6b46e8c3c1223b541eddefe,1425290400,0,0,20150302,19991201,2430,4,2,1
5a9950d97ec5393dc4ca2edfd7d2c6a9,1425308400,0,0,20150302,19991201,50366,4,2,1
678551ceb047eef3ea152826ca27698b,2850526800,2,0,20150302,20070304,16146,2,2,0
7033a821459a02a3e7561863bfd5f569,1425290400,0,0,20150302,20070304,45401,2,2,1
7212abc603b73d4573c0251387ca0174,2850580800,0,0,20150302,19991201,8449,4,2,2
7442999f17f3560768494ad5dd7f8a6f,1425290400,0,0,20150302,19991201,3830,4,2,1
7e4000eb3b6280594fc41cf4d0001aba,1425290400,0,0,20150302,19851110,26752,2,2,1
847fe2c54be9642ad4ec2a731be99cca,1425290400,0,0,20150302,19991201,4084,4,2,1
8b2894c1baaa1baabda503655f0b957d,2850580800,0,0,20150302,20100610,2393,2,2,2
8bfb669d50e68fd3216bc12156466d28,1425290400,0,0,20150302,19821021,3926,2,2,1
916123df723c67aef5e4a792ffb31f0d,1425290400,0,0,20150302,20070304,4243,2,2,1
958157cdffa47f400dcca8fc88597af8,1425290400,0,0,20150302,20070304,5791,2,2,1
b9c9551ade42672ab6b0409387074d26,1425290400,0,0,20150302,20070304,4067,2,2,1
c8ec43569450501517443b59a925ae1a,1425290400,0,0,20150302,20070304,4590,2,2,1
e4a1d39d42ce6580683850d79c3796aa,1425290400,0,0,20150302,19991201,3919,4,2,1
e8502b5a8fe731441b345f3352089bcf,1425290400,0,0,20150302,20070304,8397,2,2,1
07d3f3618230ea3d91fc281f7f3937fa,2850778800,0,0,20150303,20070304,6516,2,2,2
0948c48f9ebf9a9a6a263c06cba21d2b,1425384000,0,0,20150303,20070304,5947,2,2,1
198ba3cea3f7a4a4b5be25f0bf802b3f,4276134000,0,0,20150303,20070304,4841,2,2,3
1d3033fa965b851e948a6d2f707e8f90,4276123200,1,0,20150303,19991201,14811,4,2,2
