song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
09ae793cae7c4e355800cd2320cb6c42,22803040800,2,0,20150301,20130701,393173,3,1,14
2ead6a9e503064b012ebd9dba1866527,1425168000,0,0,20150301,20111125,24546,3,1,1
3fc1e1389fb7c5f6e9df22f12e1bca64,5700654000,0,0,20150301,20111125,5867,3,1,4
409d601876c27360ff47bd48b6fe5246,1425200400,0,0,20150301,20111118,6694,3,1,1
45cbf8977f1735f24271a2c80887b6c6,5700848400,1,0,20150301,20140716,46409,3,1,3
51b4370575f9377a2f0433d854e5c582,2850310800,1,0,20150301,20130701,85472,3,1,1
52149ffd01cf8419b79979be6006c544,1425214800,0,0,20150301,20091007,22281,3,1,1
5b2f08e955ab057fc6ae5560ab21472d,1425204000,0,0,20150301,20091007,6541,3,1,1
63d9733b277457d9eed2c08ac07ebca9,12826663200,3,0,20150301,20120104,88654,3,1,6
6bea99ee6f13b6838bbcd07cc3dbfc85,12826843200,2,0,20150301,20051026,62940,3,1,7
6c3f5273414e5cb6f8e222fd1219510f,5700668400,0,0,20150301,20111125,10252,3,1,4
708262652bf1c8dbe30d65b8f016eb54,1425178800,0,0,20150301,20130701,29178,3,1,1
826e51924404c0b44af2d9875186542c,4275612000,1,0,20150301,20040517,22613,3,1,2
95aaa8f3382010816b6ba39e55fd7c57,1425196800,0,0,20150301,20140617,91350,3,1,1
9df2498ddab2dacffaa2b2c349949e21,11401502400,0,0,20150301,20130701,430351,3,1,8
a31f99df529633c8254f6852bb929ae8,1425196800,0,0,20150301,20120104,13533,3,1,1
b08b2bb148a8025ebc9daff47ac6d071,1425218400,0,0,20150301,20130701,33969,3,1,1
b5653343f46731fea36c9c15e9920d66,1425178800,0,0,20150301,20091007,5183,3,1,1
b696f2377b70755ff30ea7498852f539,104038700400,13,0,20150301,20141205,193413,3,1,60
c531a3fab75d4f624c7ad5682ac9b14e,1425200400,0,0,20150301,20040517,3099,3,1,1
c7d41c633fb1df03395d3ee90ef1c84d,4275572400,1,0,20150301,20091007,34204,3,1,2
cc120a85c85e92e95bba078a9ef8b7dc,1425222000,1,0,20150301,20081110,17113,3,1,0
