Date,play
20150301,264
20150302,282
20150303,196
20150304,223
20150305,305
20150306,142
20150307,128
20150308,152
20150309,182
20150310,171
20150311,166
20150312,116
20150313,158
20150314,136
20150315,147
20150316,171
20150317,145
20150318,118
20150319,156
20150320,161
20150321,187
20150322,190
20150323,232
20150324,159
20150325,133
20150326,151
20150327,195
20150328,153
20150329,152
20150330,240
20150331,256
20150401,356
20150402,190
20150403,242
20150404,302
20150405,328
20150406,378
20150407,258
20150408,335
20150409,283
20150410,325
20150411,293
20150412,275
20150413,377
20150414,385
20150415,381
20150416,250
20150417,335
20150418,358
20150419,364
20150420,347
20150421,335
20150422,315
20150423,284
20150424,270
20150425,413
20150426,366
20150427,418
20150428,399
20150429,301
20150430,232
20150501,305
20150502,276
20150503,262
20150504,347
20150505,310
20150506,292
20150507,319
20150508,306
20150509,580
20150510,343
20150511,334
20150512,442
20150513,324
20150514,322
20150515,278
20150516,358
20150517,354
20150518,308
20150519,348
20150520,315
20150521,256
20150522,261
20150523,317
20150524,491
20150525,328
20150526,357
20150527,367
20150528,300
20150529,258
20150530,405
20150531,301
20150601,372
20150602,366
20150603,378
20150604,249
20150605,281
20150606,421
20150607,313
20150608,521
20150609,436
20150610,302
20150611,283
20150612,338
20150613,308
20150614,302
20150615,420
20150616,357
20150617,308
20150618,317
20150619,273
20150620,303
20150621,420
20150622,396
20150623,355
20150624,363
20150625,264
20150626,264
20150627,320
20150628,322
20150629,387
20150630,349
20150701,326
20150702,294
20150703,328
20150704,310
20150705,335
20150706,345
20150707,376
20150708,394
20150709,279
20150710,317
20150711,440
20150712,360
20150713,454
20150714,464
20150715,320
20150716,382
20150717,286
20150718,349
20150719,401
20150720,390
20150721,445
20150722,337
20150723,270
20150724,285
20150725,398
20150726,318
20150727,324
20150728,298
20150729,294
20150730,345
20150731,275
