Date,play
20150301,584
20150302,477
20150303,469
20150304,545
20150305,644
20150306,679
20150307,625
20150308,718
20150309,779
20150310,676
20150311,737
20150312,794
20150313,960
20150314,932
20150315,552
20150316,747
20150317,563
20150318,736
20150319,848
20150320,829
20150321,1048
20150322,980
20150323,875
20150324,836
20150325,941
20150326,851
20150327,805
20150328,731
20150329,912
20150330,868
20150331,1083
20150401,958
20150402,939
20150403,1106
20150404,1155
20150405,961
20150406,933
20150407,860
20150408,909
20150409,928
20150410,1020
20150411,1019
20150412,975
20150413,962
20150414,1064
20150415,967
20150416,1081
20150417,1030
20150418,928
20150419,1220
20150420,964
20150421,1028
20150422,961
20150423,1037
20150424,977
20150425,812
20150426,1020
20150427,1030
20150428,988
20150429,834
20150430,1083
20150501,840
20150502,1004
20150503,1354
20150504,1230
20150505,994
20150506,1358
20150507,1462
20150508,1081
20150509,1141
20150510,863
20150511,881
20150512,1192
20150513,1115
20150514,1111
20150515,970
20150516,766
20150517,1164
20150518,920
20150519,1058
20150520,912
20150521,1183
20150522,1249
20150523,1184
20150524,1073
20150525,1233
20150526,1300
20150527,1154
20150528,1266
20150529,992
20150530,840
20150531,1005
20150601,1211
20150602,1038
20150603,1169
20150604,980
20150605,1028
20150606,963
20150607,928
20150608,996
20150609,965
20150610,1023
20150611,1133
20150612,1097
20150613,719
20150614,910
20150615,1117
20150616,845
20150617,807
20150618,782
20150619,924
20150620,739
20150621,825
20150622,1031
20150623,809
20150624,843
20150625,950
20150626,959
20150627,820
20150628,752
20150629,783
20150630,874
20150701,809
20150702,852
20150703,790
20150704,970
20150705,822
20150706,920
20150707,847
20150708,844
20150709,1603
20150710,1713
20150711,1550
20150712,1431
20150713,1660
20150714,1456
20150715,1151
20150716,1053
20150717,1068
20150718,896
20150719,863
20150720,987
20150721,840
20150722,974
20150723,859
20150724,1169
20150725,4501
20150726,5403
20150727,5425
20150728,5025
20150729,4854
20150730,4143
20150731,4132
