Date,play
20150301,482
20150302,449
20150303,474
20150304,458
20150305,398
20150306,415
20150307,550
20150308,453
20150309,411
20150310,481
20150311,569
20150312,725
20150313,692
20150314,558
20150315,791
20150316,594
20150317,644
20150318,423
20150319,433
20150320,392
20150321,635
20150322,759
20150323,647
20150324,594
20150325,737
20150326,633
20150327,746
20150328,575
20150329,713
20150330,779
20150331,701
20150401,731
20150402,954
20150403,774
20150404,668
20150405,622
20150406,671
20150407,718
20150408,802
20150409,882
20150410,892
20150411,900
20150412,985
20150413,692
20150414,691
20150415,664
20150416,854
20150417,774
20150418,810
20150419,811
20150420,697
20150421,882
20150422,890
20150423,704
20150424,795
20150425,614
20150426,661
20150427,633
20150428,619
20150429,620
20150430,590
20150501,492
20150502,477
20150503,547
20150504,528
20150505,476
20150506,580
20150507,548
20150508,461
20150509,474
20150510,422
20150511,414
20150512,520
20150513,532
20150514,744
20150515,705
20150516,619
20150517,633
20150518,507
20150519,492
20150520,540
20150521,460
20150522,624
20150523,445
20150524,426
20150525,467
20150526,562
20150527,376
20150528,447
20150529,461
20150530,457
20150531,437
20150601,505
20150602,424
20150603,443
20150604,465
20150605,453
20150606,370
20150607,410
20150608,471
20150609,553
20150610,420
20150611,488
20150612,412
20150613,395
20150614,400
20150615,413
20150616,323
20150617,471
20150618,432
20150619,397
20150620,390
20150621,515
20150622,382
20150623,412
20150624,522
20150625,456
20150626,455
20150627,402
20150628,395
20150629,415
20150630,414
20150701,440
20150702,571
20150703,376
20150704,383
20150705,429
20150706,455
20150707,434
20150708,402
20150709,433
20150710,323
20150711,417
20150712,406
20150713,413
20150714,498
20150715,436
20150716,465
20150717,564
20150718,350
20150719,351
20150720,341
20150721,280
20150722,357
20150723,407
20150724,372
20150725,329
20150726,385
20150727,393
20150728,424
20150729,417
20150730,591
20150731,536
