Date,play
20150301,101
20150302,71
20150303,73
20150304,181
20150305,251
20150306,116
20150307,146
20150308,153
20150309,99
20150310,102
20150311,94
20150312,112
20150313,97
20150314,173
20150315,165
20150316,111
20150317,131
20150318,229
20150319,127
20150320,189
20150321,153
20150322,205
20150323,149
20150324,122
20150325,133
20150326,191
20150327,205
20150328,387
20150329,214
20150330,292
20150331,218
20150401,172
20150402,200
20150403,228
20150404,241
20150405,190
20150406,285
20150407,192
20150408,242
20150409,267
20150410,336
20150411,484
20150412,438
20150413,743
20150414,386
20150415,533
20150416,317
20150417,435
20150418,233
20150419,344
20150420,475
20150421,340
20150422,379
20150423,348
20150424,322
20150425,245
20150426,235
20150427,432
20150428,483
20150429,648
20150430,442
20150501,261
20150502,300
20150503,342
20150504,371
20150505,329
20150506,428
20150507,301
20150508,232
20150509,349
20150510,203
20150511,275
20150512,232
20150513,263
20150514,459
20150515,431
20150516,379
20150517,391
20150518,199
20150519,238
20150520,362
20150521,510
20150522,312
20150523,317
20150524,239
20150525,228
20150526,262
20150527,367
20150528,306
20150529,390
20150530,350
20150531,424
20150601,204
20150602,277
20150603,392
20150604,323
20150605,207
20150606,416
20150607,309
20150608,395
20150609,224
20150610,301
20150611,222
20150612,260
20150613,179
20150614,233
20150615,301
20150616,201
20150617,254
20150618,215
20150619,212
20150620,230
20150621,177
20150622,150
20150623,231
20150624,258
20150625,205
20150626,184
20150627,149
20150628,287
20150629,351
20150630,244
20150701,280
20150702,318
20150703,314
20150704,392
20150705,220
20150706,189
20150707,263
20150708,381
20150709,304
20150710,182
20150711,150
20150712,169
20150713,133
20150714,214
20150715,239
20150716,171
20150717,152
20150718,177
20150719,166
20150720,194
20150721,160
20150722,226
20150723,151
20150724,174
20150725,183
20150726,196
20150727,195
20150728,253
20150729,234
20150730,187
20150731,517
