Date,play
20150301,455
20150302,366
20150303,359
20150304,5713
20150305,8489
20150306,4138
20150307,3104
20150308,3122
20150309,2325
20150310,2121
20150311,4197
20150312,4564
20150313,3587
20150314,2522
20150315,2473
20150316,2391
20150317,2682
20150318,4109
20150319,3930
20150320,4688
20150321,3782
20150322,3374
20150323,3480
20150324,2836
20150325,4377
20150326,6668
20150327,5359
20150328,3606
20150329,4517
20150330,4467
20150331,4522
20150401,3472
20150402,2659
20150403,2996
20150404,3713
20150405,3266
20150406,3100
20150407,2610
20150408,3280
20150409,2827
20150410,2483
20150411,1857
20150412,2013
20150413,1905
20150414,1843
20150415,1945
20150416,1681
20150417,1568
20150418,1518
20150419,1777
20150420,1373
20150421,1146
20150422,1166
20150423,1241
20150424,980
20150425,1319
20150426,1146
20150427,1358
20150428,1356
20150429,1073
20150430,1297
20150501,1964
20150502,1750
20150503,973
20150504,1244
20150505,1082
20150506,1027
20150507,1205
20150508,1095
20150509,1262
20150510,1377
20150511,960
20150512,1366
20150513,879
20150514,1008
20150515,803
20150516,912
20150517,1144
20150518,1061
20150519,1125
20150520,886
20150521,1105
20150522,937
20150523,884
20150524,1135
20150525,1349
20150526,1001
20150527,998
20150528,946
20150529,1126
20150530,1176
20150531,1017
20150601,1372
20150602,1220
20150603,824
20150604,1019
20150605,964
20150606,966
20150607,834
20150608,903
20150609,1069
20150610,970
20150611,1210
20150612,1010
20150613,915
20150614,862
20150615,966
20150616,1782
20150617,1266
20150618,1174
20150619,1233
20150620,1014
20150621,760
20150622,1025
20150623,1181
20150624,935
20150625,785
20150626,874
20150627,1010
20150628,789
20150629,1243
20150630,1102
20150701,702
20150702,653
20150703,984
20150704,1074
20150705,939
20150706,711
20150707,931
20150708,1233
20150709,836
20150710,848
20150711,983
20150712,1017
20150713,868
20150714,1207
20150715,1163
20150716,830
20150717,722
20150718,941
20150719,822
20150720,857
20150721,1081
20150722,824
20150723,855
20150724,438
20150725,884
20150726,553
20150727,627
20150728,913
20150729,973
20150730,780
20150731,762
