Date,play
20150301,865
20150302,864
20150303,847
20150304,876
20150305,866
20150306,1357
20150307,1534
20150308,1298
20150309,1956
20150310,1473
20150311,1446
20150312,1292
20150313,1507
20150314,1359
20150315,1401
20150316,1227
20150317,1133
20150318,1126
20150319,1143
20150320,1187
20150321,1011
20150322,1319
20150323,1180
20150324,1137
20150325,1131
20150326,1125
20150327,1017
20150328,1024
20150329,1071
20150330,953
20150331,1143
20150401,957
20150402,986
20150403,927
20150404,833
20150405,855
20150406,1068
20150407,822
20150408,905
20150409,884
20150410,919
20150411,863
20150412,991
20150413,1298
20150414,1470
20150415,1191
20150416,1311
20150417,1307
20150418,1313
20150419,926
20150420,1023
20150421,917
20150422,1011
20150423,1011
20150424,1105
20150425,1075
20150426,1047
20150427,955
20150428,896
20150429,960
20150430,962
20150501,948
20150502,1082
20150503,911
20150504,840
20150505,918
20150506,1006
20150507,1082
20150508,1039
20150509,986
20150510,863
20150511,788
20150512,1049
20150513,854
20150514,849
20150515,783
20150516,798
20150517,799
20150518,878
20150519,926
20150520,780
20150521,1070
20150522,954
20150523,862
20150524,968
20150525,950
20150526,1026
20150527,915
20150528,893
20150529,863
20150530,978
20150531,843
20150601,931
20150602,1022
20150603,921
20150604,766
20150605,786
20150606,853
20150607,790
20150608,904
20150609,857
20150610,1050
20150611,917
20150612,1102
20150613,919
20150614,1088
20150615,1348
20150616,960
20150617,840
20150618,1029
20150619,1034
20150620,945
20150621,823
20150622,1096
20150623,962
20150624,839
20150625,1144
20150626,890
20150627,926
20150628,927
20150629,953
20150630,982
20150701,999
20150702,1117
20150703,965
20150704,1053
20150705,1056
20150706,949
20150707,954
20150708,918
20150709,1754
20150710,1783
20150711,1408
20150712,1502
20150713,1510
20150714,1204
20150715,1080
20150716,1179
20150717,1026
20150718,1010
20150719,1133
20150720,1128
20150721,2766
20150722,3006
20150723,1505
20150724,1519
20150725,1204
20150726,1127
20150727,1181
20150728,1336
20150729,1229
20150730,1302
20150731,1176
