Date,play
20150301,74
20150302,63
20150303,76
20150304,74
20150305,93
20150306,114
20150307,108
20150308,76
20150309,86
20150310,128
20150311,81
20150312,72
20150313,96
20150314,92
20150315,93
20150316,117
20150317,154
20150318,173
20150319,104
20150320,98
20150321,160
20150322,166
20150323,135
20150324,147
20150325,178
20150326,153
20150327,134
20150328,129
20150329,122
20150330,148
20150331,117
20150401,159
20150402,159
20150403,171
20150404,126
20150405,260
20150406,182
20150407,199
20150408,130
20150409,141
20150410,156
20150411,176
20150412,89
20150413,141
20150414,152
20150415,172
20150416,125
20150417,141
20150418,151
20150419,155
20150420,148
20150421,135
20150422,191
20150423,162
20150424,181
20150425,234
20150426,182
20150427,168
20150428,235
20150429,186
20150430,213
20150501,170
20150502,177
20150503,220
20150504,159
20150505,190
20150506,191
20150507,175
20150508,240
20150509,190
20150510,169
20150511,176
20150512,248
20150513,328
20150514,384
20150515,416
20150516,275
20150517,277
20150518,221
20150519,218
20150520,217
20150521,221
20150522,247
20150523,279
20150524,283
20150525,204
20150526,177
20150527,192
20150528,261
20150529,218
20150530,171
20150531,291
20150601,249
20150602,234
20150603,245
20150604,266
20150605,250
20150606,281
20150607,259
20150608,376
20150609,239
20150610,213
20150611,256
20150612,215
20150613,168
20150614,239
20150615,213
20150616,241
20150617,220
20150618,286
20150619,221
20150620,198
20150621,182
20150622,207
20150623,214
20150624,231
20150625,284
20150626,283
20150627,197
20150628,244
20150629,265
20150630,225
20150701,195
20150702,189
20150703,201
20150704,251
20150705,250
20150706,211
20150707,238
20150708,197
20150709,228
20150710,201
20150711,185
20150712,222
20150713,188
20150714,224
20150715,218
20150716,161
20150717,233
20150718,188
20150719,151
20150720,202
20150721,196
20150722,181
20150723,227
20150724,176
20150725,160
20150726,189
20150727,214
20150728,240
20150729,269
20150730,279
20150731,331
