Date,play
20150301,30
20150302,34
20150303,55
20150304,24
20150305,28
20150306,18
20150307,41
20150308,48
20150309,39
20150310,31
20150311,43
20150312,38
20150313,24
20150314,25
20150315,21
20150316,32
20150317,34
20150318,61
20150319,33
20150320,44
20150321,24
20150322,31
20150323,43
20150324,55
20150325,66
20150326,36
20150327,48
20150328,95
20150329,44
20150330,42
20150331,74
20150401,101
20150402,75
20150403,93
20150404,76
20150405,49
20150406,64
20150407,57
20150408,63
20150409,79
20150410,65
20150411,48
20150412,76
20150413,48
20150414,81
20150415,66
20150416,61
20150417,88
20150418,47
20150419,71
20150420,68
20150421,78
20150422,87
20150423,72
20150424,111
20150425,93
20150426,124
20150427,82
20150428,148
20150429,117
20150430,125
20150501,150
20150502,74
20150503,103
20150504,104
20150505,95
20150506,105
20150507,90
20150508,120
20150509,98
20150510,79
20150511,64
20150512,112
20150513,149
20150514,130
20150515,129
20150516,104
20150517,131
20150518,148
20150519,143
20150520,123
20150521,122
20150522,177
20150523,123
20150524,88
20150525,138
20150526,92
20150527,101
20150528,98
20150529,109
20150530,92
20150531,83
20150601,121
20150602,111
20150603,163
20150604,109
20150605,122
20150606,95
20150607,135
20150608,127
20150609,154
20150610,133
20150611,168
20150612,101
20150613,92
20150614,107
20150615,93
20150616,134
20150617,136
20150618,168
20150619,156
20150620,101
20150621,67
20150622,138
20150623,127
20150624,126
20150625,121
20150626,110
20150627,148
20150628,91
20150629,213
20150630,100
20150701,151
20150702,225
20150703,258
20150704,141
20150705,205
20150706,158
20150707,217
20150708,114
20150709,148
20150710,135
20150711,172
20150712,79
20150713,208
20150714,158
20150715,166
20150716,149
20150717,113
20150718,85
20150719,153
20150720,141
20150721,131
20150722,97
20150723,159
20150724,124
20150725,91
20150726,185
20150727,115
20150728,120
20150729,123
20150730,143
20150731,184
