Date,play
20150301,47
20150302,47
20150303,49
20150304,68
20150305,67
20150306,63
20150307,47
20150308,36
20150309,58
20150310,284
20150311,143
20150312,162
20150313,142
20150314,133
20150315,107
20150316,175
20150317,290
20150318,390
20150319,363
20150320,401
20150321,349
20150322,331
20150323,385
20150324,277
20150325,249
20150326,216
20150327,231
20150328,285
20150329,216
20150330,172
20150331,226
20150401,169
20150402,225
20150403,203
20150404,161
20150405,173
20150406,144
20150407,227
20150408,181
20150409,176
20150410,163
20150411,177
20150412,157
20150413,159
20150414,145
20150415,154
20150416,165
20150417,182
20150418,197
20150419,186
20150420,168
20150421,211
20150422,182
20150423,199
20150424,174
20150425,177
20150426,178
20150427,189
20150428,218
20150429,151
20150430,238
20150501,163
20150502,139
20150503,174
20150504,156
20150505,178
20150506,217
20150507,194
20150508,171
20150509,130
20150510,164
20150511,219
20150512,244
20150513,177
20150514,172
20150515,173
20150516,182
20150517,224
20150518,197
20150519,167
20150520,184
20150521,202
20150522,196
20150523,183
20150524,199
20150525,243
20150526,172
20150527,234
20150528,168
20150529,180
20150530,181
20150531,190
20150601,194
20150602,165
20150603,260
20150604,157
20150605,134
20150606,140
20150607,216
20150608,181
20150609,201
20150610,226
20150611,282
20150612,189
20150613,196
20150614,201
20150615,123
20150616,192
20150617,210
20150618,222
20150619,302
20150620,189
20150621,135
20150622,163
20150623,189
20150624,203
20150625,243
20150626,212
20150627,307
20150628,134
20150629,184
20150630,139
20150701,136
20150702,180
20150703,186
20150704,181
20150705,212
20150706,190
20150707,252
20150708,222
20150709,245
20150710,205
20150711,200
20150712,227
20150713,199
20150714,204
20150715,194
20150716,186
20150717,177
20150718,171
20150719,134
20150720,162
20150721,185
20150722,152
20150723,200
20150724,187
20150725,160
20150726,126
20150727,143
20150728,156
20150729,186
20150730,141
20150731,276
