Date,play
20150301,7
20150302,4
20150303,3
20150304,5
20150305,3
20150306,7
20150307,3
20150308,6
20150309,1
20150310,3
20150311,4
20150312,13
20150313,5
20150314,5
20150315,2
20150316,5
20150317,3
20150318,3
20150319,3
20150320,5
20150321,6
20150322,3
20150323,1
20150324,30
20150325,6
20150326,7
20150327,6
20150328,10
20150329,4
20150330,5
20150331,13
20150401,18
20150402,15
20150403,7
20150404,5
20150405,8
20150406,8
20150407,8
20150408,8
20150409,8
20150410,4
20150411,36
20150412,13
20150413,6
20150414,14
20150415,21
20150416,17
20150417,11
20150418,8
20150419,9
20150420,9
20150421,7
20150422,7
20150423,7
20150424,4
20150425,4
20150426,5
20150427,6
20150428,10
20150430,30
20150501,2
20150502,11
20150503,11
20150504,6
20150505,7
20150506,9
20150507,8
20150508,10
20150509,5
20150510,8
20150511,12
20150512,35
20150513,17
20150514,24
20150515,14
20150516,5
20150517,2
20150518,5
20150520,3
20150521,7
20150522,0
20150523,3
20150524,1
20150525,2
20150526,4
20150527,1
20150528,1
20150529,1
20150530,2
20150531,5
20150601,2
20150602,1
20150603,8
20150604,31
20150605,5
20150606,5
20150607,6
20150608,8
20150609,1
20150610,2
20150611,5
20150612,5
20150613,1
20150614,2
20150615,5
20150616,3
20150617,2
20150618,3
20150619,8
20150620,11
20150621,5
20150622,8
20150623,105
20150624,35
20150625,59
20150626,236
20150627,270
20150628,157
20150629,31
20150630,14
20150701,3
20150702,4
20150703,18
20150704,7
20150705,10
20150706,6
20150707,10
20150708,8
20150709,26
20150710,17
20150711,156
20150712,93
20150713,181
20150714,168
20150715,16
20150716,8
20150717,10
20150718,6
20150719,7
20150720,11
20150721,10
20150722,9
20150723,5
20150724,6
20150726,4
20150727,8
20150728,14
20150729,2
20150730,4
20150801,1
20150802,5
20150803,13
20150804,12
