Date,play
20150301,664
20150302,589
20150303,606
20150304,692
20150305,820
20150306,802
20150307,774
20150308,1064
20150309,1191
20150310,753
20150311,738
20150312,639
20150313,781
20150314,936
20150315,962
20150316,872
20150317,969
20150318,781
20150319,756
20150320,1083
20150321,829
20150322,732
20150323,561
20150324,1905
20150325,2261
20150326,638
20150327,788
20150328,598
20150329,808
20150330,841
20150331,741
20150401,787
20150402,575
20150403,737
20150404,608
20150405,697
20150406,1040
20150407,1003
20150408,989
20150409,976
20150410,842
20150411,836
20150412,863
20150413,680
20150414,712
20150415,726
20150416,725
20150417,798
20150418,725
20150419,649
20150420,787
20150421,880
20150422,735
20150423,634
20150424,701
20150425,555
20150426,622
20150427,784
20150428,1019
20150429,818
20150430,766
20150501,554
20150502,749
20150503,746
20150504,714
20150505,620
20150506,650
20150507,730
20150508,768
20150509,736
20150510,741
20150511,852
20150512,772
20150513,1130
20150514,1067
20150515,970
20150516,824
20150517,665
20150518,802
20150519,748
20150520,796
20150521,823
20150522,829
20150523,599
20150524,695
20150525,663
20150526,656
20150527,544
20150528,724
20150529,777
20150530,700
20150531,764
20150601,646
20150602,759
20150603,796
20150604,811
20150605,864
20150606,719
20150607,685
20150608,747
20150609,916
20150610,877
20150611,881
20150612,789
20150613,785
20150614,826
20150615,787
20150616,717
20150617,772
20150618,901
20150619,1020
20150620,908
20150621,605
20150622,676
20150623,686
20150624,620
20150625,716
20150626,671
20150627,719
20150628,670
20150629,786
20150630,808
20150701,963
20150702,1169
20150703,1122
20150704,1187
20150705,1328
20150706,868
20150707,807
20150708,925
20150709,684
20150710,835
20150711,866
20150712,885
20150713,1352
20150714,1156
20150715,935
20150716,958
20150717,935
20150718,870
20150719,976
20150720,833
20150721,792
20150722,855
20150723,807
20150724,751
20150725,764
20150726,737
20150727,860
20150728,807
20150729,789
20150730,704
20150731,685
