Date,play
20150301,652
20150302,641
20150303,719
20150304,1008
20150305,857
20150306,702
20150307,731
20150308,867
20150309,738
20150310,820
20150311,706
20150312,1019
20150313,846
20150314,895
20150315,962
20150316,642
20150317,653
20150318,670
20150319,784
20150320,808
20150321,699
20150322,656
20150323,789
20150324,640
20150325,728
20150326,694
20150327,643
20150328,712
20150329,813
20150330,803
20150331,740
20150401,816
20150402,970
20150403,1034
20150404,639
20150405,721
20150406,760
20150407,854
20150408,975
20150409,901
20150410,892
20150411,941
20150412,993
20150413,855
20150414,821
20150415,721
20150416,719
20150417,836
20150418,779
20150419,890
20150420,729
20150421,739
20150422,862
20150423,795
20150424,864
20150425,749
20150426,734
20150427,796
20150428,843
20150429,770
20150430,785
20150501,668
20150502,727
20150503,763
20150504,838
20150505,983
20150506,881
20150507,786
20150508,909
20150509,725
20150510,878
20150511,817
20150512,894
20150513,816
20150514,872
20150515,771
20150516,813
20150517,1094
20150518,923
20150519,834
20150520,919
20150521,1139
20150522,981
20150523,788
20150524,778
20150525,907
20150526,994
20150527,1035
20150528,1092
20150529,857
20150530,872
20150531,789
20150601,766
20150602,790
20150603,879
20150604,961
20150605,895
20150606,803
20150607,880
20150608,753
20150609,819
20150610,983
20150611,936
20150612,774
20150613,841
20150614,791
20150615,1002
20150616,870
20150617,875
20150618,819
20150619,861
20150620,688
20150621,738
20150622,805
20150623,924
20150624,808
20150625,798
20150626,885
20150627,786
20150628,973
20150629,965
20150630,976
20150701,844
20150702,932
20150703,851
20150704,832
20150705,801
20150706,762
20150707,940
20150708,802
20150709,858
20150710,936
20150711,755
20150712,790
20150713,796
20150714,802
20150715,676
20150716,778
20150717,856
20150718,737
20150719,783
20150720,876
20150721,825
20150722,870
20150723,936
20150724,911
20150725,642
20150726,1010
20150727,713
20150728,805
20150729,747
20150730,766
20150731,835
