Date,play
20150301,1358
20150302,1127
20150303,1244
20150304,1188
20150305,1119
20150306,1239
20150307,1427
20150308,1549
20150309,1397
20150310,1280
20150311,1254
20150312,1381
20150313,1265
20150314,1203
20150315,1325
20150316,1571
20150317,1311
20150318,1324
20150319,1326
20150320,1910
20150321,3236
20150322,2300
20150323,2065
20150324,2089
20150325,1741
20150326,2170
20150327,2356
20150328,2067
20150329,1782
20150330,1832
20150331,1966
20150401,1893
20150402,1817
20150403,1964
20150404,1562
20150405,1754
20150406,2027
20150407,1694
20150408,1782
20150409,1596
20150410,1638
20150411,1874
20150412,2249
20150413,1515
20150414,1511
20150415,1349
20150416,1664
20150417,1694
20150418,1394
20150419,1506
20150420,1777
20150421,1655
20150422,1561
20150423,1791
20150424,1715
20150425,1657
20150426,1819
20150427,1432
20150428,1505
20150429,1534
20150430,1800
20150501,1432
20150502,1378
20150503,1489
20150504,1645
20150505,1673
20150506,1762
20150507,1734
20150508,1633
20150509,1559
20150510,1816
20150511,1234
20150512,1788
20150513,1512
20150514,1611
20150515,1702
20150516,1698
20150517,3972
20150518,4317
20150519,3241
20150520,3105
20150521,3143
20150522,2526
20150523,2698
20150524,2461
20150525,2183
20150526,2636
20150527,2057
20150528,2646
20150529,3347
20150530,3702
20150531,3569
20150601,2607
20150602,2745
20150603,2562
20150604,2396
20150605,2139
20150606,2070
20150607,2238
20150608,2239
20150609,2169
20150610,2453
20150611,2215
20150612,2027
20150613,2170
20150614,2126
20150615,2396
20150616,2428
20150617,3394
20150618,3708
20150619,2236
20150620,2077
20150621,2479
20150622,2333
20150623,2123
20150624,2200
20150625,2151
20150626,1844
20150627,1923
20150628,1936
20150629,1926
20150630,2042
20150701,1997
20150702,2434
20150703,1982
20150704,1977
20150705,2327
20150706,2236
20150707,2176
20150708,2037
20150709,2241
20150710,1812
20150711,2138
20150712,2176
20150713,2477
20150714,2277
20150715,2368
20150716,2638
20150717,2025
20150718,1990
20150719,2371
20150720,2325
20150721,2211
20150722,1877
20150723,2160
20150724,1944
20150725,2236
20150726,2488
20150727,1986
20150728,1796
20150729,1936
20150730,1974
20150731,1898
