Date,play
20150301,34
20150302,62
20150303,43
20150304,40
20150305,56
20150306,129
20150307,19
20150308,27
20150309,17
20150310,37
20150311,12
20150312,12
20150313,18
20150314,41
20150315,16
20150316,37
20150317,15
20150318,27
20150319,30
20150320,41
20150321,18
20150322,33
20150323,28
20150324,19
20150325,30
20150326,19
20150327,22
20150328,23
20150329,45
20150330,51
20150331,38
20150401,22
20150402,14
20150403,62
20150404,26
20150405,31
20150406,30
20150407,39
20150408,35
20150409,37
20150410,31
20150411,33
20150412,26
20150413,20
20150414,27
20150415,14
20150416,29
20150417,11
20150418,27
20150419,39
20150420,28
20150421,26
20150422,18
20150423,22
20150424,31
20150425,23
20150426,39
20150427,39
20150428,42
20150429,37
20150430,38
20150501,28
20150502,16
20150503,20
20150504,27
20150505,27
20150506,12
20150507,24
20150508,14
20150509,13
20150510,19
20150511,15
20150512,14
20150513,28
20150514,25
20150515,36
20150516,25
20150517,37
20150518,35
20150519,25
20150520,27
20150521,41
20150522,34
20150523,29
20150524,38
20150525,49
20150526,36
20150527,29
20150528,23
20150529,26
20150530,26
20150531,32
20150601,44
20150602,24
20150603,19
20150604,29
20150605,29
20150606,26
20150607,23
20150608,17
20150609,19
20150610,32
20150611,29
20150612,26
20150613,16
20150614,90
20150615,13
20150616,37
20150617,13
20150618,29
20150619,19
20150620,17
20150621,60
20150622,153
20150623,22
20150624,15
20150625,16
20150626,21
20150627,16
20150628,34
20150629,23
20150630,33
20150701,23
20150702,49
20150703,32
20150704,36
20150705,19
20150706,20
20150707,16
20150708,26
20150709,52
20150710,106
20150711,38
20150712,13
20150713,19
20150714,12
20150715,21
20150716,28
20150717,48
20150718,32
20150719,25
20150720,59
20150721,45
20150722,13
20150723,7
20150724,17
20150725,14
20150726,26
20150727,17
20150728,21
20150729,15
20150730,21
20150731,17
