Date,play
20150301,365
20150302,226
20150303,301
20150304,302
20150305,356
20150306,275
20150307,325
20150308,373
20150309,304
20150310,689
20150311,524
20150312,402
20150313,378
20150314,398
20150315,406
20150316,304
20150317,421
20150318,257
20150319,383
20150320,252
20150321,267
20150322,432
20150323,424
20150324,263
20150325,369
20150326,266
20150327,303
20150328,254
20150329,313
20150330,315
20150331,398
20150401,355
20150402,479
20150403,489
20150404,466
20150405,531
20150406,461
20150407,690
20150408,553
20150409,442
20150410,488
20150411,638
20150412,485
20150413,527
20150414,480
20150415,439
20150416,456
20150417,609
20150418,590
20150419,474
20150420,485
20150421,518
20150422,399
20150423,437
20150424,460
20150425,518
20150426,422
20150427,493
20150428,424
20150429,473
20150430,492
20150501,529
20150502,484
20150503,645
20150504,414
20150505,549
20150506,584
20150507,707
20150508,675
20150509,537
20150510,591
20150511,600
20150512,454
20150513,404
20150514,492
20150515,450
20150516,410
20150517,562
20150518,449
20150519,641
20150520,547
20150521,527
20150522,539
20150523,522
20150524,590
20150525,473
20150526,551
20150527,467
20150528,559
20150529,502
20150530,515
20150531,521
20150601,512
20150602,636
20150603,572
20150604,562
20150605,522
20150606,501
20150607,458
20150608,584
20150609,539
20150610,516
20150611,618
20150612,547
20150613,542
20150614,492
20150615,611
20150616,723
20150617,517
20150618,531
20150619,520
20150620,502
20150621,473
20150622,536
20150623,573
20150624,503
20150625,474
20150626,481
20150627,579
20150628,524
20150629,522
20150630,543
20150701,515
20150702,518
20150703,445
20150704,519
20150705,584
20150706,607
20150707,459
20150708,543
20150709,569
20150710,582
20150711,537
20150712,581
20150713,566
20150714,560
20150715,555
20150716,817
20150717,615
20150718,678
20150719,580
20150720,597
20150721,474
20150722,588
20150723,693
20150724,586
20150725,518
20150726,540
20150727,549
20150728,583
20150729,605
20150730,537
20150731,526
