Date,play
20150301,64
20150302,83
20150303,99
20150304,93
20150305,92
20150306,92
20150307,102
20150308,80
20150309,87
20150310,91
20150311,107
20150312,101
20150313,77
20150314,68
20150315,63
20150316,85
20150317,65
20150318,70
20150319,91
20150320,99
20150321,66
20150322,71
20150323,93
20150324,108
20150325,93
20150326,122
20150327,145
20150328,96
20150329,92
20150330,97
20150331,75
20150401,83
20150402,70
20150403,107
20150404,127
20150405,100
20150406,103
20150407,89
20150408,96
20150409,106
20150410,94
20150411,96
20150412,113
20150413,116
20150414,96
20150415,153
20150416,125
20150417,110
20150418,93
20150419,112
20150420,98
20150421,127
20150422,111
20150423,96
20150424,123
20150425,95
20150426,132
20150427,124
20150428,99
20150429,121
20150430,142
20150501,129
20150502,112
20150503,95
20150504,162
20150505,135
20150506,126
20150507,114
20150508,119
20150509,118
20150510,110
20150511,93
20150512,123
20150513,160
20150514,109
20150515,174
20150516,111
20150517,137
20150518,159
20150519,145
20150520,241
20150521,224
20150522,152
20150523,135
20150524,133
20150525,127
20150526,136
20150527,234
20150528,106
20150529,125
20150530,121
20150531,106
20150601,169
20150602,144
20150603,120
20150604,178
20150605,135
20150606,102
20150607,116
20150608,154
20150609,121
20150610,92
20150611,149
20150612,146
20150613,113
20150614,143
20150615,179
20150616,126
20150617,109
20150618,141
20150619,116
20150620,231
20150621,79
20150622,100
20150623,115
20150624,90
20150625,86
20150626,88
20150627,72
20150628,108
20150629,92
20150630,124
20150701,88
20150702,88
20150703,86
20150704,91
20150705,73
20150706,154
20150707,98
20150708,190
20150709,123
20150710,80
20150711,93
20150712,198
20150713,337
20150714,204
20150715,177
20150716,120
20150717,107
20150718,124
20150719,105
20150720,116
20150721,87
20150722,123
20150723,118
20150724,123
20150725,97
20150726,104
20150727,83
20150728,94
20150729,111
20150730,94
20150731,98
