Date,play
20150301,122
20150302,113
20150303,115
20150304,147
20150305,102
20150306,121
20150307,155
20150308,114
20150309,111
20150310,67
20150311,137
20150312,141
20150313,120
20150314,93
20150315,119
20150316,124
20150317,101
20150318,96
20150319,71
20150320,88
20150321,117
20150322,114
20150323,76
20150324,83
20150325,78
20150326,86
20150327,87
20150328,87
20150329,82
20150330,85
20150331,77
20150401,95
20150402,191
20150403,69
20150404,89
20150405,53
20150406,70
20150407,65
20150408,67
20150409,89
20150410,80
20150411,88
20150412,66
20150413,71
20150414,74
20150415,68
20150416,89
20150417,63
20150418,87
20150419,77
20150420,143
20150421,94
20150422,73
20150423,82
20150424,90
20150425,104
20150426,86
20150427,69
20150428,85
20150429,102
20150430,109
20150501,85
20150502,67
20150503,65
20150504,68
20150505,80
20150506,74
20150507,93
20150508,55
20150509,76
20150510,102
20150511,48
20150512,80
20150513,77
20150514,80
20150515,65
20150516,59
20150517,47
20150518,40
20150519,59
20150520,52
20150521,54
20150522,53
20150523,55
20150524,59
20150525,59
20150526,60
20150527,42
20150528,45
20150529,65
20150530,45
20150531,53
20150601,47
20150602,34
20150603,51
20150604,54
20150605,42
20150606,32
20150607,44
20150608,48
20150609,47
20150610,68
20150611,50
20150612,37
20150613,41
20150614,44
20150615,49
20150616,50
20150617,28
20150618,42
20150619,47
20150620,35
20150621,26
20150622,34
20150623,42
20150624,41
20150625,57
20150626,29
20150627,34
20150628,40
20150629,24
20150630,44
20150701,30
20150702,47
20150703,48
20150704,38
20150705,42
20150706,48
20150707,44
20150708,51
20150709,55
20150710,51
20150711,47
20150712,23
20150713,35
20150714,49
20150715,29
20150716,40
20150717,58
20150718,28
20150719,51
20150720,47
20150721,29
20150722,37
20150723,46
20150724,45
20150725,36
20150726,33
20150727,49
20150728,46
20150729,34
20150730,37
20150731,39
