Date,play
20150301,637
20150302,654
20150303,709
20150304,565
20150305,606
20150306,594
20150307,565
20150308,652
20150309,586
20150310,520
20150311,684
20150312,627
20150313,720
20150314,619
20150315,583
20150316,616
20150317,606
20150318,658
20150319,644
20150320,830
20150321,780
20150322,688
20150323,843
20150324,813
20150325,708
20150326,828
20150327,759
20150328,781
20150329,690
20150330,782
20150331,868
20150401,953
20150402,1119
20150403,1043
20150404,865
20150405,711
20150406,844
20150407,978
20150408,937
20150409,953
20150410,989
20150411,890
20150412,863
20150413,838
20150414,932
20150415,1027
20150416,980
20150417,1096
20150418,835
20150419,988
20150420,1118
20150421,1057
20150422,1158
20150423,1087
20150424,911
20150425,894
20150426,1015
20150427,1114
20150428,845
20150429,927
20150430,899
20150501,918
20150502,781
20150503,1077
20150504,987
20150505,957
20150506,833
20150507,958
20150508,984
20150509,905
20150510,837
20150511,832
20150512,1065
20150513,1149
20150514,1083
20150515,963
20150516,830
20150517,922
20150518,974
20150519,818
20150520,894
20150521,1066
20150522,985
20150523,839
20150524,822
20150525,874
20150526,965
20150527,971
20150528,1080
20150529,1119
20150530,952
20150531,915
20150601,964
20150602,877
20150603,1169
20150604,984
20150605,956
20150606,970
20150607,885
20150608,999
20150609,1058
20150610,1081
20150611,1068
20150612,1169
20150613,947
20150614,1080
20150615,1101
20150616,1010
20150617,938
20150618,1066
20150619,1216
20150620,965
20150621,810
20150622,969
20150623,1010
20150624,1166
20150625,1050
20150626,1153
20150627,1092
20150628,980
20150629,1089
20150630,1077
20150701,1188
20150702,1143
20150703,1184
20150704,1112
20150705,1157
20150706,1209
20150707,1142
20150708,1298
20150709,1197
20150710,1163
20150711,1053
20150712,1183
20150713,1253
20150714,1186
20150715,1188
20150716,1349
20150717,1055
20150718,1014
20150719,1017
20150720,993
20150721,923
20150722,1108
20150723,1182
20150724,1074
20150725,1047
20150726,1011
20150727,1051
20150728,1018
20150729,942
20150730,851
20150731,878
