Date,play
20150301,148
20150302,97
20150303,135
20150304,172
20150305,145
20150306,131
20150307,133
20150308,150
20150309,129
20150310,168
20150311,90
20150312,97
20150313,151
20150314,105
20150315,141
20150316,114
20150317,137
20150318,93
20150319,164
20150320,152
20150321,267
20150322,169
20150323,101
20150324,140
20150325,237
20150326,204
20150327,159
20150328,222
20150329,243
20150330,250
20150331,288
20150401,206
20150402,213
20150403,169
20150404,187
20150405,163
20150406,144
20150407,137
20150408,130
20150409,181
20150410,161
20150411,232
20150412,190
20150413,129
20150414,157
20150415,253
20150416,156
20150417,131
20150418,189
20150419,159
20150420,134
20150421,177
20150422,159
20150423,144
20150424,178
20150425,157
20150426,221
20150427,135
20150428,122
20150429,205
20150430,239
20150501,236
20150502,132
20150503,151
20150504,214
20150505,112
20150506,147
20150507,177
20150508,218
20150509,164
20150510,136
20150511,146
20150512,156
20150513,130
20150514,178
20150515,148
20150516,126
20150517,182
20150518,162
20150519,144
20150520,156
20150521,168
20150522,165
20150523,122
20150524,149
20150525,123
20150526,167
20150527,199
20150528,143
20150529,152
20150530,171
20150531,155
20150601,159
20150602,119
20150603,193
20150604,183
20150605,148
20150606,358
20150607,159
20150608,157
20150609,139
20150610,168
20150611,142
20150612,164
20150613,155
20150614,163
20150615,175
20150616,179
20150617,155
20150618,205
20150619,166
20150620,118
20150621,176
20150622,154
20150623,174
20150624,162
20150625,184
20150626,138
20150627,111
20150628,152
20150629,112
20150630,128
20150701,157
20150702,177
20150703,200
20150704,133
20150705,100
20150706,118
20150707,150
20150708,120
20150709,176
20150710,133
20150711,106
20150712,123
20150713,166
20150714,125
20150715,115
20150716,150
20150717,165
20150718,120
20150719,144
20150720,148
20150721,121
20150722,100
20150723,146
20150724,147
20150725,125
20150726,134
20150727,150
20150728,228
20150729,109
20150730,163
20150731,141
