Date,play
20150301,528
20150302,383
20150303,474
20150304,554
20150305,493
20150306,737
20150307,527
20150308,384
20150309,401
20150310,557
20150311,701
20150312,469
20150313,610
20150314,572
20150315,609
20150316,720
20150317,553
20150318,644
20150319,675
20150320,675
20150321,614
20150322,669
20150323,540
20150324,513
20150325,506
20150326,629
20150327,690
20150328,517
20150329,615
20150330,807
20150331,706
20150401,734
20150402,791
20150403,771
20150404,800
20150405,801
20150406,811
20150407,863
20150408,766
20150409,956
20150410,752
20150411,719
20150412,687
20150413,647
20150414,808
20150415,918
20150416,880
20150417,768
20150418,1036
20150419,831
20150420,766
20150421,842
20150422,824
20150423,818
20150424,941
20150425,794
20150426,681
20150427,817
20150428,779
20150429,815
20150430,791
20150501,851
20150502,696
20150503,666
20150504,690
20150505,760
20150506,876
20150507,785
20150508,836
20150509,761
20150510,652
20150511,725
20150512,779
20150513,953
20150514,1143
20150515,1155
20150516,1070
20150517,1149
20150518,1021
20150519,1035
20150520,985
20150521,995
20150522,877
20150523,944
20150524,929
20150525,857
20150526,927
20150527,1080
20150528,1019
20150529,984
20150530,787
20150531,884
20150601,960
20150602,998
20150603,963
20150604,939
20150605,931
20150606,847
20150607,842
20150608,935
20150609,881
20150610,1178
20150611,1009
20150612,914
20150613,776
20150614,852
20150615,849
20150616,805
20150617,823
20150618,991
20150619,936
20150620,658
20150621,747
20150622,857
20150623,862
20150624,992
20150625,998
20150626,923
20150627,846
20150628,852
20150629,800
20150630,852
20150701,883
20150702,905
20150703,924
20150704,932
20150705,849
20150706,936
20150707,1031
20150708,983
20150709,908
20150710,898
20150711,909
20150712,878
20150713,866
20150714,843
20150715,795
20150716,844
20150717,757
20150718,668
20150719,813
20150720,998
20150721,1024
20150722,1008
20150723,904
20150724,975
20150725,773
20150726,947
20150727,825
20150728,788
20150729,830
20150730,760
20150731,722
