Date,play
20150301,252
20150302,335
20150303,264
20150304,265
20150305,245
20150306,325
20150307,269
20150308,337
20150309,223
20150310,283
20150311,374
20150312,279
20150313,254
20150314,354
20150315,280
20150316,302
20150317,242
20150318,298
20150319,253
20150320,313
20150321,369
20150322,327
20150323,258
20150324,312
20150325,244
20150326,345
20150327,299
20150328,362
20150329,313
20150330,254
20150331,267
20150401,359
20150402,515
20150403,503
20150404,338
20150405,379
20150406,379
20150407,395
20150408,345
20150409,340
20150410,365
20150411,309
20150412,472
20150413,455
20150414,417
20150415,408
20150416,378
20150417,436
20150418,550
20150419,389
20150420,331
20150421,381
20150422,362
20150423,487
20150424,391
20150425,409
20150426,429
20150427,405
20150428,292
20150429,268
20150430,337
20150501,409
20150502,399
20150503,375
20150504,363
20150505,302
20150506,248
20150507,399
20150508,284
20150509,344
20150510,411
20150511,324
20150512,354
20150513,429
20150514,365
20150515,550
20150516,497
20150517,441
20150518,464
20150519,563
20150520,469
20150521,426
20150522,518
20150523,710
20150524,539
20150525,569
20150526,493
20150527,498
20150528,391
20150529,484
20150530,486
20150531,480
20150601,385
20150602,338
20150603,393
20150604,430
20150605,548
20150606,434
20150607,514
20150608,540
20150609,447
20150610,344
20150611,426
20150612,391
20150613,443
20150614,364
20150615,441
20150616,435
20150617,459
20150618,400
20150619,433
20150620,536
20150621,424
20150622,577
20150623,470
20150624,581
20150625,550
20150626,629
20150627,691
20150628,544
20150629,665
20150630,637
20150701,716
20150702,588
20150703,604
20150704,433
20150705,624
20150706,564
20150707,520
20150708,547
20150709,646
20150710,612
20150711,473
20150712,463
20150713,642
20150714,502
20150715,497
20150716,674
20150717,462
20150718,343
20150719,478
20150720,663
20150721,515
20150722,538
20150723,403
20150724,597
20150725,706
20150726,666
20150727,405
20150728,707
20150729,513
20150730,618
20150731,470
