Date,play
20150301,535
20150302,655
20150303,575
20150304,746
20150305,523
20150306,528
20150307,475
20150308,588
20150309,438
20150310,597
20150311,415
20150312,428
20150313,516
20150314,516
20150315,620
20150316,610
20150317,480
20150318,484
20150319,601
20150320,575
20150321,491
20150322,512
20150323,539
20150324,541
20150325,577
20150326,630
20150327,580
20150328,552
20150329,446
20150330,519
20150331,605
20150401,612
20150402,596
20150403,575
20150404,574
20150405,551
20150406,708
20150407,653
20150408,698
20150409,661
20150410,691
20150411,571
20150412,730
20150413,599
20150414,902
20150415,581
20150416,637
20150417,709
20150418,701
20150419,869
20150420,672
20150421,711
20150422,643
20150423,626
20150424,793
20150425,716
20150426,649
20150427,552
20150428,832
20150429,779
20150430,850
20150501,736
20150502,660
20150503,765
20150504,776
20150505,856
20150506,827
20150507,610
20150508,635
20150509,654
20150510,716
20150511,694
20150512,711
20150513,689
20150514,895
20150515,687
20150516,744
20150517,856
20150518,749
20150519,719
20150520,858
20150521,859
20150522,649
20150523,807
20150524,754
20150525,785
20150526,792
20150527,766
20150528,752
20150529,723
20150530,721
20150531,722
20150601,627
20150602,787
20150603,764
20150604,750
20150605,894
20150606,768
20150607,678
20150608,726
20150609,725
20150610,618
20150611,744
20150612,852
20150613,714
20150614,718
20150615,864
20150616,806
20150617,780
20150618,802
20150619,734
20150620,757
20150621,595
20150622,721
20150623,741
20150624,806
20150625,859
20150626,695
20150627,640
20150628,739
20150629,967
20150630,840
20150701,851
20150702,851
20150703,882
20150704,943
20150705,791
20150706,818
20150707,820
20150708,776
20150709,748
20150710,907
20150711,740
20150712,797
20150713,877
20150714,846
20150715,875
20150716,818
20150717,866
20150718,742
20150719,619
20150720,842
20150721,676
20150722,757
20150723,772
20150724,683
20150725,728
20150726,691
20150727,752
20150728,787
20150729,979
20150730,833
20150731,832
