Date,play
20150301,85
20150302,77
20150303,47
20150304,72
20150305,89
20150306,61
20150307,90
20150308,126
20150309,81
20150310,89
20150311,71
20150312,89
20150313,63
20150314,72
20150315,75
20150316,126
20150317,91
20150318,96
20150319,48
20150320,69
20150321,107
20150322,74
20150323,80
20150324,75
20150325,77
20150326,109
20150327,72
20150328,84
20150329,110
20150330,159
20150331,128
20150401,123
20150402,136
20150403,112
20150404,100
20150405,131
20150406,139
20150407,108
20150408,114
20150409,113
20150410,198
20150411,127
20150412,169
20150413,106
20150414,105
20150415,125
20150416,135
20150417,113
20150418,155
20150419,122
20150420,111
20150421,113
20150422,140
20150423,99
20150424,135
20150425,129
20150426,145
20150427,89
20150428,119
20150429,190
20150430,129
20150501,113
20150502,100
20150503,127
20150504,115
20150505,112
20150506,125
20150507,142
20150508,128
20150509,122
20150510,159
20150511,151
20150512,194
20150513,150
20150514,141
20150515,147
20150516,205
20150517,151
20150518,127
20150519,147
20150520,134
20150521,153
20150522,113
20150523,117
20150524,161
20150525,101
20150526,95
20150527,102
20150528,77
20150529,97
20150530,92
20150531,91
20150601,119
20150602,141
20150603,97
20150604,118
20150605,112
20150606,128
20150607,163
20150608,104
20150609,147
20150610,127
20150611,110
20150612,143
20150613,141
20150614,92
20150615,125
20150616,98
20150617,130
20150618,115
20150619,157
20150620,156
20150621,257
20150622,165
20150623,125
20150624,111
20150625,177
20150626,184
20150627,178
20150628,142
20150629,116
20150630,151
20150701,98
20150702,117
20150703,130
20150704,79
20150705,105
20150706,143
20150707,129
20150708,137
20150709,133
20150710,119
20150711,105
20150712,119
20150713,113
20150714,128
20150715,173
20150716,159
20150717,116
20150718,97
20150719,102
20150720,134
20150721,92
20150722,98
20150723,128
20150724,102
20150725,110
20150726,131
20150727,140
20150728,101
20150729,100
20150730,110
20150731,118
