Date,play
20150301,280
20150302,235
20150303,272
20150304,252
20150305,270
20150306,258
20150307,241
20150308,192
20150309,212
20150310,217
20150311,273
20150312,339
20150313,222
20150314,225
20150315,278
20150316,288
20150317,214
20150318,280
20150319,325
20150320,352
20150321,289
20150322,232
20150323,251
20150324,287
20150325,243
20150326,245
20150327,241
20150328,190
20150329,323
20150330,286
20150331,401
20150401,390
20150402,300
20150403,357
20150404,260
20150405,293
20150406,358
20150407,376
20150408,391
20150409,398
20150410,310
20150411,307
20150412,315
20150413,374
20150414,395
20150415,340
20150416,371
20150417,336
20150418,327
20150419,295
20150420,352
20150421,310
20150422,303
20150423,321
20150424,306
20150425,357
20150426,442
20150427,496
20150428,316
20150429,285
20150430,275
20150501,317
20150502,335
20150503,397
20150504,410
20150505,478
20150506,300
20150507,591
20150508,805
20150509,495
20150510,567
20150511,448
20150512,473
20150513,634
20150514,536
20150515,580
20150516,555
20150517,535
20150518,518
20150519,512
20150520,479
20150521,454
20150522,489
20150523,464
20150524,545
20150525,438
20150526,426
20150527,502
20150528,501
20150529,416
20150530,389
20150531,375
20150601,401
20150602,423
20150603,447
20150604,312
20150605,422
20150606,374
20150607,413
20150608,414
20150609,660
20150610,556
20150611,537
20150612,567
20150613,451
20150614,374
20150615,472
20150616,397
20150617,408
20150618,423
20150619,465
20150620,355
20150621,397
20150622,672
20150623,460
20150624,417
20150625,514
20150626,553
20150627,389
20150628,536
20150629,436
20150630,476
20150701,458
20150702,519
20150703,517
20150704,414
20150705,398
20150706,461
20150707,495
20150708,479
20150709,457
20150710,456
20150711,458
20150712,552
20150713,432
20150714,527
20150715,469
20150716,384
20150717,386
20150718,344
20150719,341
20150720,444
20150721,540
20150722,1866
20150723,4243
20150724,5880
20150725,5431
20150726,5170
20150727,4780
20150728,4824
20150729,4544
20150730,4248
20150731,4216
