Date,play
20150301,26
20150302,26
20150303,71
20150304,54
20150305,33
20150306,34
20150307,101
20150308,53
20150309,36
20150310,153
20150311,42
20150312,60
20150313,25
20150314,180
20150315,7
20150316,16
20150317,23
20150318,14
20150319,103
20150320,52
20150321,57
20150322,136
20150323,21
20150324,16
20150325,9
20150326,13
20150327,42
20150328,41
20150329,23
20150330,15
20150331,23
20150401,17
20150402,16
20150403,103
20150404,41
20150405,37
20150406,26
20150407,40
20150408,79
20150409,35
20150410,34
20150411,22
20150412,56
20150413,13
20150414,116
20150415,120
20150416,111
20150417,37
20150418,87
20150419,49
20150420,70
20150421,32
20150422,24
20150423,40
20150424,56
20150425,78
20150426,83
20150427,84
20150428,27
20150429,28
20150430,27
20150501,82
20150502,28
20150503,13
20150504,84
20150505,97
20150506,12
20150507,92
20150508,24
20150509,22
20150510,17
20150511,55
20150512,49
20150513,70
20150514,28
20150515,67
20150516,33
20150517,38
20150518,43
20150519,43
20150520,19
20150521,31
20150522,27
20150523,42
20150524,16
20150525,27
20150526,33
20150527,76
20150528,58
20150529,28
20150530,29
20150531,52
20150601,42
20150602,37
20150603,28
20150604,28
20150605,36
20150606,82
20150607,27
20150608,140
20150609,72
20150610,130
20150611,101
20150612,45
20150613,29
20150614,58
20150615,51
20150616,23
20150617,60
20150618,58
20150619,31
20150620,38
20150621,47
20150622,85
20150623,90
20150624,100
20150625,61
20150626,56
20150627,40
20150628,34
20150629,38
20150630,61
20150701,34
20150702,65
20150703,74
20150704,54
20150705,36
20150706,57
20150707,49
20150708,74
20150709,31
20150710,39
20150711,87
20150712,101
20150713,31
20150714,31
20150715,27
20150716,21
20150717,43
20150718,40
20150719,31
20150720,46
20150721,40
20150722,37
20150723,33
20150724,70
20150725,42
20150726,37
20150727,58
20150728,33
20150729,35
20150730,30
20150731,118
