Date,play
20150301,672
20150302,643
20150303,753
20150304,810
20150305,582
20150306,701
20150307,628
20150308,712
20150309,845
20150310,753
20150311,693
20150312,611
20150313,607
20150314,540
20150315,622
20150316,610
20150317,608
20150318,802
20150319,933
20150320,913
20150321,940
20150322,903
20150323,901
20150324,970
20150325,931
20150326,1081
20150327,1109
20150328,992
20150329,1162
20150330,975
20150331,1170
20150401,1450
20150402,1164
20150403,1121
20150404,1460
20150405,936
20150406,995
20150407,1151
20150408,1192
20150409,1216
20150410,1154
20150411,1094
20150412,1007
20150413,1428
20150414,1359
20150415,1253
20150416,1123
20150417,970
20150418,1010
20150419,871
20150420,1166
20150421,1184
20150422,1064
20150423,1047
20150424,1087
20150425,956
20150426,1148
20150427,1152
20150428,1181
20150429,1064
20150430,927
20150501,789
20150502,728
20150503,744
20150504,941
20150505,732
20150506,833
20150507,833
20150508,870
20150509,873
20150510,818
20150511,841
20150512,863
20150513,825
20150514,804
20150515,687
20150516,754
20150517,647
20150518,800
20150519,749
20150520,775
20150521,741
20150522,768
20150523,745
20150524,607
20150525,638
20150526,874
20150527,711
20150528,695
20150529,700
20150530,630
20150531,697
20150601,767
20150602,749
20150603,758
20150604,721
20150605,744
20150606,774
20150607,695
20150608,693
20150609,723
20150610,800
20150611,630
20150612,626
20150613,540
20150614,518
20150615,791
20150616,659
20150617,723
20150618,590
20150619,641
20150620,661
20150621,586
20150622,724
20150623,961
20150624,824
20150625,581
20150626,593
20150627,544
20150628,503
20150629,759
20150630,785
20150701,752
20150702,580
20150703,613
20150704,588
20150705,476
20150706,774
20150707,793
20150708,726
20150709,750
20150710,589
20150711,564
20150712,468
20150713,757
20150714,664
20150715,703
20150716,754
20150717,819
20150718,425
20150719,451
20150720,667
20150721,694
20150722,532
20150723,545
20150724,579
20150725,527
20150726,447
20150727,584
20150728,489
20150729,535
20150730,494
20150731,530
