Date,play
20150301,100
20150302,91
20150303,81
20150304,64
20150305,117
20150306,97
20150307,92
20150308,86
20150309,89
20150310,93
20150311,89
20150312,92
20150313,101
20150314,104
20150315,121
20150316,117
20150317,128
20150318,147
20150319,99
20150320,131
20150321,141
20150322,108
20150323,121
20150324,137
20150325,149
20150326,131
20150327,120
20150328,132
20150329,119
20150330,139
20150331,128
20150401,210
20150402,179
20150403,142
20150404,147
20150405,135
20150406,167
20150407,168
20150408,161
20150409,186
20150410,182
20150411,164
20150412,134
20150413,186
20150414,125
20150415,140
20150416,216
20150417,176
20150418,232
20150419,174
20150420,201
20150421,159
20150422,191
20150423,168
20150424,153
20150425,226
20150426,193
20150427,143
20150428,209
20150429,204
20150430,169
20150501,142
20150502,195
20150503,145
20150504,145
20150505,140
20150506,155
20150507,122
20150508,116
20150509,155
20150510,137
20150511,179
20150512,201
20150513,171
20150514,211
20150515,159
20150516,208
20150517,169
20150518,173
20150519,174
20150520,164
20150521,185
20150522,207
20150523,202
20150524,209
20150525,183
20150526,152
20150527,219
20150528,148
20150529,170
20150530,161
20150531,174
20150601,143
20150602,172
20150603,198
20150604,175
20150605,167
20150606,162
20150607,196
20150608,148
20150609,139
20150610,162
20150611,125
20150612,138
20150613,155
20150614,219
20150615,168
20150616,198
20150617,184
20150618,143
20150619,152
20150620,128
20150621,157
20150622,176
20150623,209
20150624,161
20150625,180
20150626,189
20150627,209
20150628,252
20150629,193
20150630,202
20150701,211
20150702,280
20150703,211
20150704,206
20150705,224
20150706,192
20150707,168
20150708,168
20150709,299
20150710,356
20150711,262
20150712,249
20150713,290
20150714,306
20150715,240
20150716,298
20150717,227
20150718,209
20150719,258
20150720,231
20150721,180
20150722,244
20150723,228
20150724,203
20150725,287
20150726,237
20150727,222
20150728,185
20150729,334
20150730,213
20150731,180
