Date,play
20150301,58
20150302,37
20150303,55
20150304,60
20150305,73
20150306,56
20150307,64
20150308,44
20150309,69
20150310,44
20150311,71
20150312,32
20150313,44
20150314,47
20150315,46
20150316,50
20150317,59
20150318,38
20150319,29
20150320,52
20150321,45
20150322,68
20150323,25
20150324,47
20150325,43
20150326,49
20150327,37
20150328,42
20150329,70
20150330,50
20150331,58
20150401,72
20150402,49
20150403,72
20150404,75
20150405,88
20150406,93
20150407,116
20150408,85
20150409,54
20150410,89
20150411,69
20150412,76
20150413,80
20150414,50
20150415,51
20150416,47
20150417,54
20150418,86
20150419,82
20150420,54
20150421,55
20150422,65
20150423,46
20150424,65
20150425,90
20150426,88
20150427,59
20150428,77
20150429,58
20150430,51
20150501,83
20150502,57
20150503,61
20150504,43
20150505,53
20150506,43
20150507,69
20150508,65
20150509,60
20150510,62
20150511,44
20150512,58
20150513,54
20150514,63
20150515,55
20150516,61
20150517,67
20150518,32
20150519,64
20150520,58
20150521,48
20150522,64
20150523,38
20150524,82
20150525,54
20150526,54
20150527,56
20150528,51
20150529,59
20150530,80
20150531,51
20150601,59
20150602,56
20150603,71
20150604,77
20150605,68
20150606,70
20150607,84
20150608,61
20150609,71
20150610,56
20150611,46
20150612,54
20150613,67
20150614,51
20150615,48
20150616,48
20150617,59
20150618,53
20150619,57
20150620,73
20150621,126
20150622,60
20150623,62
20150624,51
20150625,69
20150626,76
20150627,68
20150628,82
20150629,90
20150630,59
20150701,72
20150702,67
20150703,72
20150704,54
20150705,62
20150706,91
20150707,107
20150708,55
20150709,78
20150710,163
20150711,61
20150712,64
20150713,66
20150714,68
20150715,87
20150716,46
20150717,92
20150718,49
20150719,113
20150720,54
20150721,54
20150722,56
20150723,75
20150724,71
20150725,71
20150726,58
20150727,52
20150728,52
20150729,59
20150730,50
20150731,73
20150801,76
20150802,59
20150803,60
20150804,64
20150805,64
20150806,76
20150807,78
20150808,47
20150809,55
20150810,43
20150811,53
20150812,55
20150813,55
20150814,66
20150815,59
20150816,70
20150817,54
20150818,66
20150819,93
20150820,75
20150821,79
20150822,88
20150823,65
20150824,74
20150825,69
20150826,60
20150827,96
20150828,83
20150829,76
20150830,83
