Date,play
20150301,119
20150302,130
20150303,110
20150304,153
20150305,168
20150306,150
20150307,179
20150308,153
20150309,139
20150310,231
20150311,238
20150312,135
20150313,185
20150314,315
20150315,245
20150316,184
20150317,253
20150318,668
20150319,342
20150320,289
20150321,331
20150322,270
20150323,390
20150324,578
20150325,611
20150326,739
20150327,605
20150328,632
20150329,593
20150330,603
20150331,501
20150401,552
20150402,481
20150403,462
20150404,462
20150405,459
20150406,453
20150407,539
20150408,556
20150409,456
20150410,611
20150411,559
20150412,460
20150413,453
20150414,494
20150415,534
20150416,491
20150417,499
20150418,612
20150419,630
20150420,459
20150421,541
20150422,546
20150423,489
20150424,424
20150425,444
20150426,451
20150427,386
20150428,533
20150429,486
20150430,437
20150501,459
20150502,380
20150503,469
20150504,556
20150505,490
20150506,398
20150507,400
20150508,390
20150509,395
20150510,337
20150511,295
20150512,396
20150513,431
20150514,403
20150515,382
20150516,400
20150517,321
20150518,343
20150519,353
20150520,362
20150521,399
20150522,312
20150523,340
20150524,330
20150525,373
20150526,393
20150527,478
20150528,513
20150529,604
20150530,572
20150531,532
20150601,530
20150602,486
20150603,631
20150604,628
20150605,685
20150606,616
20150607,513
20150608,499
20150609,457
20150610,462
20150611,508
20150612,492
20150613,506
20150614,565
20150615,642
20150616,492
20150617,419
20150618,487
20150619,492
20150620,425
20150621,398
20150622,355
20150623,413
20150624,410
20150625,419
20150626,444
20150627,418
20150628,361
20150629,422
20150630,433
20150701,402
20150702,470
20150703,464
20150704,329
20150705,393
20150706,367
20150707,458
20150708,312
20150709,344
20150710,445
20150711,434
20150712,348
20150713,459
20150714,415
20150715,500
20150716,526
20150717,403
20150718,349
20150719,353
20150720,364
20150721,361
20150722,385
20150723,391
20150724,404
20150725,418
20150726,353
20150727,390
20150728,307
20150729,431
20150730,379
20150731,378
20150801,287
20150802,271
20150803,406
20150804,374
20150805,314
20150806,352
20150807,331
20150808,305
20150809,292
20150810,341
20150811,392
20150812,443
20150813,403
20150814,414
20150815,413
20150816,410
20150817,405
20150818,448
20150819,768
20150820,736
20150821,644
20150822,482
20150823,463
20150824,516
20150825,505
20150826,472
20150827,467
20150828,414
20150829,422
20150830,366
