Date,play
20150301,1388
20150302,1415
20150303,1503
20150304,1866
20150305,1496
20150306,1262
20150307,1483
20150308,1263
20150309,1219
20150310,1260
20150311,1486
20150312,1501
20150313,1619
20150314,1711
20150315,1639
20150316,1438
20150317,1588
20150318,1463
20150319,1502
20150320,1801
20150321,1559
20150322,1419
20150323,1414
20150324,1554
20150325,1664
20150326,1589
20150327,1595
20150328,1459
20150329,1631
20150330,2749
20150331,3261
20150401,2560
20150402,2311
20150403,2044
20150404,2214
20150405,1968
20150406,2216
20150407,1980
20150408,1820
20150409,2060
20150410,2190
20150411,2030
20150412,1791
20150413,1736
20150414,1805
20150415,1869
20150416,1713
20150417,1839
20150418,1972
20150419,2077
20150420,1753
20150421,2008
20150422,1957
20150423,1858
20150424,2010
20150425,2002
20150426,2208
20150427,2027
20150428,2082
20150429,2328
20150430,1898
20150501,1816
20150502,1776
20150503,1957
20150504,2320
20150505,2235
20150506,2272
20150507,1803
20150508,2033
20150509,1845
20150510,1904
20150511,1606
20150512,2160
20150513,1965
20150514,1985
20150515,2341
20150516,1729
20150517,1772
20150518,1743
20150519,1973
20150520,2066
20150521,2084
20150522,2119
20150523,2007
20150524,1964
20150525,1996
20150526,1980
20150527,1955
20150528,2079
20150529,1780
20150530,1659
20150531,1795
20150601,1841
20150602,2026
20150603,1837
20150604,2037
20150605,1762
20150606,1889
20150607,1805
20150608,1831
20150609,2022
20150610,1738
20150611,1901
20150612,2019
20150613,1925
20150614,1759
20150615,1666
20150616,1815
20150617,1857
20150618,1842
20150619,1861
20150620,1651
20150621,1930
20150622,2358
20150623,2475
20150624,2455
20150625,2843
20150626,2401
20150627,2120
20150628,2099
20150629,2365
20150630,2492
20150701,2155
20150702,2249
20150703,2280
20150704,2086
20150705,2024
20150706,2016
20150707,1911
20150708,1998
20150709,2090
20150710,2062
20150711,1959
20150712,1890
20150713,2068
20150714,2227
20150715,2264
20150716,2550
20150717,2515
20150718,2008
20150719,2392
20150720,2067
20150721,2330
20150722,2443
20150723,1882
20150724,2087
20150725,1804
20150726,1746
20150727,1779
20150728,2147
20150729,1816
20150730,2033
20150731,2078
20150801,1703
20150802,1735
20150803,1860
20150804,1971
20150805,1877
20150806,2032
20150807,2156
20150808,2063
20150809,1822
20150810,2192
20150811,1859
20150812,2277
20150813,1731
20150814,1906
20150815,1847
20150816,1914
20150817,2059
20150818,1938
20150819,1793
20150820,2185
20150821,2191
20150822,1826
20150823,2058
20150824,2020
20150825,1827
20150826,1971
20150827,1996
20150828,2080
20150829,2012
20150830,1972
