Date,play
20150301,677
20150302,536
20150303,535
20150304,460
20150305,780
20150306,542
20150307,835
20150308,523
20150309,595
20150310,503
20150311,538
20150312,941
20150313,1232
20150314,2843
20150315,4634
20150316,4678
20150317,3807
20150318,2434
20150319,2501
20150320,1945
20150321,1931
20150322,1567
20150323,1555
20150324,1342
20150325,1227
20150326,1658
20150327,1221
20150328,1471
20150329,1297
20150330,1157
20150331,1293
20150401,1255
20150402,1079
20150403,1001
20150404,992
20150405,1154
20150406,1088
20150407,974
20150408,1163
20150409,937
20150410,1062
20150411,1324
20150412,1323
20150413,1160
20150414,1053
20150415,1275
20150416,1318
20150417,1045
20150418,1047
20150419,929
20150420,985
20150421,937
20150422,1125
20150423,905
20150424,990
20150425,1096
20150426,934
20150427,986
20150428,914
20150429,1090
20150430,867
20150501,870
20150502,866
20150503,829
20150504,949
20150505,939
20150506,821
20150507,886
20150508,1092
20150509,803
20150510,788
20150511,810
20150512,815
20150513,820
20150514,865
20150515,771
20150516,754
20150517,716
20150518,1012
20150519,694
20150520,730
20150521,700
20150522,682
20150523,727
20150524,888
20150525,784
20150526,933
20150527,724
20150528,691
20150529,670
20150530,740
20150531,832
20150601,782
20150602,829
20150603,829
20150604,960
20150605,857
20150606,792
20150607,890
20150608,772
20150609,901
20150610,763
20150611,806
20150612,891
20150613,716
20150614,702
20150615,741
20150616,741
20150617,814
20150618,854
20150619,714
20150620,884
20150621,856
20150622,908
20150623,844
20150624,839
20150625,736
20150626,772
20150627,880
20150628,1160
20150629,899
20150630,734
20150701,700
20150702,671
20150703,784
20150704,780
20150705,890
20150706,760
20150707,795
20150708,799
20150709,880
20150710,728
20150711,631
20150712,653
20150713,704
20150714,686
20150715,761
20150716,888
20150717,824
20150718,631
20150719,750
20150720,737
20150721,669
20150722,787
20150723,984
20150724,746
20150725,745
20150726,737
20150727,654
20150728,764
20150729,972
20150730,860
20150731,910
20150801,785
20150802,639
20150803,647
20150804,730
20150805,823
20150806,777
20150807,762
20150808,907
20150809,827
20150810,809
20150811,905
20150812,736
20150813,659
20150814,788
20150815,943
20150816,843
20150817,775
20150818,911
20150819,725
20150820,822
20150821,669
20150822,674
20150823,691
20150824,621
20150825,617
20150826,636
20150827,674
20150828,840
20150829,796
20150830,675
