Date,play
20150301,54
20150302,40
20150303,73
20150304,61
20150305,88
20150306,86
20150307,101
20150308,90
20150309,105
20150310,123
20150311,83
20150312,81
20150313,92
20150314,107
20150315,145
20150316,150
20150317,113
20150318,82
20150319,75
20150320,81
20150321,91
20150322,77
20150323,91
20150324,89
20150325,101
20150326,104
20150327,83
20150328,92
20150329,95
20150330,93
20150331,82
20150401,96
20150402,116
20150403,104
20150404,126
20150405,94
20150406,92
20150407,92
20150408,119
20150409,100
20150410,129
20150411,86
20150412,143
20150413,104
20150414,109
20150415,100
20150416,100
20150417,108
20150418,90
20150419,124
20150420,106
20150421,136
20150422,146
20150423,116
20150424,82
20150425,128
20150426,134
20150427,135
20150428,195
20150429,205
20150430,151
20150501,107
20150502,107
20150503,140
20150504,155
20150505,122
20150506,156
20150507,109
20150508,101
20150509,103
20150510,135
20150511,225
20150512,110
20150513,112
20150514,179
20150515,243
20150516,206
20150517,175
20150518,283
20150519,138
20150520,151
20150521,168
20150522,168
20150523,147
20150524,198
20150525,230
20150526,147
20150527,170
20150528,195
20150529,142
20150530,153
20150531,197
20150601,133
20150602,187
20150603,234
20150604,108
20150605,144
20150606,111
20150607,193
20150608,179
20150609,162
20150610,153
20150611,115
20150612,120
20150613,128
20150614,127
20150615,106
20150616,110
20150617,142
20150618,90
20150619,146
20150620,112
20150621,137
20150622,177
20150623,168
20150624,153
20150625,135
20150626,160
20150627,149
20150628,165
20150629,152
20150630,238
20150701,140
20150702,178
20150703,112
20150704,127
20150705,116
20150706,182
20150707,146
20150708,171
20150709,176
20150710,136
20150711,136
20150712,160
20150713,148
20150714,150
20150715,169
20150716,149
20150717,163
20150718,97
20150719,120
20150720,135
20150721,129
20150722,124
20150723,114
20150724,105
20150725,168
20150726,114
20150727,135
20150728,172
20150729,124
20150730,122
20150731,129
20150801,141
20150802,99
20150803,116
20150804,144
20150805,130
20150806,161
20150807,114
20150808,91
20150809,116
20150810,118
20150811,143
20150812,172
20150813,152
20150814,122
20150815,128
20150816,109
20150817,117
20150818,123
20150819,137
20150820,155
20150821,150
20150822,98
20150823,125
20150824,133
20150825,109
20150826,269
20150827,168
20150828,185
20150829,164
20150830,140
