Date,play
20150301,104
20150302,273
20150303,74
20150304,61
20150305,46
20150306,22
20150307,70
20150308,72
20150309,68
20150310,37
20150311,68
20150312,60
20150313,59
20150314,113
20150315,83
20150316,92
20150317,93
20150318,36
20150319,66
20150320,57
20150321,89
20150322,47
20150323,67
20150324,84
20150325,134
20150326,101
20150327,57
20150328,58
20150329,95
20150330,72
20150331,72
20150401,78
20150402,111
20150403,92
20150404,107
20150405,94
20150406,89
20150407,92
20150408,147
20150409,103
20150410,115
20150411,136
20150412,117
20150413,118
20150414,92
20150415,145
20150416,76
20150417,108
20150418,83
20150419,91
20150420,106
20150421,103
20150422,113
20150423,56
20150424,85
20150425,135
20150426,132
20150427,103
20150428,134
20150429,71
20150430,71
20150501,87
20150502,137
20150503,145
20150504,130
20150505,154
20150506,97
20150507,79
20150508,96
20150509,119
20150510,126
20150511,76
20150512,123
20150513,127
20150514,94
20150515,125
20150516,187
20150517,251
20150518,153
20150519,111
20150520,104
20150521,73
20150522,232
20150523,247
20150524,152
20150525,120
20150526,121
20150527,110
20150528,106
20150529,105
20150530,166
20150531,208
20150601,236
20150602,89
20150603,93
20150604,79
20150605,81
20150606,124
20150607,127
20150608,62
20150609,101
20150610,112
20150611,69
20150612,155
20150613,107
20150614,135
20150615,93
20150616,103
20150617,135
20150618,83
20150619,71
20150620,161
20150621,124
20150622,97
20150623,100
20150624,110
20150625,74
20150626,114
20150627,159
20150628,183
20150629,172
20150630,192
20150701,167
20150702,132
20150703,227
20150704,162
20150705,225
20150706,96
20150707,240
20150708,125
20150709,88
20150710,240
20150711,127
20150712,141
20150713,146
20150714,213
20150715,190
20150716,210
20150717,155
20150718,209
20150719,109
20150720,143
20150721,142
20150722,202
20150723,147
20150724,231
20150725,130
20150726,185
20150727,88
20150728,204
20150729,221
20150730,84
20150731,106
20150801,177
20150802,269
20150803,94
20150804,183
20150805,185
20150806,121
20150807,212
20150808,165
20150809,178
20150810,156
20150811,157
20150812,118
20150813,113
20150814,143
20150815,171
20150816,135
20150817,124
20150818,153
20150819,155
20150820,109
20150821,103
20150822,168
20150823,176
20150824,170
20150825,127
20150826,156
20150827,80
20150828,157
20150829,211
20150830,196
