Date,play
20150301,372
20150302,246
20150303,309
20150304,346
20150305,306
20150306,255
20150307,310
20150308,316
20150309,289
20150310,233
20150311,250
20150312,270
20150313,268
20150314,356
20150315,285
20150316,304
20150317,282
20150318,292
20150319,298
20150320,375
20150321,340
20150322,334
20150323,306
20150324,290
20150325,281
20150326,318
20150327,344
20150328,389
20150329,431
20150330,397
20150331,371
20150401,392
20150402,465
20150403,357
20150404,468
20150405,374
20150406,348
20150407,437
20150408,349
20150409,396
20150410,323
20150411,385
20150412,429
20150413,354
20150414,390
20150415,327
20150416,338
20150417,369
20150418,387
20150419,333
20150420,363
20150421,409
20150422,384
20150423,327
20150424,380
20150425,403
20150426,372
20150427,387
20150428,327
20150429,490
20150430,439
20150501,356
20150502,420
20150503,362
20150504,357
20150505,355
20150506,349
20150507,389
20150508,362
20150509,401
20150510,404
20150511,382
20150512,438
20150513,426
20150514,481
20150515,405
20150516,481
20150517,396
20150518,353
20150519,339
20150520,347
20150521,402
20150522,474
20150523,381
20150524,380
20150525,413
20150526,506
20150527,673
20150528,446
20150529,643
20150530,550
20150531,524
20150601,625
20150602,508
20150603,548
20150604,579
20150605,588
20150606,464
20150607,436
20150608,463
20150609,608
20150610,566
20150611,755
20150612,438
20150613,462
20150614,445
20150615,548
20150616,460
20150617,452
20150618,423
20150619,532
20150620,420
20150621,398
20150622,631
20150623,446
20150624,544
20150625,523
20150626,407
20150627,451
20150628,352
20150629,507
20150630,441
20150701,400
20150702,460
20150703,434
20150704,420
20150705,497
20150706,574
20150707,514
20150708,585
20150709,631
20150710,590
20150711,486
20150712,390
20150713,471
20150714,510
20150715,461
20150716,538
20150717,427
20150718,416
20150719,436
20150720,461
20150721,481
20150722,425
20150723,434
20150724,410
20150725,363
20150726,474
20150727,503
20150728,440
20150729,505
20150730,449
20150731,513
20150801,485
20150802,447
20150803,486
20150804,460
20150805,596
20150806,433
20150807,458
20150808,478
20150809,363
20150810,450
20150811,572
20150812,523
20150813,421
20150814,588
20150815,424
20150816,430
20150817,460
20150818,458
20150819,395
20150820,521
20150821,490
20150822,353
20150823,417
20150824,456
20150825,454
20150826,433
20150827,462
20150828,395
20150829,456
20150830,442
