Date,play
20150301,70
20150302,66
20150303,52
20150304,53
20150305,45
20150306,103
20150307,47
20150308,97
20150309,114
20150310,55
20150311,49
20150312,54
20150313,57
20150314,126
20150315,65
20150316,56
20150317,75
20150318,47
20150319,65
20150320,64
20150321,58
20150322,92
20150323,57
20150324,48
20150325,59
20150326,92
20150327,61
20150328,74
20150329,51
20150330,58
20150331,34
20150401,105
20150402,75
20150403,45
20150404,49
20150405,40
20150406,52
20150407,46
20150408,56
20150409,65
20150410,36
20150411,54
20150412,49
20150413,65
20150414,42
20150415,50
20150416,54
20150417,42
20150418,48
20150419,56
20150420,55
20150421,101
20150422,63
20150423,65
20150424,130
20150425,88
20150426,84
20150427,110
20150428,157
20150429,148
20150430,59
20150501,154
20150502,805
20150503,1311
20150504,1151
20150505,403
20150506,313
20150507,222
20150508,232
20150509,256
20150510,200
20150511,238
20150512,164
20150513,193
20150514,291
20150515,177
20150516,139
20150517,254
20150518,171
20150519,137
20150520,164
20150521,158
20150522,171
20150523,175
20150524,218
20150525,200
20150526,195
20150527,227
20150528,347
20150529,449
20150530,758
20150531,1140
20150601,1318
20150602,1322
20150603,1014
20150604,1188
20150605,717
20150606,681
20150607,690
20150608,738
20150609,726
20150610,622
20150611,516
20150612,506
20150613,364
20150614,480
20150615,402
20150616,401
20150617,335
20150618,436
20150619,327
20150620,353
20150621,301
20150622,410
20150623,387
20150624,280
20150625,261
20150626,319
20150627,236
20150628,263
20150629,243
20150630,316
20150701,391
20150702,307
20150703,257
20150704,243
20150705,208
20150706,306
20150707,259
20150708,225
20150709,219
20150710,227
20150711,171
20150712,282
20150713,223
20150714,204
20150715,202
20150716,194
20150717,192
20150718,147
20150719,191
20150720,171
20150721,154
20150722,167
20150723,223
20150724,287
20150725,210
20150726,198
20150727,287
20150728,205
20150729,166
20150730,229
20150731,174
20150801,143
20150802,141
20150803,184
20150804,177
20150805,182
20150806,179
20150807,178
20150808,184
20150809,183
20150810,202
20150811,191
20150812,219
20150813,159
20150814,143
20150815,139
20150816,142
20150817,203
20150818,143
20150819,152
20150820,161
20150821,163
20150822,121
20150823,141
20150824,134
20150825,140
20150826,158
20150827,144
20150828,157
20150829,174
20150830,156
