Date,play
20150301,353
20150302,321
20150303,387
20150304,410
20150305,716
20150306,425
20150307,440
20150308,396
20150309,307
20150310,338
20150311,398
20150312,395
20150313,477
20150314,500
20150315,425
20150316,461
20150317,402
20150318,398
20150319,528
20150320,542
20150321,463
20150322,476
20150323,472
20150324,488
20150325,377
20150326,370
20150327,423
20150328,397
20150329,344
20150330,383
20150331,384
20150401,483
20150402,533
20150403,573
20150404,474
20150405,493
20150406,509
20150407,490
20150408,577
20150409,484
20150410,637
20150411,867
20150412,836
20150413,622
20150414,545
20150415,650
20150416,594
20150417,546
20150418,482
20150419,493
20150420,597
20150421,643
20150422,513
20150423,539
20150424,613
20150425,499
20150426,519
20150427,501
20150428,565
20150429,433
20150430,499
20150501,451
20150502,484
20150503,593
20150504,544
20150505,533
20150506,560
20150507,474
20150508,573
20150509,530
20150510,415
20150511,486
20150512,659
20150513,705
20150514,601
20150515,549
20150516,558
20150517,606
20150518,414
20150519,489
20150520,665
20150521,476
20150522,497
20150523,599
20150524,604
20150525,492
20150526,528
20150527,469
20150528,425
20150529,578
20150530,464
20150531,511
20150601,465
20150602,464
20150603,443
20150604,564
20150605,481
20150606,486
20150607,437
20150608,644
20150609,622
20150610,492
20150611,551
20150612,543
20150613,411
20150614,578
20150615,465
20150616,473
20150617,549
20150618,709
20150619,566
20150620,439
20150621,499
20150622,855
20150623,786
20150624,613
20150625,632
20150626,621
20150627,565
20150628,672
20150629,661
20150630,703
20150701,630
20150702,670
20150703,590
20150704,673
20150705,554
20150706,684
20150707,776
20150708,681
20150709,763
20150710,984
20150711,1013
20150712,914
20150713,1060
20150714,1098
20150715,914
20150716,852
20150717,928
20150718,849
20150719,786
20150720,940
20150721,732
20150722,712
20150723,775
20150724,784
20150725,676
20150726,769
20150727,711
20150728,699
20150729,700
20150730,708
20150731,787
20150801,603
20150802,585
20150803,666
20150804,701
20150805,683
20150806,694
20150807,550
20150808,547
20150809,571
20150810,634
20150811,615
20150812,626
20150813,634
20150814,653
20150815,671
20150816,529
20150817,645
20150818,621
20150819,666
20150820,892
20150821,721
20150822,527
20150823,556
20150824,642
20150825,619
20150826,673
20150827,669
20150828,661
20150829,601
20150830,690
