Date,play
20150301,396
20150302,458
20150303,431
20150304,487
20150305,513
20150306,500
20150307,421
20150308,465
20150309,482
20150310,506
20150311,572
20150312,623
20150313,529
20150314,477
20150315,507
20150316,453
20150317,539
20150318,488
20150319,500
20150320,553
20150321,469
20150322,537
20150323,492
20150324,491
20150325,529
20150326,507
20150327,554
20150328,557
20150329,520
20150330,619
20150331,517
20150401,572
20150402,505
20150403,517
20150404,480
20150405,444
20150406,387
20150407,463
20150408,533
20150409,533
20150410,614
20150411,527
20150412,490
20150413,473
20150414,481
20150415,553
20150416,541
20150417,581
20150418,489
20150419,493
20150420,484
20150421,604
20150422,577
20150423,500
20150424,683
20150425,477
20150426,483
20150427,519
20150428,580
20150429,683
20150430,509
20150501,507
20150502,566
20150503,575
20150504,504
20150505,665
20150506,504
20150507,534
20150508,521
20150509,493
20150510,530
20150511,502
20150512,657
20150513,628
20150514,689
20150515,555
20150516,504
20150517,546
20150518,651
20150519,570
20150520,550
20150521,558
20150522,678
20150523,652
20150524,701
20150525,602
20150526,690
20150527,644
20150528,628
20150529,583
20150530,572
20150531,671
20150601,674
20150602,552
20150603,643
20150604,694
20150605,671
20150606,548
20150607,492
20150608,511
20150609,523
20150610,714
20150611,650
20150612,656
20150613,612
20150614,684
20150615,633
20150616,741
20150617,690
20150618,635
20150619,709
20150620,655
20150621,599
20150622,627
20150623,604
20150624,520
20150625,690
20150626,637
20150627,699
20150628,601
20150629,690
20150630,664
20150701,610
20150702,655
20150703,584
20150704,551
20150705,602
20150706,612
20150707,754
20150708,565
20150709,591
20150710,547
20150711,557
20150712,686
20150713,608
20150714,692
20150715,690
20150716,673
20150717,600
20150718,601
20150719,668
20150720,609
20150721,677
20150722,655
20150723,625
20150724,813
20150725,681
20150726,580
20150727,670
20150728,719
20150729,607
20150730,1014
20150731,635
20150801,613
20150802,559
20150803,617
20150804,553
20150805,494
20150806,550
20150807,580
20150808,508
20150809,615
20150810,541
20150811,553
20150812,572
20150813,588
20150814,631
20150815,617
20150816,588
20150817,554
20150818,530
20150819,598
20150820,587
20150821,724
20150822,527
20150823,670
20150824,606
20150825,635
20150826,719
20150827,627
20150828,615
20150829,523
20150830,513
