Date,play
20150301,257
20150302,200
20150303,300
20150304,366
20150305,332
20150306,491
20150307,1010
20150308,1115
20150309,709
20150310,457
20150311,476
20150312,436
20150313,717
20150314,543
20150315,350
20150316,306
20150317,312
20150318,280
20150319,287
20150320,262
20150321,235
20150322,245
20150323,218
20150324,321
20150325,194
20150326,271
20150327,237
20150328,453
20150329,416
20150330,346
20150331,287
20150401,320
20150402,311
20150403,337
20150404,330
20150405,366
20150406,304
20150407,280
20150408,306
20150409,285
20150410,295
20150411,385
20150412,329
20150413,329
20150414,319
20150415,353
20150416,225
20150417,299
20150418,285
20150419,406
20150420,309
20150421,275
20150422,290
20150423,310
20150424,294
20150425,247
20150426,361
20150427,256
20150428,278
20150429,234
20150430,247
20150501,243
20150502,234
20150503,349
20150504,234
20150505,245
20150506,304
20150507,299
20150508,265
20150509,230
20150510,354
20150511,265
20150512,240
20150513,290
20150514,262
20150515,271
20150516,279
20150517,346
20150518,285
20150519,231
20150520,250
20150521,218
20150522,242
20150523,238
20150524,328
20150525,197
20150526,204
20150527,245
20150528,301
20150529,285
20150530,263
20150531,337
20150601,333
20150602,258
20150603,247
20150604,329
20150605,388
20150606,977
20150607,978
20150608,946
20150609,552
20150610,365
20150611,405
20150612,419
20150613,333
20150614,418
20150615,469
20150616,521
20150617,446
20150618,351
20150619,342
20150620,325
20150621,510
20150622,383
20150623,297
20150624,273
20150625,296
20150626,277
20150627,254
20150628,322
20150629,258
20150630,255
20150701,291
20150702,305
20150703,299
20150704,254
20150705,349
20150706,307
20150707,263
20150708,352
20150709,350
20150710,424
20150711,350
20150712,445
20150713,433
20150714,469
20150715,417
20150716,411
20150717,451
20150718,373
20150719,391
20150720,353
20150721,343
20150722,288
20150723,377
20150724,301
20150725,270
20150726,391
20150727,259
20150728,266
20150729,299
20150730,268
20150731,294
20150801,291
20150802,335
20150803,334
20150804,296
20150805,447
20150806,308
20150807,391
20150808,225
20150809,280
20150810,269
20150811,301
20150812,267
20150813,311
20150814,291
20150815,223
20150816,305
20150817,298
20150818,276
20150819,310
20150820,286
20150821,289
20150822,222
20150823,242
20150824,299
20150825,244
20150826,287
20150827,259
20150828,265
20150829,230
20150830,309
