Date,play
20150301,81
20150302,104
20150303,143
20150304,169
20150305,151
20150306,184
20150307,116
20150308,158
20150309,155
20150310,148
20150311,98
20150312,161
20150313,296
20150314,103
20150315,152
20150316,65
20150317,200
20150318,200
20150319,99
20150320,134
20150321,111
20150322,101
20150323,89
20150324,76
20150325,84
20150326,117
20150327,123
20150328,102
20150329,121
20150330,111
20150331,116
20150401,108
20150402,97
20150403,66
20150404,100
20150405,91
20150406,81
20150407,129
20150408,93
20150409,84
20150410,66
20150411,120
20150412,122
20150413,103
20150414,95
20150415,80
20150416,68
20150417,91
20150418,84
20150419,98
20150420,81
20150421,64
20150422,79
20150423,84
20150424,158
20150425,99
20150426,154
20150427,77
20150428,57
20150429,68
20150430,155
20150501,126
20150502,219
20150503,129
20150504,99
20150505,98
20150506,105
20150507,105
20150508,140
20150509,161
20150510,133
20150511,150
20150512,130
20150513,167
20150514,103
20150515,88
20150516,136
20150517,131
20150518,147
20150519,123
20150520,99
20150521,85
20150522,71
20150523,97
20150524,143
20150525,134
20150526,78
20150527,113
20150528,87
20150529,69
20150530,129
20150531,178
20150601,175
20150602,122
20150603,141
20150604,95
20150605,114
20150606,137
20150607,86
20150608,123
20150609,81
20150610,88
20150611,96
20150612,105
20150613,73
20150614,150
20150615,86
20150616,63
20150617,93
20150618,118
20150619,111
20150620,186
20150621,107
20150622,183
20150623,99
20150624,104
20150625,94
20150626,118
20150627,102
20150628,115
20150629,132
20150630,115
20150701,127
20150702,130
20150703,161
20150704,53
20150705,60
20150706,99
20150707,132
20150708,118
20150709,115
20150710,147
20150711,116
20150712,106
20150713,156
20150714,182
20150715,117
20150716,75
20150717,78
20150718,66
20150719,65
20150720,100
20150721,73
20150722,104
20150723,85
20150724,93
20150725,83
20150726,67
20150727,114
20150728,140
20150729,85
20150730,105
20150731,59
20150801,72
20150802,63
20150803,102
20150804,64
20150805,78
20150806,189
20150807,165
20150808,97
20150809,164
20150810,198
20150811,149
20150812,200
20150813,173
20150814,287
20150815,228
20150816,102
20150817,113
20150818,112
20150819,106
20150820,109
20150821,144
20150822,130
20150823,111
20150824,164
20150825,135
20150826,118
20150827,130
20150828,163
20150829,192
20150830,144
