Date,play
20150301,279
20150302,455
20150303,773
20150304,936
20150305,779
20150306,846
20150307,631
20150308,526
20150309,701
20150310,649
20150311,814
20150312,1028
20150313,957
20150314,829
20150315,1023
20150316,1009
20150317,846
20150318,630
20150319,806
20150320,790
20150321,852
20150322,810
20150323,937
20150324,635
20150325,757
20150326,862
20150327,635
20150328,627
20150329,804
20150330,703
20150331,632
20150401,977
20150402,1094
20150403,957
20150404,524
20150405,754
20150406,562
20150407,910
20150408,906
20150409,989
20150410,797
20150411,736
20150412,728
20150413,613
20150414,812
20150415,758
20150416,836
20150417,856
20150418,817
20150419,685
20150420,847
20150421,905
20150422,956
20150423,824
20150424,694
20150425,744
20150426,622
20150427,787
20150428,634
20150429,578
20150430,653
20150501,599
20150502,509
20150503,604
20150504,523
20150505,534
20150506,548
20150507,582
20150508,638
20150509,515
20150510,515
20150511,564
20150512,642
20150513,595
20150514,553
20150515,624
20150516,349
20150517,404
20150518,517
20150519,525
20150520,518
20150521,548
20150522,698
20150523,404
20150524,307
20150525,579
20150526,479
20150527,362
20150528,440
20150529,443
20150530,410
20150531,396
20150601,405
20150602,380
20150603,418
20150604,474
20150605,482
20150606,457
20150607,347
20150608,486
20150609,489
20150610,413
20150611,399
20150612,391
20150613,286
20150614,267
20150615,428
20150616,364
20150617,475
20150618,452
20150619,404
20150620,264
20150621,239
20150622,336
20150623,373
20150624,269
20150625,275
20150626,330
20150627,305
20150628,297
20150629,263
20150630,335
20150701,309
20150702,379
20150703,348
20150704,263
20150705,326
20150706,389
20150707,359
20150708,324
20150709,359
20150710,440
20150711,354
20150712,296
20150713,325
20150714,282
20150715,344
20150716,269
20150717,395
20150718,252
20150719,277
20150720,405
20150721,382
20150722,250
20150723,334
20150724,426
20150725,263
20150726,226
20150727,267
20150728,254
20150729,284
20150730,326
20150731,297
20150801,291
20150802,290
20150803,234
20150804,341
20150805,316
20150806,283
20150807,285
20150808,218
20150809,320
20150810,297
20150811,283
20150812,272
20150813,297
20150814,316
20150815,408
20150816,204
20150817,318
20150818,422
20150819,256
20150820,239
20150821,235
20150822,199
20150823,155
20150824,262
20150825,265
20150826,263
20150827,357
20150828,249
20150829,246
20150830,217
