Date,play
20150301,56
20150302,78
20150303,78
20150304,75
20150305,66
20150306,81
20150307,136
20150308,56
20150309,70
20150310,75
20150311,64
20150312,68
20150313,150
20150314,139
20150315,250
20150316,129
20150317,89
20150318,94
20150319,71
20150320,97
20150321,113
20150322,123
20150323,207
20150324,148
20150325,92
20150326,169
20150327,77
20150328,68
20150329,102
20150330,99
20150331,100
20150401,117
20150402,118
20150403,81
20150404,108
20150405,89
20150406,125
20150407,124
20150408,119
20150409,110
20150410,83
20150411,108
20150412,146
20150413,107
20150414,95
20150415,142
20150416,104
20150417,142
20150418,187
20150419,166
20150420,100
20150421,91
20150422,109
20150423,102
20150424,148
20150425,126
20150426,115
20150427,114
20150428,131
20150429,113
20150430,139
20150501,140
20150502,90
20150503,114
20150504,90
20150505,117
20150506,107
20150507,132
20150508,113
20150509,150
20150510,102
20150511,96
20150512,100
20150513,88
20150514,93
20150515,98
20150516,90
20150517,124
20150518,147
20150519,143
20150520,126
20150521,108
20150522,79
20150523,90
20150524,110
20150525,96
20150526,104
20150527,121
20150528,115
20150529,113
20150530,119
20150531,100
20150601,146
20150602,128
20150603,148
20150604,164
20150605,83
20150606,116
20150607,77
20150608,88
20150609,122
20150610,149
20150611,100
20150612,132
20150613,111
20150614,119
20150615,98
20150616,102
20150617,114
20150618,115
20150619,141
20150620,97
20150621,92
20150622,121
20150623,105
20150624,88
20150625,109
20150626,117
20150627,113
20150628,141
20150629,85
20150630,81
20150701,105
20150702,126
20150703,127
20150704,107
20150705,218
20150706,170
20150707,157
20150708,151
20150709,143
20150710,144
20150711,87
20150712,117
20150713,140
20150714,98
20150715,83
20150716,101
20150717,115
20150718,124
20150719,112
20150720,94
20150721,182
20150722,154
20150723,115
20150724,127
20150725,90
20150726,73
20150727,107
20150728,120
20150729,97
20150730,109
20150731,166
20150801,94
20150802,107
20150803,113
20150804,147
20150805,104
20150806,110
20150807,118
20150808,73
20150809,112
20150810,156
20150811,171
20150812,109
20150813,113
20150814,117
20150815,122
20150816,113
20150817,133
20150818,133
20150819,128
20150820,127
20150821,144
20150822,123
20150823,207
20150824,158
20150825,173
20150826,185
20150827,166
20150828,157
20150829,289
20150830,254
