Date,play
20150301,279
20150302,347
20150303,388
20150304,299
20150305,289
20150306,295
20150307,276
20150308,303
20150309,359
20150310,254
20150311,325
20150312,310
20150313,276
20150314,288
20150315,311
20150316,290
20150317,348
20150318,268
20150319,306
20150320,297
20150321,283
20150322,279
20150323,276
20150324,355
20150325,212
20150326,254
20150327,317
20150328,353
20150329,280
20150330,262
20150331,332
20150401,326
20150402,311
20150403,344
20150404,342
20150405,317
20150406,344
20150407,312
20150408,399
20150409,516
20150410,351
20150411,327
20150412,357
20150413,272
20150414,340
20150415,311
20150416,425
20150417,405
20150418,335
20150419,358
20150420,368
20150421,312
20150422,465
20150423,345
20150424,352
20150425,326
20150426,309
20150427,376
20150428,339
20150429,346
20150430,302
20150501,253
20150502,288
20150503,311
20150504,302
20150505,263
20150506,266
20150507,297
20150508,335
20150509,343
20150510,327
20150511,354
20150512,327
20150513,1236
20150514,1758
20150515,1453
20150516,960
20150517,640
20150518,506
20150519,613
20150520,763
20150521,543
20150522,504
20150523,489
20150524,488
20150525,453
20150526,502
20150527,451
20150528,481
20150529,514
20150530,412
20150531,396
20150601,372
20150602,451
20150603,462
20150604,425
20150605,344
20150606,380
20150607,415
20150608,334
20150609,485
20150610,303
20150611,261
20150612,318
20150613,302
20150614,314
20150615,385
20150616,398
20150617,307
20150618,298
20150619,299
20150620,278
20150621,268
20150622,376
20150623,324
20150624,304
20150625,333
20150626,309
20150627,355
20150628,327
20150629,292
20150630,375
20150701,378
20150702,410
20150703,333
20150704,328
20150705,269
20150706,363
20150707,446
20150708,319
20150709,334
20150710,293
20150711,299
20150712,296
20150713,290
20150714,298
20150715,367
20150716,347
20150717,402
20150718,261
20150719,340
20150720,332
20150721,262
20150722,365
20150723,345
20150724,369
20150725,810
20150726,701
20150727,813
20150728,802
20150729,707
20150730,631
20150731,723
20150801,822
20150802,689
20150803,710
20150804,597
20150805,573
20150806,501
20150807,564
20150808,522
20150809,514
20150810,482
20150811,544
20150812,618
20150813,605
20150814,456
20150815,450
20150816,506
20150817,506
20150818,492
20150819,580
20150820,586
20150821,446
20150822,403
20150823,452
20150824,396
20150825,385
20150826,451
20150827,467
20150828,450
20150829,451
20150830,358
