Date,play
20150301,254
20150302,327
20150303,418
20150304,399
20150305,353
20150306,405
20150307,422
20150308,395
20150309,382
20150310,347
20150311,478
20150312,406
20150313,411
20150314,460
20150315,360
20150316,416
20150317,397
20150318,475
20150319,529
20150320,375
20150321,430
20150322,457
20150323,380
20150324,476
20150325,377
20150326,353
20150327,447
20150328,346
20150329,483
20150330,316
20150331,417
20150401,474
20150402,559
20150403,441
20150404,610
20150405,419
20150406,482
20150407,559
20150408,522
20150409,576
20150410,500
20150411,612
20150412,409
20150413,504
20150414,417
20150415,629
20150416,770
20150417,825
20150418,651
20150419,598
20150420,547
20150421,559
20150422,570
20150423,550
20150424,727
20150425,583
20150426,437
20150427,595
20150428,751
20150429,554
20150430,560
20150501,627
20150502,431
20150503,604
20150504,624
20150505,1012
20150506,1110
20150507,1053
20150508,1033
20150509,851
20150510,645
20150511,692
20150512,602
20150513,678
20150514,585
20150515,682
20150516,678
20150517,724
20150518,572
20150519,495
20150520,516
20150521,636
20150522,509
20150523,563
20150524,597
20150525,685
20150526,636
20150527,786
20150528,769
20150529,707
20150530,702
20150531,711
20150601,701
20150602,633
20150603,745
20150604,634
20150605,1625
20150606,1937
20150607,1934
20150608,2374
20150609,1420
20150610,1469
20150611,1543
20150612,1517
20150613,1190
20150614,941
20150615,1003
20150616,903
20150617,892
20150618,945
20150619,989
20150620,775
20150621,675
20150622,950
20150623,941
20150624,826
20150625,943
20150626,1086
20150627,659
20150628,865
20150629,829
20150630,741
20150701,713
20150702,680
20150703,670
20150704,598
20150705,612
20150706,754
20150707,718
20150708,728
20150709,582
20150710,806
20150711,684
20150712,671
20150713,584
20150714,762
20150715,628
20150716,846
20150717,827
20150718,622
20150719,592
20150720,697
20150721,755
20150722,626
20150723,595
20150724,665
20150725,698
20150726,702
20150727,820
20150728,647
20150729,747
20150730,702
20150731,762
20150801,748
20150802,605
20150803,727
20150804,816
20150805,685
20150806,745
20150807,518
20150808,687
20150809,714
20150810,751
20150811,753
20150812,757
20150813,654
20150814,650
20150815,684
20150816,545
20150817,857
20150818,742
20150819,708
20150820,703
20150821,647
20150822,628
20150823,539
20150824,726
20150825,591
20150826,672
20150827,632
20150828,780
20150829,656
20150830,548
