Date,play
20150301,2
20150302,8
20150303,15
20150304,26
20150305,87
20150306,8
20150307,22
20150308,12
20150309,5
20150310,17
20150311,12
20150312,21
20150313,18
20150314,12
20150315,19
20150316,13
20150317,13
20150318,13
20150319,13
20150320,24
20150321,26
20150322,12
20150323,12
20150324,10
20150325,13
20150326,16
20150327,17
20150328,16
20150329,12
20150330,15
20150331,13
20150401,4
20150402,16
20150403,19
20150404,28
20150405,24
20150406,36
20150407,11
20150408,133
20150409,16
20150410,10
20150411,11
20150412,27
20150413,3
20150414,10
20150415,23
20150416,14
20150417,11
20150418,26
20150419,8
20150420,14
20150421,19
20150422,14
20150423,9
20150424,16
20150425,11
20150426,11
20150427,18
20150428,10
20150429,23
20150430,13
20150501,14
20150502,28
20150503,21
20150504,13
20150505,11
20150506,15
20150507,14
20150508,63
20150509,100
20150510,25
20150511,30
20150512,32
20150513,35
20150514,15
20150515,20
20150516,21
20150517,19
20150518,8
20150519,22
20150520,16
20150521,11
20150522,25
20150523,21
20150524,23
20150525,16
20150526,14
20150527,20
20150528,13
20150529,26
20150530,15
20150531,13
20150601,18
20150602,27
20150603,40
20150604,40
20150605,40
20150606,24
20150607,12
20150608,17
20150609,22
20150610,35
20150611,19
20150612,18
20150613,19
20150614,16
20150615,17
20150616,23
20150617,14
20150618,11
20150619,19
20150620,25
20150621,17
20150622,21
20150623,16
20150624,14
20150625,11
20150626,14
20150627,7
20150628,14
20150629,12
20150630,12
20150701,8
20150702,14
20150703,16
20150704,11
20150705,17
20150706,35
20150707,13
20150708,10
20150709,18
20150710,14
20150711,16
20150712,15
20150713,13
20150714,17
20150715,15
20150716,13
20150717,11
20150718,11
20150719,14
20150720,10
20150721,18
20150722,11
20150723,26
20150724,16
20150725,8
20150726,7
20150727,10
20150728,15
20150729,9
20150730,12
20150731,9
20150801,10
20150802,10
20150803,11
20150804,20
20150805,16
20150806,13
20150807,8
20150808,8
20150809,12
20150810,18
20150811,16
20150812,31
20150813,11
20150814,23
20150815,15
20150816,8
20150817,27
20150818,18
20150819,13
20150820,18
20150821,23
20150822,13
20150823,11
20150824,15
20150825,16
20150826,29
20150827,11
20150828,16
20150829,30
20150830,26
