Date,play
20150301,1651
20150302,1407
20150303,1564
20150304,1569
20150305,1409
20150306,1471
20150307,1528
20150308,1375
20150309,1335
20150310,1490
20150311,1536
20150312,1444
20150313,1441
20150314,1352
20150315,1520
20150316,1475
20150317,1332
20150318,1630
20150319,1632
20150320,1578
20150321,1545
20150322,1597
20150323,1748
20150324,1522
20150325,1620
20150326,1528
20150327,1507
20150328,1400
20150329,1477
20150330,1511
20150331,1699
20150401,2051
20150402,1975
20150403,2012
20150404,1593
20150405,1783
20150406,1921
20150407,1817
20150408,1855
20150409,1733
20150410,1869
20150411,2104
20150412,2180
20150413,1965
20150414,1915
20150415,1974
20150416,1804
20150417,1570
20150418,1817
20150419,1665
20150420,1794
20150421,1945
20150422,2061
20150423,1880
20150424,1936
20150425,1867
20150426,2037
20150427,1802
20150428,1872
20150429,2087
20150430,1700
20150501,1841
20150502,1783
20150503,1712
20150504,1796
20150505,2124
20150506,2102
20150507,2524
20150508,2750
20150509,2622
20150510,2475
20150511,2534
20150512,2873
20150513,2746
20150514,2522
20150515,2490
20150516,2256
20150517,2337
20150518,2440
20150519,2508
20150520,2492
20150521,2450
20150522,2542
20150523,2157
20150524,2421
20150525,2319
20150526,2442
20150527,2466
20150528,2443
20150529,2261
20150530,2256
20150531,2304
20150601,2450
20150602,2585
20150603,2470
20150604,2666
20150605,2520
20150606,2549
20150607,2244
20150608,2225
20150609,2429
20150610,2157
20150611,2224
20150612,2230
20150613,2182
20150614,1929
20150615,2149
20150616,2276
20150617,2473
20150618,2126
20150619,2462
20150620,2013
20150621,1949
20150622,2212
20150623,2291
20150624,2441
20150625,2397
20150626,2549
20150627,2238
20150628,1903
20150629,2542
20150630,2217
20150701,2422
20150702,2623
20150703,2595
20150704,2408
20150705,2413
20150706,2540
20150707,2660
20150708,2808
20150709,2885
20150710,2544
20150711,2472
20150712,2177
20150713,2973
20150714,2511
20150715,2737
20150716,3258
20150717,3119
20150718,3198
20150719,3702
20150720,4464
20150721,4046
20150722,4292
20150723,4698
20150724,4188
20150725,4413
20150726,4818
20150727,5272
20150728,4159
20150729,4070
20150730,3955
20150731,3929
20150801,3293
20150802,2608
20150803,3230
20150804,3287
20150805,3084
20150806,3020
20150807,3115
20150808,2754
20150809,2610
20150810,2998
20150811,3201
20150812,2863
20150813,2560
20150814,2678
20150815,2542
20150816,2468
20150817,2550
20150818,2763
20150819,2840
20150820,2706
20150821,2612
20150822,2300
20150823,2082
20150824,2503
20150825,2244
20150826,2625
20150827,2576
20150828,2389
20150829,2318
20150830,1980
