Date,play
20150301,215
20150302,234
20150303,285
20150304,175
20150305,252
20150306,304
20150307,240
20150308,236
20150309,271
20150310,238
20150311,188
20150312,234
20150313,231
20150314,181
20150315,280
20150316,203
20150317,279
20150318,220
20150319,211
20150320,311
20150321,299
20150322,224
20150323,256
20150324,281
20150325,273
20150326,259
20150327,270
20150328,195
20150329,216
20150330,234
20150331,286
20150401,249
20150402,247
20150403,218
20150404,235
20150405,183
20150406,185
20150407,234
20150408,243
20150409,297
20150410,355
20150411,257
20150412,379
20150413,271
20150414,250
20150415,258
20150416,274
20150417,269
20150418,211
20150419,259
20150420,295
20150421,301
20150422,295
20150423,271
20150424,237
20150425,177
20150426,311
20150427,269
20150428,260
20150429,265
20150430,240
20150501,216
20150502,228
20150503,258
20150504,253
20150505,250
20150506,224
20150507,198
20150508,195
20150509,211
20150510,141
20150511,192
20150512,235
20150513,338
20150514,313
20150515,285
20150516,180
20150517,231
20150518,193
20150519,252
20150520,176
20150521,154
20150522,266
20150523,249
20150524,277
20150525,258
20150526,224
20150527,205
20150528,278
20150529,289
20150530,320
20150531,222
20150601,215
20150602,187
20150603,222
20150604,190
20150605,221
20150606,204
20150607,217
20150608,256
20150609,308
20150610,259
20150611,290
20150612,230
20150613,254
20150614,281
20150615,270
20150616,246
20150617,220
20150618,299
20150619,529
20150620,439
20150621,353
20150622,385
20150623,398
20150624,351
20150625,319
20150626,301
20150627,298
20150628,276
20150629,312
20150630,328
20150701,346
20150702,283
20150703,279
20150704,362
20150705,361
20150706,357
20150707,441
20150708,384
20150709,347
20150710,462
20150711,356
20150712,362
20150713,339
20150714,292
20150715,353
20150716,312
20150717,371
20150718,286
20150719,349
20150720,340
20150721,242
20150722,394
20150723,433
20150724,541
20150725,428
20150726,468
20150727,474
20150728,327
20150729,429
20150730,638
20150731,374
20150801,494
20150802,570
20150803,401
20150804,452
20150805,425
20150806,498
20150807,481
20150808,476
20150809,366
20150810,467
20150811,431
20150812,439
20150813,345
20150814,595
20150815,601
20150816,805
20150817,741
20150818,962
20150819,805
20150820,866
20150821,982
20150822,495
20150823,643
20150824,736
20150825,608
20150826,510
20150827,403
20150828,413
20150829,445
20150830,568
