Date,play
20150301,94
20150302,65
20150303,59
20150304,71
20150305,70
20150306,90
20150307,76
20150308,75
20150309,63
20150310,53
20150311,47
20150312,59
20150313,63
20150314,61
20150315,58
20150316,69
20150317,70
20150318,61
20150319,112
20150320,95
20150321,82
20150322,74
20150323,92
20150324,101
20150325,86
20150326,74
20150327,85
20150328,78
20150329,71
20150330,73
20150331,74
20150401,170
20150402,116
20150403,147
20150404,121
20150405,135
20150406,113
20150407,122
20150408,94
20150409,112
20150410,132
20150411,108
20150412,110
20150413,91
20150414,113
20150415,120
20150416,107
20150417,107
20150418,126
20150419,93
20150420,78
20150421,144
20150422,120
20150423,129
20150424,128
20150425,120
20150426,156
20150427,113
20150428,107
20150429,115
20150430,98
20150501,96
20150502,104
20150503,136
20150504,98
20150505,113
20150506,124
20150507,104
20150508,122
20150509,128
20150510,109
20150511,118
20150512,119
20150513,141
20150514,135
20150515,130
20150516,157
20150517,105
20150518,110
20150519,142
20150520,102
20150521,116
20150522,105
20150523,101
20150524,93
20150525,122
20150526,112
20150527,139
20150528,118
20150529,131
20150530,97
20150531,88
20150601,138
20150602,88
20150603,100
20150604,102
20150605,115
20150606,118
20150607,149
20150608,93
20150609,107
20150610,101
20150611,98
20150612,95
20150613,103
20150614,127
20150615,128
20150616,106
20150617,129
20150618,121
20150619,111
20150620,97
20150621,126
20150622,117
20150623,107
20150624,113
20150625,103
20150626,128
20150627,96
20150628,126
20150629,131
20150630,140
20150701,180
20150702,191
20150703,142
20150704,75
20150705,95
20150706,107
20150707,119
20150708,77
20150709,93
20150710,197
20150711,94
20150712,117
20150713,128
20150714,149
20150715,106
20150716,108
20150717,133
20150718,175
20150719,121
20150720,116
20150721,133
20150722,137
20150723,160
20150724,118
20150725,124
20150726,101
20150727,132
20150728,143
20150729,122
20150730,142
20150731,125
20150801,128
20150802,130
20150803,143
20150804,116
20150805,171
20150806,126
20150807,128
20150808,119
20150809,125
20150810,135
20150811,143
20150812,155
20150813,122
20150814,133
20150815,133
20150816,211
20150817,143
20150818,160
20150819,180
20150820,134
20150821,141
20150822,144
20150823,123
20150824,171
20150825,204
20150826,153
20150827,143
20150828,145
20150829,170
20150830,176
