Date,play
20150301,156
20150302,171
20150303,200
20150304,171
20150305,154
20150306,165
20150307,154
20150308,146
20150309,137
20150310,153
20150311,166
20150312,185
20150313,218
20150314,142
20150315,133
20150316,179
20150317,169
20150318,202
20150319,202
20150320,186
20150321,137
20150322,183
20150323,152
20150324,127
20150325,128
20150326,168
20150327,156
20150328,163
20150329,120
20150330,126
20150331,159
20150401,161
20150402,152
20150403,177
20150404,194
20150405,149
20150406,179
20150407,243
20150408,247
20150409,179
20150410,195
20150411,165
20150412,158
20150413,171
20150414,169
20150415,184
20150416,196
20150417,176
20150418,217
20150419,128
20150420,165
20150421,174
20150422,237
20150423,210
20150424,227
20150425,200
20150426,208
20150427,199
20150428,224
20150429,167
20150430,146
20150501,153
20150502,147
20150503,192
20150504,215
20150505,156
20150506,171
20150507,153
20150508,185
20150509,206
20150510,171
20150511,140
20150512,178
20150513,174
20150514,165
20150515,192
20150516,188
20150517,152
20150518,157
20150519,126
20150520,145
20150521,149
20150522,154
20150523,132
20150524,142
20150525,136
20150526,185
20150527,174
20150528,145
20150529,150
20150530,139
20150531,133
20150601,152
20150602,174
20150603,192
20150604,163
20150605,175
20150606,172
20150607,156
20150608,141
20150609,160
20150610,197
20150611,155
20150612,197
20150613,201
20150614,138
20150615,308
20150616,263
20150617,317
20150618,232
20150619,164
20150620,174
20150621,155
20150622,169
20150623,203
20150624,156
20150625,143
20150626,179
20150627,128
20150628,147
20150629,173
20150630,207
20150701,261
20150702,199
20150703,232
20150704,139
20150705,157
20150706,222
20150707,184
20150708,171
20150709,179
20150710,219
20150711,183
20150712,166
20150713,156
20150714,173
20150715,160
20150716,181
20150717,150
20150718,126
20150719,120
20150720,204
20150721,124
20150722,150
20150723,165
20150724,138
20150725,178
20150726,126
20150727,148
20150728,145
20150729,132
20150730,172
20150731,134
20150801,113
20150802,100
20150803,153
20150804,145
20150805,146
20150806,134
20150807,126
20150808,137
20150809,112
20150810,159
20150811,157
20150812,180
20150813,242
20150814,122
20150815,127
20150816,115
20150817,138
20150818,190
20150819,136
20150820,131
20150821,138
20150822,184
20150823,141
20150824,144
20150825,97
20150826,107
20150827,124
20150828,143
20150829,137
20150830,187
