Date,play
20150301,179
20150302,80
20150303,66
20150304,95
20150305,104
20150306,86
20150307,124
20150308,62
20150309,118
20150310,75
20150311,64
20150312,67
20150313,82
20150314,101
20150315,136
20150316,89
20150317,67
20150318,97
20150319,74
20150320,119
20150321,64
20150322,99
20150323,44
20150324,91
20150325,109
20150326,78
20150327,49
20150328,31
20150329,83
20150330,62
20150331,73
20150401,87
20150402,83
20150403,77
20150404,58
20150405,57
20150406,72
20150407,78
20150408,61
20150409,58
20150410,111
20150411,58
20150412,68
20150413,70
20150414,122
20150415,116
20150416,67
20150417,91
20150418,81
20150419,67
20150420,62
20150421,75
20150422,94
20150423,81
20150424,84
20150425,73
20150426,81
20150427,84
20150428,149
20150429,102
20150430,108
20150501,78
20150502,97
20150503,66
20150504,82
20150505,64
20150506,111
20150507,59
20150508,141
20150509,100
20150510,117
20150511,107
20150512,124
20150513,99
20150514,118
20150515,96
20150516,84
20150517,95
20150518,167
20150519,141
20150520,166
20150521,195
20150522,132
20150523,86
20150524,137
20150525,134
20150526,164
20150527,121
20150528,132
20150529,111
20150530,137
20150531,121
20150601,102
20150602,124
20150603,56
20150604,85
20150605,93
20150606,96
20150607,64
20150608,55
20150609,63
20150610,62
20150611,80
20150612,46
20150613,90
20150614,101
20150615,77
20150616,114
20150617,43
20150618,86
20150619,69
20150620,59
20150621,75
20150622,84
20150623,82
20150624,75
20150625,89
20150626,104
20150627,92
20150628,87
20150629,79
20150630,95
20150701,56
20150702,57
20150703,89
20150704,114
20150705,106
20150706,77
20150707,82
20150708,92
20150709,111
20150710,94
20150711,209
20150712,65
20150713,116
20150714,161
20150715,89
20150716,93
20150717,87
20150718,100
20150719,72
20150720,87
20150721,75
20150722,83
20150723,99
20150724,81
20150725,81
20150726,49
20150727,64
20150728,55
20150729,119
20150730,84
20150731,48
20150801,70
20150802,58
20150803,46
20150804,51
20150805,124
20150806,70
20150807,101
20150808,86
20150809,54
20150810,58
20150811,49
20150812,86
20150813,61
20150814,65
20150815,71
20150816,50
20150817,89
20150818,55
20150819,147
20150820,118
20150821,145
20150822,129
20150823,74
20150824,60
20150825,71
20150826,99
20150827,77
20150828,93
20150829,68
20150830,55
